ID,Branch Name,Tier,Address,Postal Code,FSA,NBHD Number,NBHD Name,Ward Number,Ward Region
AB,Albion,DL,1515 Albion Rd,M9V 1B2,M9V,2,Mount Olive-Silverstone-Jamestown,1,Etobicoke North
BL,Bloor Gladstone,DL ,1101 Bloor St W,M6H 1M7,M6H,83,Dufferin Grove ,9,Davenport
BR,Brentwood,DL ,36 Brentwood Rd N,M8X 2B5,M8X,15,Kingsway South ,3,Etobicoke-Lakeshore
CED,Cedarbrae,DL ,545 Markham Rd,M1H 2A1,M1H,137,Woburn,24,Scarborough-Guildwood
DO,Downsview,NL,2793 Keele St,M3M 2G3,M3M,26,Downsview-Roding-CFB,6,York Centre
DU,Dufferin St. Clair,NL,1625 Dufferin St,M6H 3L9,M6H,93,Dovercourt-Wallace Emerson-Junction,9,Davenport
FV,Fairview,DL ,35 Fairview Mall Dr,M2J 4S4,M2J,47,Don Valley Village,17,Don Valley North
MD,Mount Dennis,NL,1123 Weston Rd,M6N 3S3,M6N,115,Mount Dennis ,5,York South-Weston
NYCL,North York Central Library,DL,"5120 Yonge Street, Toronto, ON, M2N 5N9",M2N 5N9,M2N,37,Willowdale-West,18,Willowdale
RI,Richview,DL ,1806 Islington Ave,M9P 3N3,M9P,7,Willowridge-Martingrove-Richview,2,Etobicoke Centre
SC,Scarborough Civic Centre,NL,150 Borough Dr,M1P 4N7,M1P,127,Bendale,21,Scarborough Centre
SWS,S. Walter Stewart,DL ,170 Memorial Park Ave,M4J 2K5,M4J,59,Danforth Village - East York,14,Toronto-Danforth
TH,Thorncliffe,NL,48 Thorncliffe Park Dr,M4H 1J7,M4H,55,Thorncliffe Park ,15,Don Valley West
