ID,Branch Name,Tier,Address,Postal Code,FSA,NBHD Number,NBHD Name,Ward Number,Ward Region,Hours
AB,Albion,DL,1515 Albion Rd,M9V 1B2,M9V,2,Mount Olive-Silverstone-Jamestown,1,Etobicoke North,Mon - Fri 3:30 -7:00
BF,Barbara Frum,DL ,20 Covington Rd,M6A 3C1,M6A,32,Englemount-Lawrence ,8,Eglinton-Lawrence,Mon - Fri 3:30 -7:00
CED,Cedarbrae,DL ,545 Markham Rd,M1H 2A1,M1H,137,Woburn,24,Scarborough-Guildwood,Mon - Fri 3:30 -7:00
CE,Centennial,NL,578 Finch Ave W,M2R 1N7,M2R,35,Westminster-Branson,6,York Centre,Mon - Fri 3:30 -7:00
DO,Downsview,NL,2793 Keele Street,M3M 2G3,M3M,26,Downsview-Roding-CFB,6,York Centre,"Mon, Tues & Thu 3:30 - 7:00, Wed & Fri 3:30 - 5:30"
FV,Fairview,DL ,35 Fairview Mall Dr,M2J 4S4,M2J,47,Don Valley Village,17,Don Valley North,Mon - Fri 3:30 -7:00
FP,Flemingdon Park,NL,29 St. Dennis Drive,M3C 3J3 ,M3C,44,Flemington Park,16,Don Valley North,"Tues & Thu 3:30 - 7:00, Wed 3:30 - 5:30, Fri 2:30 - 5:30"
MAL,Malvern,DL ,30 Sewells Rd,M1B 3G5,M1B,132,Malvern,25,Scarborough-Rouge Park,Mon - Fri 3:30 -8:00
MAS,Maria A. Shchuka,DL ,1745 Eglinton Ave W,M6E 2H4,M6E,107,Oakwood-Vaughan,12,Toronto-St. Paul's,Mon - Fri 3:30 -7:00
PL,Parliament,NL,269 Gerrard Street East,M5A 2G3,M5A,73,Moss Park,13,Toronto Centre,Mon - Fri 3:30 -7:00
SA,Sanderson,NL,327 Bathurst St,M5T 1J1,M5T,78,Kensington-Chinatown ,10,Spadina Fort York,"Mon - Thu 3:30 -7:00, Fri 3:30-5:00"
TH,Thorncliffe,NL,48 Thorncliffe Park Drive ,M4H 1J7,M4H,55,Thorncliffe Park,15,Don Valley West,Mon - Fri 3:30 - 7:00
YW,York Woods,DL,1785 Finch Ave W,M3N 1M6,M3N,25,Glenfield-Jane Heights ,7,Humber River-Black Creek,Mon - Fri 3:30 -7:00
