_id,Year,BranchCode,Registrations
1,2012,AB,4939
2,2012,ACD,1695
3,2012,AD,445
4,2012,AG,3166
5,2012,AH,467
6,2012,AL,1
7,2012,AN,918
8,2012,AP,901
9,2012,BB,720
10,2012,BC,1167
11,2012,BD,820
12,2012,BE,1525
13,2012,BF,2303
14,2012,BKONE,143
15,2012,BKTWO,110
16,2012,BL,2798
17,2012,BR,766
18,2012,BRW,2015
19,2012,BUR,955
20,2012,CC,837
21,2012,CE,1631
22,2012,CED,4750
23,2012,CH,1685
24,2012,CL,10291
25,2012,CS,1035
26,2012,DA,1016
27,2012,DM,1873
28,2012,DO,1636
29,2012,DP,1817
30,2012,DR,1184
31,2012,DS,70
32,2012,DT,275
33,2012,DU,954
34,2012,EA,2423
35,2012,EB,322
36,2012,EG,524
37,2012,EN,1820
38,2012,ES,1392
39,2012,FH,922
40,2012,FP,1382
41,2012,FV,4064
42,2012,GE,528
43,2012,GHP,801
44,2012,GW,380
45,2012,HB,617
46,2012,HC,762
47,2012,HIL,915
48,2012,HLS,143
49,2012,HP,953
50,2012,HS,604
51,2012,HW,485
52,2012,JD,1752
53,2012,JO,535
54,2012,JS,1034
55,2012,KE,1430
56,2012,LB,652
57,2012,LE,1065
58,2012,LO,1597
59,2012,LS,3194
60,2012,MA,866
61,2012,MAL,2534
62,2012,MAS,1806
63,2012,MCG,1321
64,2012,MD,3
65,2012,ME,1
66,2012,MI,834
67,2012,MP,510
68,2012,MRV,994
69,2012,MS,1146
70,2012,ND,2755
71,2012,NE,446
72,2012,NT,583
73,2012,OV,600
74,2012,PA,1397
75,2012,PE,185
76,2012,PK,1994
77,2012,PL,1649
78,2012,PM,754
79,2012,PU,819
80,2012,PV,713
81,2012,QS,417
82,2012,RD,986
83,2012,RI,3082
84,2012,RN,1782
85,2012,RX,421
86,2012,SA,1419
87,2012,SB,157
88,2012,SI,306
89,2012,SJ,1828
90,2012,SL,915
91,2012,SP,754
92,2012,ST,902
93,2012,SW,88
94,2012,SWS,1360
95,2012,TA,443
96,2012,TH,1555
97,2012,TOD,157
98,2012,TRL,8682
99,2012,VV,427
100,2012,WE,1092
101,2012,WP,515
102,2012,WS,2013
103,2012,WY,845
104,2012,YO,1042
105,2012,YW,3008
106,2013,AB,4483
107,2013,ACD,1770
108,2013,AD,504
109,2013,AG,3586
110,2013,AH,501
111,2013,AL,1
112,2013,AN,814
113,2013,AP,911
114,2013,BB,807
115,2013,BC,1063
116,2013,BD,823
117,2013,BE,1481
118,2013,BF,1848
119,2013,BKONE,176
120,2013,BKTWO,125
121,2013,BL,2698
122,2013,BR,2280
123,2013,BRW,2099
124,2013,BUR,967
125,2013,CC,789
126,2013,CE,1836
127,2013,CED,4395
128,2013,CH,1992
129,2013,CL,11924
130,2013,CS,950
131,2013,DA,1110
132,2013,DM,1898
133,2013,DO,1920
134,2013,DP,1844
135,2013,DR,1326
136,2013,DS,20
137,2013,DT,240
138,2013,DU,954
139,2013,EA,2285
140,2013,EB,354
141,2013,EG,490
142,2013,EN,2343
143,2013,ES,1491
144,2013,FH,890
145,2013,FP,1399
146,2013,FV,26
147,2013,GE,539
148,2013,GHP,818
149,2013,GW,336
150,2013,HB,634
151,2013,HC,785
152,2013,HIL,1350
153,2013,HLS,170
154,2013,HP,1158
155,2013,HS,743
156,2013,HW,482
157,2013,JD,2561
158,2013,JO,633
159,2013,JS,1330
160,2013,KE,1539
161,2013,LB,660
162,2013,LD,1
163,2013,LE,1103
164,2013,LO,1547
165,2013,LS,3254
166,2013,MA,836
167,2013,MAL,2661
168,2013,MAS,1791
169,2013,MCG,1346
170,2013,MD,995
171,2013,MI,816
172,2013,MP,591
173,2013,MRV,1102
174,2013,MS,1038
175,2013,ND,2665
176,2013,NE,414
