_id,Year,BranchCode,Circulation
1,2012,AB,515235
2,2012,ACD,446623
3,2012,AD,171050
4,2012,AG,1061437
5,2012,AH,204490
6,2012,AL,54585
7,2012,AN,240626
8,2012,AP,163898
9,2012,BB,202154
10,2012,BC,138372
11,2012,BD,200129
12,2012,BE,341900
13,2012,BF,647905
14,2012,BKONE,67865
15,2012,BKTWO,70889
16,2012,BL,479949
17,2012,BR,106001
18,2012,BRW,518725
19,2012,BUR,218886
20,2012,CC,195299
21,2012,CE,348457
22,2012,CED,731057
23,2012,CH,384481
24,2012,CL,1703346
25,2012,CS,215913
26,2012,DA,307214
27,2012,DM,685617
28,2012,DO,271666
29,2012,DP,401443
30,2012,DR,225295
31,2012,DS,10226
32,2012,DT,123173
33,2012,DU,154309
34,2012,EA,530488
35,2012,EB,183060
36,2012,EG,95421
37,2012,EN,433652
38,2012,ES,286302
39,2012,FH,227143
40,2012,FP,188026
41,2012,FV,890759
42,2012,GE,203132
43,2012,GHP,334004
44,2012,GW,148552
45,2012,HB,192426
46,2012,HC,218516
47,2012,HIL,360965
48,2012,HLS,384444
49,2012,HP,308987
50,2012,HS,97199
51,2012,HW,106825
52,2012,IL,5076
53,2012,JD,300276
54,2012,JO,181779
55,2012,JS,141266
56,2012,KE,223015
57,2012,LB,142115
58,2012,LD,2170
59,2012,LE,363636
60,2012,LO,351907
61,2012,LS,499815
62,2012,MA,278109
63,2012,MAL,534394
64,2012,MAS,284876
65,2012,MCG,269715
66,2012,MD,9180
67,2012,ME,23
68,2012,MI,216921
69,2012,MP,163678
70,2012,MRV,266502
71,2012,MS,217494
72,2012,ND,489994
73,2012,NE,90365
74,2012,NT,146150
75,2012,OS,2
76,2012,OV,128285
77,2012,PA,436618
78,2012,PE,86088
79,2012,PK,375921
80,2012,PL,261976
81,2012,PM,220608
82,2012,PR,570890
83,2012,PU,254806
84,2012,PV,256862
85,2012,QS,108993
86,2012,RD,338175
87,2012,RI,791674
88,2012,RN,470632
89,2012,RX,97181
90,2012,SA,311553
91,2012,SB,46924
92,2012,SI,65465
93,2012,SJ,301031
94,2012,SL,200598
95,2012,SP,196119
96,2012,ST,338021
97,2012,SW,45368
98,2012,SWS,459564
99,2012,TA,130971
100,2012,TH,231899
101,2012,TOD,55391
102,2012,TRL,355367
103,2012,VIR,1073340
104,2012,VV,117945
105,2012,WE,185500
106,2012,WP,90311
107,2012,WS,542341
108,2012,WY,243739
109,2012,YO,327149
110,2012,YW,338157
111,2013,AB,466776
112,2013,ACD,420341
113,2013,AD,178588
114,2013,AG,1053430
115,2013,AH,207404
116,2013,AL,56496
117,2013,AN,212282
118,2013,AP,151191
119,2013,BB,203292
120,2013,BC,110368
121,2013,BD,184484
122,2013,BE,348964
123,2013,BF,613282
124,2013,BKONE,60626
125,2013,BKTWO,71551
126,2013,BL,477286
127,2013,BR,420090
128,2013,BRW,522544
129,2013,BUR,207751
130,2013,CC,193420
131,2013,CE,349505
132,2013,CED,659795
133,2013,CH,381890
134,2013,CL,1735943
135,2013,CS,214116
136,2013,DA,319308
137,2013,DM,630135
138,2013,DO,265652
139,2013,DP,407306
140,2013,DR,235319
141,2013,DS,6068
142,2013,DT,120435
143,2013,DU,151379
144,2013,EA,481519
145,2013,EB,184184
146,2013,EG,82785
147,2013,EN,499535
148,2013,ES,283051
149,2013,FH,215971
150,2013,FP,173555
151,2013,FV,186152
152,2013,GE,194083
153,2013,GHP,309625
154,2013,GW,134737
155,2013,HB,185845
156,2013,HC,204248
157,2013,HIL,468119
158,2013,HLS,411437
