_id,title,startdate,enddate,starttime,endtime,library,location,description,pagelink,id,rcid,eventtype1,eventtype2,eventtype3,agegroup1,agegroup2,agegroup3,supportlink,supportlinktext,imagepath,imagetext,imageheight,imagewidth,otherinfo,lastupdated
1,Cryptic Cryptids: A Merril Collection Exhibit,2024-08-06,2024-10-20,None,None,Lillian H. Smith,None,"Are there cryptids living among us? Are dinosaurs still walking the earth? Explore Bigfoot, Mothman, Nessie and more at this exhibit on cryptids and cryptozoology at the Merril Collection of Science Fiction, Speculation and Fantasy.<br /><br />Free. All are welcome.<br /><br />Located in the Merril Collection of Science Fiction, Speculation & Fantasy, on the 3rd floor of the Lillian H. Smith Branch.<br /><br />The exhibit can be viewed during the Merril Collection's open hours.<br /><br />Are you an educator or group leader? We also offer group visits and exhibit talks! Contact the Merril Collection at 416-393-7748 or email lsmestaff@tpl.ca for more information.<br /><br />Toronto Public Library is committed to accessibility. Please call or email us if you are Deaf or have a disability and would like to request accommodation to attend. Please let us know as far in advance as possible and we will do our best to meet your request. At least three weeks' notice is preferred. Phone 416-393-7099 or email accessibleservices@tpl.ca",https://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMEVT510222&R=EVT510222,510222,0,00-Culture Arts & Entertainment,01-Merril Collection: Science Fiction & ...,00-Art Exhibits,Adult,None,None,None,None,None,None,None,None,"{""smallImageURL"":""https://tpl.razuna.com/assets/3434/A8FA34A2197A4A52891A50878334752C/img/1FA56623207D49FBA84D366573F1388C/bigfoot_1FA56623207D49FBA84D366573F1388C.jpg"",""mediumImageURL"":""https://tpl.razuna.com/assets/3434/A8FA34A2197A4A52891A50878334752C/img/CE51899952F94DF6BA8715B081CA99A9/bigfoot_CE51899952F94DF6BA8715B081CA99A9.jpg"",""largeImageURL"":""https://tpl.razuna.com/assets/3434/A8FA34A2197A4A52891A50878334752C/img/D34301D59B9E440497EFAD0E7B072728/bigfoot_D34301D59B9E440497EFAD0E7B072728.jpg""}",2024-08-23T08:17:06Z
2,Maud's World: Celebrating 150 Years of Lucy Maud Montgomery,2024-09-08,2024-12-01,None,None,Lillian H. Smith,None,"Celebrate Lucy Maud Montgomery's 150th birthday with the Osborne Collection of Early Children's Books. From first editions of her classic novels to original letters penned by Montgomery herself, this exhibition explores the author's fascinating life and timeless stories. Best known for Anne of Green Gables, Montgomery was a Canadian icon in her own right, publishing 20 novels and countless short stories during her long career.<br /><br />Free. All are welcome.<br /><br />Located in the <a href=""https://www.torontopubliclibrary.ca/osborne/"">Osborne Collection of Early Children's Books</a>, on the 4th floor of the <a href=""https://www.torontopubliclibrary.ca/lillianhsmith/"">Lillian H. Smith Branch</a>.<br /><br />The exhibit can be viewed during the Osborne Collection's open hours.<br /><br />Contact the Osborne Collection at 416-393-7753 or email <a href=""mailto:osstaff@tpl.ca"">osstaff@tpl.ca</a> for more information.<br /><br />The exhibit can be viewed during the Osborne Collection's open hours.<br /><br />Toronto Public Library is committed to accessibility. Please call or email us if you are Deaf or have a disability and would like to request accommodation to attend. Please let us know as far in advance as possible and we will do our best to meet your request. At least three weeks' notice is preferred. Phone 416-393-7099 or email accessibleservices@tpl.ca.",https://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMEVT511151&R=EVT511151,511151,0,00-Culture Arts & Entertainment,01-Osborne Collection of Early Children's Books,00-Art Exhibits,Adult,None,None,None,None,None,None,None,None,"{""smallImageURL"":""https://tpl.razuna.com/assets/3434/A8FA34A2197A4A52891A50878334752C/img/36F37B0BE32943B7A7E72AD3B813AEDE/lucy_maud_montgomery_36F37B0BE32943B7A7E72AD3B813AEDE.jpg"",""mediumImageURL"":""https://tpl.razuna.com/assets/3434/A8FA34A2197A4A52891A50878334752C/img/E7174DAC27674F9981988D9165B73C08/lucy_maud_montgomery_E7174DAC27674F9981988D9165B73C08.jpg""}",2024-06-25T16:14:12Z
3,Learn about subsidized housing in Toronto,2024-06-22,2024-09-30,None,None,Maria A. Shchuka,None,"Housing Help Centre staff will be hosting free in-person workshops at Maria A. Shchuka. <br /><br />Join a session to learn:<br />- about subsidized housing options like Rent-Geared-to-Income (RGI)<br />- how to apply or register an existing application through the MyAccesstoHousingTO website<br />- how to manage your account <br /><br />To apply for subsidized or RGI housing, you will need to bring:<br />- a valid email address;<br />- proof of Canadian status for all household members; and<br />- your 2022 or 2023 Notice of Assessment.<br /><br />To learn more and register for a session please visit the Access to Housing [http://Learn more and register for a session: https://tinyurl.com/3d46z64w]registration page.  (https://tinyurl.com/3d46z64w)<br /><br />Workshops will be held during the following dates and times:<br />- 22 June 2024, 10am to 12pm<br />- 25 June 2024, 10am to 12pm<br />- 02 August 2024, 1pm to 3pm<br />- 09 August 2024, 10am to 12pm<br />- 17 August 2024, 10am to 12pm<br />- 23 August 2024, 10am to 12pm<br />- 30 August 2024, 1pm to 3pm<br />- 06 September 2024, 1pm to 3pm<br />- 10 September 2024, 1pm to 3pm<br />- 19 September 2024, 10am to 12pm<br />- 30 September 2024, 10am to 12pm",https://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMEVT510073&R=EVT510073,510073,0,00-Personal Finance,None,None,Adult,None,None,None,None,None,None,None,None,None,2024-06-20T14:24:14Z
4,Branch Art Exhibit: Works by Anne Erickson,2024-09-04,2024-09-29,None,None,Agincourt,None,"Throughout September, the works of artist Anne Erickson are on display at Agincourt branch. Anne began drawing in elementary school and briefly considered a career in commercial art, but did not begin painting until after her retirement. She is a member of the Scarborough Art Guild. Anne's spirituality is centred in nature and the natural world. She paints primarily to form a deeper connection with this world, one which can remind her of the source of our being. <br /><br />This exhibit is part of TPL's <a href=""https://www.torontopubliclibrary.ca/programs-and-classes/exhibits/art-exhibit-space.jsp"">Art Exhibit Space</a> program. Toronto Public Library provides space for local artists to exhibit their work at locations across the city. These exhibits aim to reflect the diverse cultural interests of the city and its neighbourhoods.  <br /><br />The exhibit can be viewed during Branch open hours. Please check the <a href=""https://www.torontopubliclibrary.ca/agincourt/"">Agincourt</a> branch page before your visit. <br /><br />Free. All are welcome.  <br /><br />Image credit: Artist: Anne Erickson; Title of Piece: Georgian Bay Pine; Medium: Acrylic; Size/dimensions: 18 x 18' <br /><br />",https://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMEVT517149&R=EVT517149,517149,0,01-Branch Art Exhibits,00-Art Exhibits,00-Culture Arts & Entertainment,Adult,None,None,None,None,None,None,None,None,"{""smallImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/8A4EE6D528EF45C3968C3C0AAED4F437/Branch_Art_Exhibits_Sep_-_Anne_Erickson_-_E_vents_8A4EE6D528EF45C3968C3C0AAED4F437.jpg"",""mediumImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/8B8E6924F2E04A41AA45D31F9C18D39B/Branch_Art_Exhibits_Sep_-_Anne_Erickson_-_E_vents_8B8E6924F2E04A41AA45D31F9C18D39B.jpg"",""largeImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/FBA77FD685EB40358DC3BF90CF6B3534/Branch_Art_Exhibits_Sep_-_Anne_Erickson_-_E_vents_FBA77FD685EB40358DC3BF90CF6B3534.jpg""}",2024-08-21T14:07:38Z
5,Branch Art Exhibit: Merve Zeybekoglu - MZSON,2024-09-04,2024-09-29,None,None,Bloor/Gladstone,None,"Throughout September, an exhibit by artist Merve Zeybekoglu titled MZSON is on display at Bloor/Gladstone branch.  <br /><br />""As a 7th generation tailor, working with the shapes of the body allowed me to develop as the artist I am today. A curious creative, I decided to pursue my love for math as an artistic medium at the University of Toronto. Today, I continue to develop my perspectives and my skills in expressing myself."" <br /><br />""Working with colours and shapes that form the back bone of everything that we see, feel, touch and even hear. The wavelengths of colour and the wavelengths of the world around us are what form our very realities. My artistic mission is to express such complicated concepts in their simplest, elementary forms."" <br /><br />This exhibit is part of TPL's <a href=""https://www.torontopubliclibrary.ca/programs-and-classes/exhibits/art-exhibit-space.jsp"">Art Exhibit Space</a> program. Toronto Public Library provides space for local artists to exhibit their work at locations across the city. These exhibits aim to reflect the diverse cultural interests of the city and its neighbourhoods.  <br /><br />The exhibit can be viewed during Branch open hours. Please check the <a href="" https://www.torontopubliclibrary.ca/bloorgladstone/"">Bloor/Gladstone</a> branch page before your visit. <br /><br />Free. All are welcome.  <br /><br />Image credit: Artist: Merve Zeybekoglu; Title of Piece: Snoopy; Medium: Oil; Size/dimensions: 20.32 x 25.4 <br /><br /> <br />",https://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMEVT517150&R=EVT517150,517150,0,01-Branch Art Exhibits,00-Art Exhibits,00-Culture Arts & Entertainment,Adult,None,None,None,None,None,None,None,None,"{""smallImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/3642FB62DEB9478481EC066D3E43EFA4/Branch_Art_Exhibits_Sep_-_Merve_Zeybekoglu_-_E_vents_3642FB62DEB9478481EC066D3E43EFA4.jpg"",""mediumImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/5C30D0F618554AF2BA9E0906733DD3AC/Branch_Art_Exhibits_Sep_-_Merve_Zeybekoglu_-_E_vents_5C30D0F618554AF2BA9E0906733DD3AC.jpg"",""largeImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/DB486FDF072F4E8A84B9BEF6E2F84B02/Branch_Art_Exhibits_Sep_-_Merve_Zeybekoglu_-_E_vents_DB486FDF072F4E8A84B9BEF6E2F84B02.jpg""}",2024-08-21T14:23:11Z
6,Branch Art Exhibits: Works by Sari Richter,2024-09-04,2024-09-29,None,None,Deer Park,None,"Throughout September, the works of artist Sari Richter are on display at Deer Park Branch. Sari Richter (BFA, DTATI) is an artist, art therapist and illustrator living in Toronto. She works in a range of traditional drawing and painting media, with a focus on both nature and nurture. Peeling, pouring, clumping and smearing are integral actions in her work, which make her paintings eclectic and energetic. Sari is also a published children's book author, a children's book illustrator with over fifteen titles, storyboard artist and muralist.  <br /><br />This exhibit is part of TPL's <a href=""https://www.torontopubliclibrary.ca/programs-and-classes/exhibits/art-exhibit-space.jsp"">Art Exhibit Space</a> program. Toronto Public Library provides space for local artists to exhibit their work at locations across the city. These exhibits aim to reflect the diverse cultural interests of the city and its neighbourhoods.  <br /><br />The exhibit can be viewed during Branch open hours. Please check the <a href=""https://www.torontopubliclibrary.ca/deerpark/"">Deer Park</a> branch page before your visit. <br /><br />Free. All are welcome.  <br /><br />Image credit: Artist: Sari Richter; Title of Piece: Fullest Blooms; Medium: Acrylic and Resin; Size/dimensions: 40 x 60 cm",https://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMEVT517152&R=EVT517152,517152,0,01-Branch Art Exhibits,00-Art Exhibits,00-Culture Arts & Entertainment,Adult,None,None,None,None,None,None,None,None,"{""smallImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/66AE487B3BB24977A9F1C9CE1204069A/Branch_Art_Exhibits_Sep_-_Sari_Richter_-_E_vents_66AE487B3BB24977A9F1C9CE1204069A.jpg"",""mediumImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/875F271D93BA4DA3B6CD16CD6A963EDA/Branch_Art_Exhibits_Sep_-_Sari_Richter_-_E_vents_875F271D93BA4DA3B6CD16CD6A963EDA.jpg"",""largeImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/D055CFE8AF26439CA08C93259E2ACE50/Branch_Art_Exhibits_Sep_-_Sari_Richter_-_E_vents_D055CFE8AF26439CA08C93259E2ACE50.jpg""}",2024-08-21T13:02:17Z
7,Branch Art Exhibit: Artworks by Wendy Lu,2024-09-04,2024-09-29,None,None,Don Mills,None,"Throughout September, an exhibit called Artworks by Wendy Lu is on display at Don Mills branch.  <br /><br />Wendy Lu is a Hard of Hearing, Taiwan-born, Toronto-based multimedia artist, who graduated with Specialized Honours from York University with a Bachelor of Fine Arts in Visual Arts. Wendy lost her hearing as an infant due to meningitis-related fever, and throughout her life, she has undergone left-brain surgery, as well as three cochlear implant surgeries. Her severe-to-profound bilateral hearing loss affects both ears, and her cochlear implant technology affects her hearing and speech. <br /><br />""Art is powerful, experiential and experimental. I would like to make a positive difference in people's lives, advocate for social change and build better communities. My artworks show the transformation of portraits, landscapes and technologies. My hearing journey helps me to be strong, brave and courageous. I want to express myself in my artworks and promote public awareness of hearing disabilities. My art helps me to share my personal experience and my hearing journey in response to this fast-changing world. I want to overcome the stigma of hearing loss."" <br /><br />This exhibit is part of TPL's <a href=""https://www.torontopubliclibrary.ca/programs-and-classes/exhibits/art-exhibit-space.jsp"">Art Exhibit Space</a> program. Toronto Public Library provides space for local artists to exhibit their work at locations across the city. These exhibits aim to reflect the diverse cultural interests of the city and its neighbourhoods.  <br /><br />The exhibit can be viewed during Branch open hours. Please check the <a href="" https://www.torontopubliclibrary.ca/donmills"">Don Mills</a> branch page before your visit. <br /><br />Free. All are welcome.  <br /><br />Image credit: Artist: Wendy Lu; Title of Piece: Group Portrait; Medium: Acrylic on Canvas; Size/dimensions: 36 x 46 inches",https://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMEVT517153&R=EVT517153,517153,0,01-Branch Art Exhibits,00-Art Exhibits,00-Culture Arts & Entertainment,Adult,None,None,None,None,None,None,None,None,"{""smallImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/2DDA8FA3EFAE44CE87D6D1BAB26F972A/Branch_Art_Exhibits_Sep_-_Wendy_Lu_-_E_vents_2DDA8FA3EFAE44CE87D6D1BAB26F972A.jpg"",""mediumImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/7F2DBB168DA74EF1ABB851DC71238B0E/Branch_Art_Exhibits_Sep_-_Wendy_Lu_-_E_vents_7F2DBB168DA74EF1ABB851DC71238B0E.jpg"",""largeImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/F8AD9ABC038A430081864A8DE1629879/Branch_Art_Exhibits_Sep_-_Wendy_Lu_-_E_vents_F8AD9ABC038A430081864A8DE1629879.jpg""}",2024-08-21T13:04:56Z
8,Branch Art Exhibit: Works by Mark Toffoli,2024-09-04,2024-09-29,None,None,Leaside,None,"Throughout September, the works of artist Mark Toffoli are on display at Leaside branch. Partly self-taught (books and online courses), Mark took many painting and sketching courses after school and on weekends when younger. While completing his nursing Honours degree he also took a 3rd year fine art course at York University after submitting a body of work (paintings) to be allowed to take the course. He has had work in juried shows and sold portraits via website and by commission. <br /><br />""Mark Toffoli's work explores the beauty of nature and the spirituality that goes with it. Mark Toffoli's work supports the notion that paintings have the power to instruct, enhance life and influence the viewer."" <br /><br />This exhibit is part of TPL's <a href=""https://www.torontopubliclibrary.ca/programs-and-classes/exhibits/art-exhibit-space.jsp"">Art Exhibit Space</a> program. Toronto Public Library provides space for local artists to exhibit their work at locations across the city. These exhibits aim to reflect the diverse cultural interests of the city and its neighbourhoods. <br /><br />The exhibit can be viewed during Branch open hours. Please check the <a href=""https://www.torontopubliclibrary.ca/leaside/"">Leaside</a> branch page before your visit. <br /><br />Free. All are welcome.  <br /><br />Image credit: Artist: Mark Toffoli; Title of Piece: Toronto streetscape; Medium: Watercolour; Size/dimensions: 50 x 32",https://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMEVT517154&R=EVT517154,517154,0,01-Branch Art Exhibits,00-Art Exhibits,00-Culture Arts & Entertainment,Adult,None,None,None,None,None,None,None,None,"{""smallImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/686F5B0E96DD4BEFA452113547C730FC/Branch_Art_Exhibits_Sep_-_Mark_Toffoli_-_E_vents_686F5B0E96DD4BEFA452113547C730FC.jpg"",""mediumImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/BDD5625E6CFC47ED8608A09B8A254663/Branch_Art_Exhibits_Sep_-_Mark_Toffoli_-_E_vents_BDD5625E6CFC47ED8608A09B8A254663.jpg"",""largeImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/F26887D3E79145298DE0BD3E10349374/Branch_Art_Exhibits_Sep_-_Mark_Toffoli_-_E_vents_F26887D3E79145298DE0BD3E10349374.jpg""}",2024-08-21T13:07:33Z
9,Branch Art Exhibit: Works by Marcia Hon,2024-09-04,2024-09-29,None,None,Mimico Centennial,None,"Throughout September, the works of artist Marcia Hon are on display at Mimico Centennial branch.  <br /><br />""Marcia was born in Brazil and has lived most of her life in Toronto with her wonderful family. She attended the University of Toronto and the Toronto Metropolitan University to pursue a Computer Engineering and Artificial Intelligence career. The Arts has always remained very important to her throughout her life starting from grade two. Now, she is once again back to her roots in the Arts. Something that is very profound to her soul.""<br /><br />This exhibit is part of TPL's <a href=""https://www.torontopubliclibrary.ca/programs-and-classes/exhibits/art-exhibit-space.jsp"">Art Exhibit Space</a> program. Toronto Public Library provides space for local artists to exhibit their work at locations across the city. These exhibits aim to reflect the diverse cultural interests of the city and its neighbourhoods. <br /><br />The exhibit can be viewed during Branch open hours. Please check the <a href=""https://www.torontopubliclibrary.ca/mimico/"">Mimico Centennial</a> branch page before your visit. <br /><br />Free. All are welcome.  <br /><br />Image credit: Artist: Marcia Hon; Title of Piece: Girl; Medium: Acrylic; Size/dimensions: 16' x 20'",https://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMEVT517168&R=EVT517168,517168,0,01-Branch Art Exhibits,00-Art Exhibits,00-Culture Arts & Entertainment,Adult,None,None,None,None,None,None,None,None,"{""smallImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/1B5AABB09D40414D9962791AD31E5762/Branch_Art_Exhibits_Sep_-_Marcia_Hon_-_E_vents_1B5AABB09D40414D9962791AD31E5762.jpg"",""mediumImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/5C89C14978E744979B4ADFAD79F89830/Branch_Art_Exhibits_Sep_-_Marcia_Hon_-_E_vents_5C89C14978E744979B4ADFAD79F89830.jpg"",""largeImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/B39DAC36A8B4435B9BDDB9444751D072/Branch_Art_Exhibits_Sep_-_Marcia_Hon_-_E_vents_B39DAC36A8B4435B9BDDB9444751D072.jpg""}",2024-08-21T13:27:43Z
10,Branch Art Exhibit: Jenik's Miracle Arts by Sukhitha Jenik Hettiarachchi,2024-09-04,2024-09-29,None,None,Morningside,None,"Throughout September, the exhibit Jenik's Miracle Arts by Sukhitha Jenik Hettiarachchi is on display at Morningside branch. <br /><br />Sukhitha Jenik Hettiarachchi is an artist who came to Canada four years ago with their family, and who is skilled in fine arts, particularly in acrylic painting and ceramic sculpturing.  <br /><br />""I started my journey with meditation. I found myself through my arts. I felt silence is so loud. Through my unique arts, find yourself with calmness."" <br /><br />This exhibit is part of TPL's <a href=""https://www.torontopubliclibrary.ca/programs-and-classes/exhibits/art-exhibit-space.jsp"">Art Exhibit Space</a> program. Toronto Public Library provides space for local artists to exhibit their work at locations across the city. These exhibits aim to reflect the diverse cultural interests of the city and its neighbourhoods. <br /><br />The exhibit can be viewed during Branch open hours. Please check the <a href=""https://www.torontopubliclibrary.ca/morningside/"">Morningside</a> branch page before your visit. <br /><br />Free. All are welcome.  <br /><br />Image credit: Artist: Sukhitha Jenik Hettiarachchi; Title of Piece: Love; Medium: Acrylic; Size/dimensions: 40 x 30 cm <br /><br />",https://www.torontopubliclibrary.ca/detail.jsp?Entt=RDMEVT517170&R=EVT517170,517170,0,01-Branch Art Exhibits,00-Art Exhibits,00-Culture Arts & Entertainment,Adult,None,None,None,None,None,None,None,None,"{""smallImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/349EBE62D07449EB82DE3DF142FDA54A/Branch_Art_Exhibits_Sep_-_Sukhitha_Jenik_Hettiarachchi_-_E_vents_349EBE62D07449EB82DE3DF142FDA54A.jpg"",""mediumImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/D8A6CE906D91412C897CD6C7731C41CD/Branch_Art_Exhibits_Sep_-_Sukhitha_Jenik_Hettiarachchi_-_E_vents_D8A6CE906D91412C897CD6C7731C41CD.jpg"",""largeImageURL"":""https://tpl.razuna.com/assets/3434/2935B8EB75474B348A823586B4508430/img/DC0CBC5B73D5438BBF142B2A1CE67A72/Branch_Art_Exhibits_Sep_-_Sukhitha_Jenik_Hettiarachchi_-_E_vents_DC0CBC5B73D5438BBF142B2A1CE67A72.jpg""}",2024-08-21T13:29:45Z
