_id,Year,BranchCode,Visits
1,2012,AB,522309
2,2012,ACD,214076
3,2012,AD,88065
4,2012,AG,434320
5,2012,AH,67184
6,2012,AN,96885
7,2012,AP,74678
8,2012,BB,61252
9,2012,BC,95843
10,2012,BD,62326
11,2012,BE,235687
12,2012,BF,353141
13,2012,BKONE,39749
14,2012,BL,373581
15,2012,BR,40479
16,2012,BRW,392397
17,2012,BUR,151087
18,2012,CC,89195
19,2012,CE,143138
20,2012,CED,415753
21,2012,CH,215588
22,2012,CL,1493796
23,2012,CS,120622
24,2012,DA,168594
25,2012,DM,248880
26,2012,DO,339600
27,2012,DP,229132
28,2012,DR,133892
29,2012,DT,40644
30,2012,DU,117090
31,2012,EA,205341
32,2012,EB,54894
33,2012,EG,51552
34,2012,EN,188863
35,2012,ES,220158
36,2012,FH,93424
37,2012,FP,150663
38,2012,FV,442214
39,2012,GE,104885
40,2012,GHP,205973
41,2012,GW,58289
42,2012,HB,59603
43,2012,HC,80642
44,2012,HIL,150059
45,2012,HP,164444
46,2012,HS,51300
47,2012,HW,209196
48,2012,JD,165105
49,2012,JO,87163
50,2012,JS,95315
51,2012,KE,117782
52,2012,LB,53681
53,2012,LE,134816
54,2012,LO,181942
55,2012,LS,370557
56,2012,MA,127129
57,2012,MAL,358262
58,2012,MAS,242057
59,2012,MCG,132919
60,2012,ME,7612
61,2012,MI,93400
62,2012,MP,66278
63,2012,MRV,168413
64,2012,MS,119263
65,2012,ND,407488
66,2012,NE,39158
67,2012,NT,88266
68,2012,OS,9372
69,2012,OV,79205
70,2012,PA,279483
71,2012,PE,35235
72,2012,PK,315734
73,2012,PL,205094
74,2012,PM,119602
75,2012,PU,134834
76,2012,PV,103343
77,2012,QS,60209
78,2012,RD,231360
79,2012,RI,421962
80,2012,RN,325843
81,2012,RX,45502
82,2012,SA,352949
83,2012,SB,21484
84,2012,SI,41997
85,2012,SJ,198384
86,2012,SL,99144
87,2012,SP,92352
88,2012,ST,210047
89,2012,SW,20256
90,2012,SWS,254166
91,2012,TA,40929
92,2012,TH,205064
93,2012,TOD,21401
94,2012,TRL,1137016
95,2012,VV,65984
96,2012,WE,84777
