CONTACT_ID,INTERACTION_DATE,INTERACTION_TYPE,SUBSTANTIVE_INTERACTION,INTERACTION_SUMMARY,AUTHOR_NAME
181204119,2023-12-16,Phone,0,Increasing Support,Alfreda Priddis
181204119,2024-05-30,Mail,0,Increasing Support,Alfreda Priddis
181204166,2022-06-12,Email,0,Thanking Donor for Contribution,Sabina Embury
181204166,2022-07-22,Meeting - In Person,1,Philanthropic Interests,Sabina Embury
181204166,2022-11-11,Email,0,Exploring Affinity,Sabina Embury
181204166,2023-04-13,Mail,0,Volunteering,Sabina Embury
181204166,2023-05-17,Phone,0,Thanking Donor for Contribution,Sabina Embury
181204166,2023-08-27,Email,0,Philanthropic Interests,Sabina Embury
181204166,2023-09-09,Text,1,Concerns with Leadership,Sabina Embury
181204166,2023-10-08,Email,0,Thanking Donor for Contribution,Sabina Embury
181204166,2023-10-16,Phone,0,Exploring Affinity,Sabina Embury
181204166,2023-11-08,Event,0,Thanking Donor for Contribution,Sabina Embury
181204166,2023-11-18,Mail,0,Philanthropic Interests,Sabina Embury
181204166,2023-12-25,ThankView,0,Exploring Affinity,Sabina Embury
181204166,2024-04-08,Mail,0,Exploring Affinity,Sabina Embury
181204166,2024-05-07,Email,0,Thanking Donor for Contribution,Sabina Embury
181204166,2024-05-10,Email,0,Interest in Major Gift,Sabina Embury
181204166,2024-05-16,Email,0,Philanthropic Interests,Sabina Embury
181204166,2024-05-21,Mail,0,Thanking Donor for Contribution,Sabina Embury
181204166,2024-06-22,Mail,0,Thanking Donor for Contribution,Sabina Embury
181204167,2023-03-15,Email,0,Philanthropic Interests,Sabina Embury
181204167,2023-11-03,Mail,0,Concerns with Leadership,Sabina Embury
181204167,2023-11-21,Meeting - In Person,1,Exploring Affinity,Sabina Embury
181204167,2024-05-03,Mail,0,Philanthropic Interests,Sabina Embury
181204167,2024-05-16,Email,0,Thanking Donor for Contribution,Sabina Embury
181204169,2022-06-23,ThankView,0,Checking In,Cindy Bandt
181204172,2022-08-07,Phone,0,Proposal Approved,Cindy Bandt
181204172,2023-04-19,ThankView,0,Proposal Declined,Cindy Bandt
181204172,2024-02-24,ThankView,0,Proposal Approved,Cindy Bandt
181204172,2024-05-19,ThankView,0,Proposal Declined,Cindy Bandt
181204179,2022-11-11,Email,0,Increasing Support,Sabina Embury
181204179,2023-01-28,ThankView,0,Increasing Support,Sabina Embury
181204179,2023-08-04,Email,0,Increasing Support,Sabina Embury
181204179,2023-08-17,ThankView,0,Increasing Support,Sabina Embury
181204179,2023-09-02,Email,0,Increasing Support,Sabina Embury
181204179,2023-11-21,Email,0,Increasing Support,Sabina Embury
181204179,2024-01-08,ThankView,0,Increasing Support,Sabina Embury
181204179,2024-05-23,Phone,0,Increasing Support,Sabina Embury
181204179,2024-06-03,Mail,0,Increasing Support,Sabina Embury
181204179,2024-06-22,Phone,0,Increasing Support,Sabina Embury
181204184,2023-09-07,Mail,0,Increasing Support,Cindy Bandt
181204184,2023-10-19,Email,0,Increasing Support,Cindy Bandt
181204190,2022-06-29,Mail,0,Proposal Approved,Cindy Bandt
181204190,2023-09-28,Text,0,Proposal Approved,Cindy Bandt
181204192,2022-06-28,Email,0,Exploring Affinity,Sabina Embury
181204192,2022-12-02,Phone,0,Thanking Donor for Contribution,Sabina Embury
181204192,2023-01-21,Email,0,Thanking Donor for Contribution,Sabina Embury
181204192,2023-05-18,Meeting - In Person,1,Philanthropic Interests,Sabina Embury
181204192,2023-09-26,ThankView,0,Thanking Donor for Contribution,Sabina Embury
181204192,2023-10-01,Email,0,Thanking Donor for Contribution,Sabina Embury
181204192,2023-10-02,Event,0,Philanthropic Interests,Sabina Embury
181204192,2023-11-15,Phone,0,Exploring Affinity,Sabina Embury
181204192,2023-11-24,Email,0,Thanking Donor for Contribution,Sabina Embury
181204192,2023-11-25,Mail,0,Philanthropic Interests,Sabina Embury
181204202,2023-02-23,Phone,0,Volunteering,Cindy Bandt
181204202,2023-07-03,Mail,0,Volunteering,Cindy Bandt
181204207,2022-11-04,Email,0,Proposal Declined,Sabina Embury
181204212,2023-11-10,ThankView,0,Exploring Affinity,Carmelina Simeon
181204212,2024-05-13,Mail,0,Exploring Affinity,Carmelina Simeon
181204242,2023-11-09,Phone,0,Checking In,Rab Ryburn
181204243,2023-01-03,Phone,0,Exploring Affinity,Rab Ryburn
181204243,2023-09-02,Email,0,Philanthropic Interests,Rab Ryburn
181204243,2023-09-11,Mail,0,Philanthropic Interests,Rab Ryburn
181204243,2024-05-04,Email,0,Philanthropic Interests,Rab Ryburn
181204251,2023-11-21,Phone,0,Increasing Support,Josefina Arp
181204251,2023-11-26,Phone,0,Increasing Support,Josefina Arp
181204254,2023-08-09,Email,0,Checking In,Cindy Bandt
181204268,2023-06-21,Email,0,Thanking Donor for Contribution,Alfreda Priddis
181204268,2023-10-05,Mail,0,Thanking Donor for Contribution,Alfreda Priddis
181204268,2023-10-14,Mail,0,Volunteering,Alfreda Priddis
181204268,2024-03-18,ThankView,0,Thanking Donor for Contribution,Alfreda Priddis
181204284,2022-12-30,Email,0,Thanking Donor for Contribution,Sabina Embury
181204284,2023-03-04,ThankView,0,Thanking Donor for Contribution,Sabina Embury
181204284,2023-09-09,ThankView,0,Thanking Donor for Contribution,Sabina Embury
181204284,2023-10-16,Event,0,Philanthropic Interests,Sabina Embury
181204284,2023-11-23,Mail,0,Philanthropic Interests,Sabina Embury
181204284,2023-11-30,Text,0,Thanking Donor for Contribution,Sabina Embury
181204284,2024-01-15,Email,0,Philanthropic Interests,Sabina Embury
181204284,2024-03-16,Email,0,Philanthropic Interests,Sabina Embury
181204284,2024-03-27,Meeting - In Person,1,Volunteering,Sabina Embury
181204284,2024-05-03,ThankView,0,Exploring Affinity,Sabina Embury
181204284,2024-05-06,Mail,0,Volunteering,Sabina Embury
181204284,2024-06-17,Email,0,Philanthropic Interests,Sabina Embury
181204292,2023-11-09,Email,0,Proposal Declined,Cindy Bandt
181204294,2023-05-16,ThankView,0,Checking In,Cindy Bandt
181204294,2023-09-03,Mail,0,Checking In,Cindy Bandt
181204294,2023-09-21,Mail,0,Checking In,Cindy Bandt
181204294,2024-02-13,Mail,0,Checking In,Cindy Bandt
181204322,2023-08-15,Mail,0,Philanthropic Interests,Rodd Hanretty
181204326,2022-10-21,Mail,0,Thanking Donor for Contribution,Sabina Embury
181204326,2023-10-02,Phone,0,Thanking Donor for Contribution,Sabina Embury
181204326,2023-10-19,Email,0,Thanking Donor for Contribution,Sabina Embury
181204326,2023-11-07,Email,0,Thanking Donor for Contribution,Sabina Embury
181204326,2023-12-24,Email,0,Volunteering,Sabina Embury
181204326,2024-01-21,Mail,0,Volunteering,Sabina Embury
181204329,2023-11-01,Mail,0,Philanthropic Interests,Brnaby Misken
181204329,2023-11-20,Phone,0,Thanking Donor for Contribution,Brnaby Misken
181204336,2023-01-30,Email,0,Philanthropic Interests,Sabina Embury
181204336,2023-09-04,Email,0,Thanking Donor for Contribution,Sabina Embury
181204336,2023-11-18,Mail,0,Thanking Donor for Contribution,Sabina Embury
181204336,2024-01-28,ThankView,0,Volunteering,Sabina Embury
181204348,2023-09-05,Email,0,Thanking Donor for Contribution,Sabina Embury
181204353,2022-06-24,Email,0,Exploring Affinity,Carmelina Simeon
181204353,2023-06-12,Event,0,Thanking Donor for Contribution,Carmelina Simeon
181204353,2023-09-19,Phone,0,Exploring Affinity,Carmelina Simeon
181204353,2023-10-13,Email,0,Exploring Affinity,Carmelina Simeon
181204353,2023-10-20,Mail,0,Thanking Donor for Contribution,Carmelina Simeon
181204353,2023-10-29,Mail,0,Exploring Affinity,Carmelina Simeon
181204353,2023-11-02,Phone,0,Philanthropic Interests,Carmelina Simeon
181204353,2023-12-12,Phone,0,Philanthropic Interests,Carmelina Simeon
181204353,2024-02-03,Email,0,Philanthropic Interests,Carmelina Simeon
181204353,2024-02-14,Meeting - In Person,1,Thanking Donor for Contribution,Carmelina Simeon
181204358,2023-11-11,Email,0,Volunteering,Brnaby Misken
181204370,2022-12-20,Phone,0,Proposal Declined,Carmelina Simeon
181204370,2023-04-02,Event,0,Proposal Approved,Carmelina Simeon
181204370,2023-05-01,ThankView,0,Proposal Declined,Carmelina Simeon
181204370,2023-09-16,Mail,0,Proposal Declined,Carmelina Simeon
181204372,2023-01-16,Email,0,Thanking Donor for Contribution,Cindy Bandt
181204374,2022-09-19,Email,0,Thanking Donor for Contribution,Sabina Embury
181204374,2023-09-17,Email,0,Interest in Major Gift,Sabina Embury
181204374,2023-09-24,Phone,0,Exploring Affinity,Sabina Embury
181204374,2023-10-23,Meeting - In Person,1,Exploring Affinity,Sabina Embury
181204374,2023-10-24,Mail,0,Thanking Donor for Contribution,Sabina Embury
181204374,2023-11-19,Mail,0,Exploring Affinity,Sabina Embury
181204374,2024-01-10,ThankView,0,Thanking Donor for Contribution,Sabina Embury
181204374,2024-02-05,Mail,0,Exploring Affinity,Sabina Embury
181204382,2022-06-08,Email,0,Increasing Support,Reggie Egginson
181204382,2022-07-18,Email,0,Increasing Support,Reggie Egginson
181204382,2023-12-09,ThankView,0,Increasing Support,Reggie Egginson
181204382,2024-05-29,Meeting - In Person,1,Increasing Support,Reggie Egginson
181204395,2022-10-30,Mail,0,Outreach,Rodd Hanretty
181204395,2023-01-17,Email,0,Outreach,Rodd Hanretty
181204395,2023-07-31,Mail,0,Outreach,Rodd Hanretty
181204395,2023-09-09,Mail,0,Outreach,Rodd Hanretty
181204395,2023-09-11,Mail,0,Outreach,Rodd Hanretty
181204395,2023-11-01,Email,0,Outreach,Rodd Hanretty
181204395,2024-01-31,Phone,0,Outreach,Rodd Hanretty
181204395,2024-03-06,Mail,0,Outreach,Rodd Hanretty
181204409,2022-06-22,ThankView,0,Checking In,Sabina Embury
181204409,2022-06-26,Email,0,Checking In,Sabina Embury
181204409,2022-07-23,ThankView,0,Checking In,Sabina Embury
181204409,2022-08-11,Mail,0,Checking In,Sabina Embury
181204409,2022-08-15,Email,0,Checking In,Sabina Embury
181204409,2023-09-22,Mail,0,Checking In,Sabina Embury
181204409,2023-11-11,ThankView,0,Checking In,Sabina Embury
181204409,2023-11-19,Meeting - In Person,1,Checking In,Sabina Embury
181204409,2023-11-19,Mail,0,Checking In,Sabina Embury
181204409,2023-12-12,Email,0,Checking In,Sabina Embury
181204409,2024-02-10,Mail,0,Checking In,Sabina Embury
181204409,2024-02-14,ThankView,0,Checking In,Sabina Embury
181204409,2024-02-20,Email,0,Checking In,Sabina Embury
181204409,2024-03-29,Phone,0,Checking In,Sabina Embury
181204409,2024-04-11,Text,0,Checking In,Sabina Embury
181204414,2023-09-03,Mail,0,Checking In,Cindy Bandt
181204414,2023-11-23,Meeting - In Person,1,Checking In,Cindy Bandt
181204447,2022-10-01,Email,0,Proposal Approved,Sabina Embury
181204447,2023-04-07,Mail,0,Proposal Approved,Sabina Embury
181204447,2023-07-21,Email,0,Proposal Approved,Sabina Embury
181204447,2023-11-12,Email,0,Proposal Approved,Sabina Embury
181204454,2022-09-07,Mail,0,Exploring Affinity,Leonerd Klausen
181204454,2023-06-20,Email,0,Thanking Donor for Contribution,Leonerd Klausen
181204463,2022-09-19,Mail,0,Philanthropic Interests,Etienne Reiach
181204463,2023-05-19,Email,0,Exploring Affinity,Etienne Reiach
181204463,2023-06-14,Email,0,Interest in Major Gift,Etienne Reiach
