iter	RMSE
0	0.9861760089
1	0.9811531895
2	0.976289969
3	0.9714558687
4	0.9666781306
5	0.9620023183
6	0.9573690062
7	0.9528489451
8	0.9482097381
9	0.944049777
10	0.9397332542
11	0.9354402778
12	0.9311298711
13	0.9268141444
14	0.9225180088
15	0.9184611947
16	0.9144353498
17	0.9104718156
18	0.9065527892
19	0.9026657334
20	0.8988774192
21	0.8950134079
22	0.8913224422
23	0.8877101636
24	0.8841122792
25	0.8805643946
26	0.8771272261
27	0.8735939617
28	0.870198515
29	0.866706781
30	0.8633158859
31	0.8598885876
32	0.8566749504
33	0.8535506622
34	0.8502456206
35	0.8468996378
36	0.8439011174
37	0.8407606679
38	0.8378085134
39	0.8349314558
40	0.8321112293
41	0.8293561629
42	0.8262923322
43	0.823557073
44	0.8209096833
45	0.818225254
46	0.8154950914
47	0.8129645715
48	0.8104278183
49	0.8078025898
50	0.8050651996
51	0.8024682177
52	0.7999302495
53	0.7974153513
54	0.7950292453
55	0.792746786
56	0.7904718981
57	0.7881699055
58	0.7858344821
59	0.7835510287
60	0.7813416964
61	0.7791539797
62	0.7769418216
63	0.7746643844
64	0.7725459318
65	0.770440268
66	0.7682960867
67	0.7662530508
68	0.7642475116
69	0.762347978
70	0.7605071974
71	0.7584172285
72	0.7566025547
73	0.7547070865
74	0.7528398846
75	0.7509064433
76	0.7490500844
77	0.7472217576
78	0.7454086635
79	0.7437303101
80	0.7418664908
81	0.7400537746
82	0.7383873401
83	0.7367747058
84	0.7351083105
85	0.7335863573
86	0.7320229671
87	0.730428751
88	0.7288502344
89	0.7273271269
90	0.7258038289
91	0.7241895161
92	0.7225779659
93	0.7210238507
94	0.7196604307
95	0.7181238344
96	0.7168045423
97	0.7154528157
98	0.7140916371
99	0.7127380648
100	0.7112994714
101	0.7100581224
102	0.7087593384
103	0.7074703595
104	0.7062094444
105	0.7050280229
106	0.703701229
107	0.7024687685
108	0.7012696268
109	0.7001665264
110	0.6990212475
111	0.6979018057
112	0.6966874197
113	0.6955184584
114	0.6942904303
115	0.6930869233
116	0.6918951511
117	0.690822121
118	0.689763393
119	0.688637677
120	0.6874613335
121	0.6863444111
122	0.6853362124
123	0.6842438884
124	0.6832582356
125	0.6822882765
126	0.6813459265
127	0.6803835483
128	0.6795042958
129	0.6784987498
130	0.6774791738
131	0.6765964532
132	0.675723579
133	0.674709585
134	0.6738576814
135	0.6729923617
136	0.672067656
137	0.6711558919
138	0.6703391152
139	0.6694257198
140	0.6685851049
141	0.6676672589
142	0.6668864334
143	0.6660335876
144	0.6652288067
145	0.6643273624
146	0.6634604098
147	0.6626626316
148	0.6619405452
149	0.6610996235
150	0.6603844646
151	0.6597019056
152	0.6588545865
153	0.6580970795
154	0.6574371419
155	0.6567639004
156	0.6561055057
157	0.6554114918
158	0.6546906644
159	0.6540037581
160	0.6533693695
161	0.6526651493
162	0.651864682
163	0.6511097533
164	0.6504078833
165	0.6497314667
166	0.6490106701
167	0.6483133275
168	0.6476949395
169	0.6471314763
170	0.6464995108
171	0.645942916
172	0.645351581
173	0.6447376021
174	0.6441660753
175	0.6436120697
176	0.6430618791
177	0.6425117819
178	0.6419639801
179	0.6413701537
180	0.6407544527
181	0.6401404417
182	0.6396170688
183	0.639121613
184	0.6386161765
185	0.6380064959
186	0.6373240169
187	0.6367145635
188	0.6362246437
189	0.6356940475
190	0.6351342575
191	0.6346387049
192	0.6340894351
193	0.6336089109
194	0.6330951776
195	0.6324695474
196	0.6319868538
197	0.6315265818
198	0.6310354963
199	0.6305377226
200	0.6299662665
201	0.6294768476
202	0.6289484554
203	0.6282921052
204	0.6278527268
205	0.6273188757
206	0.6268984113
207	0.6263640714
208	0.6259823745
209	0.6255384785
210	0.6251174193
211	0.624741303
212	0.6243098667
213	0.6238085631
214	0.6233764805
215	0.6229754163
216	0.6226296754
217	0.6222427534
218	0.6217574782
219	0.621154783
