iter	Passed	Remaining
0	418	208673
1	726	180925
2	955	158212
3	1155	143254
4	1568	155295
5	1771	145846
6	1984	139764
7	2205	135636
8	2417	131884
9	2633	129048
10	3014	133989
11	3279	133357
12	3511	131542
13	3721	129180
14	3954	127855
15	4186	126656
16	4684	133103
17	4989	133594
18	5248	132871
19	5796	139116
20	6069	138436
21	6371	138437
22	6656	138052
23	6860	136062
24	7177	136366
25	7424	135359
26	7701	134911
27	7903	133234
28	8260	134155
29	8557	134070
30	8857	134009
31	9063	132558
32	9268	131163
33	9482	129970
34	9698	128850
35	9885	127413
36	10086	126219
37	10307	125315
38	10571	124960
39	10806	124278
40	11013	123301
41	11194	122072
42	11419	121360
43	11684	121093
44	11900	120324
45	12102	119444
46	12310	118654
47	12522	117920
48	12713	117017
49	12922	116302
50	13156	115830
51	13469	116040
52	13696	115517
53	13897	114779
54	14121	114254
55	14364	113891
56	14572	113258
57	14760	112486
58	14950	111747
59	15136	110997
60	15358	110529
61	15560	109929
62	15764	109354
63	15962	108743
64	16149	108074
65	16376	107691
66	16612	107358
67	16830	106925
68	17015	106285
69	17212	105731
70	17445	105412
71	17657	104966
72	17858	104461
73	18051	103916
74	18285	103617
75	18502	103223
76	18761	103063
77	19382	104865
78	19669	104821
79	19877	104355
80	20136	104161
81	20553	104774
82	21146	106240
83	21446	106210
84	21706	105980
85	21969	105762
86	22199	105385
87	22437	105046
88	22646	104578
89	22909	104363
90	23142	104014
91	23408	103811
92	23617	103360
93	23818	102874
94	24007	102346
95	24195	101821
96	24396	101356
97	24602	100921
98	24796	100437
99	25029	100117
100	25260	99792
101	25550	99695
102	25748	99245
103	25941	98775
104	26122	98268
105	26315	97815
106	26511	97374
107	26699	96910
108	26901	96498
109	27082	96020
110	27282	95610
111	27469	95162
112	27672	94771
113	27880	94403
114	28069	93971
115	28278	93611
116	28478	93225
117	28679	92843
118	28871	92437
119	29116	92203
120	29531	92499
121	29778	92263
122	30062	92143
123	30488	92447
124	30764	92293
125	31012	92053
126	31249	91780
127	31525	91620
128	31762	91348
129	31996	91065
130	32188	90668
131	32429	90409
132	32687	90198
133	32910	89888
134	33120	89549
135	33325	89194
136	33518	88812
137	33711	88432
138	33901	88045
139	34095	87673
140	34307	87350
141	34510	87005
142	34736	86720
143	34947	86399
144	35136	86022
145	35369	85759
146	35595	85477
147	35805	85158
148	35988	84778
149	36178	84417
150	36397	84124
151	36662	83936
152	37155	84268
153	37383	83992
154	37616	83726
155	37818	83395
156	38032	83090
157	38233	82757
158	38496	82562
159	38705	82249
160	38934	81980
161	39145	81674
162	39385	81429
163	39588	81108
164	39785	80776
165	39977	80437
166	40169	80098
167	40384	79807
168	40629	79575
169	40824	79247
170	41025	78931
171	41213	78592
172	41435	78319
173	41646	78027
174	41870	77759
175	42051	77413
176	42255	77111
177	42459	76808
178	42662	76506
179	42868	76211
180	43076	75919
181	43293	75643
182	43593	75514
183	43867	75336
184	44070	75039
185	44340	74853
186	44547	74564
187	44772	74303
188	44982	74018
189	45194	73737
190	45418	73477
