population,site,original_planting_date,early_planting_date,late_planting_date,required_gdus,scenario_1_harvest_quantity,scenario_2_harvest_quanitity
p_1,1,1/1/2020,1/1/2020,2/19/2020,1060,354,292
p_2,1,1/1/2020,1/1/2020,1/29/2020,1060,342,499
p_3,1,1/1/2020,1/1/2020,2/19/2020,1060,300,452
p_4,1,1/1/2020,1/1/2020,2/12/2020,965,282,427
p_5,1,1/1/2020,1/1/2020,2/12/2020,1060,171,577
p_6,1,1/1/2020,1/1/2020,1/29/2020,1060,232,551
p_7,1,1/1/2020,1/1/2020,2/19/2020,1060,238,214
p_8,1,1/1/2020,1/1/2020,1/22/2020,1150,230,510
p_9,1,1/1/2020,1/1/2020,2/26/2020,1150,161,341
p_10,1,1/1/2020,1/1/2020,2/26/2020,1150,251,462
p_11,1,1/1/2020,1/1/2020,2/26/2020,1150,232,566
p_12,1,1/1/2020,1/1/2020,1/22/2020,1150,98,229
p_13,1,1/1/2020,1/1/2020,1/29/2020,1060,274,170
p_14,1,1/1/2020,1/1/2020,2/19/2020,1150,309,415
p_15,1,1/1/2020,1/1/2020,2/12/2020,1060,122,371
p_16,1,1/1/2020,1/1/2020,2/5/2020,1150,163,186
p_17,1,1/1/2020,1/1/2020,2/19/2020,1150,201,229
p_18,1,1/7/2020,1/1/2020,2/25/2020,986,268,450
p_19,1,1/7/2020,1/7/2020,2/25/2020,986,268,199
p_20,1,1/7/2020,1/1/2020,2/25/2020,986,278,333
p_21,1,1/7/2020,1/1/2020,3/3/2020,986,265,64
p_22,1,1/7/2020,1/7/2020,1/28/2020,1076,293,142
p_23,1,1/7/2020,1/1/2020,2/11/2020,986,279,670
p_24,1,1/7/2020,1/7/2020,2/4/2020,1076,279,423
p_25,1,1/7/2020,1/1/2020,2/11/2020,1076,177,265
p_26,1,1/7/2020,1/1/2020,3/10/2020,1076,269,330
p_27,1,1/7/2020,1/1/2020,3/10/2020,1076,490,259
p_28,1,1/7/2020,1/7/2020,2/25/2020,1076,421,443
p_29,1,1/7/2020,1/7/2020,2/11/2020,986,262,400
p_30,1,1/7/2020,1/7/2020,2/25/2020,986,328,554
p_31,1,1/7/2020,1/1/2020,2/4/2020,1076,339,452
p_32,1,1/7/2020,1/1/2020,2/11/2020,1076,234,438
p_33,1,1/7/2020,1/7/2020,2/18/2020,1076,349,364
p_34,1,1/7/2020,1/7/2020,2/18/2020,1170,409,462
p_35,1,1/7/2020,1/7/2020,2/18/2020,1076,286,377
p_36,1,1/7/2020,1/1/2020,2/25/2020,1076,312,243
p_37,1,1/7/2020,1/7/2020,1/28/2020,1170,319,550
p_38,1,1/7/2020,1/7/2020,2/18/2020,1170,275,240
p_39,1,1/7/2020,1/1/2020,2/4/2020,1170,247,424
p_40,1,1/7/2020,1/1/2020,3/3/2020,1170,76,241
p_41,1,1/7/2020,1/7/2020,2/25/2020,1170,243,313
p_42,1,1/7/2020,1/7/2020,2/11/2020,1170,268,102
p_43,1,1/7/2020,1/1/2020,2/25/2020,1266,263,284
p_44,1,1/7/2020,1/1/2020,3/10/2020,1266,337,414
p_45,1,1/7/2020,1/1/2020,3/3/2020,1170,376,371
p_46,1,1/7/2020,1/1/2020,2/18/2020,1076,223,420
p_47,1,1/7/2020,1/7/2020,2/4/2020,1170,243,317
p_48,1,1/7/2020,1/7/2020,1/28/2020,1170,353,341
p_49,1,1/7/2020,1/1/2020,2/25/2020,1170,339,468
p_50,1,1/7/2020,1/1/2020,2/11/2020,1076,315,97
p_51,1,1/7/2020,1/7/2020,2/11/2020,1076,168,512
p_52,1,1/7/2020,1/1/2020,3/10/2020,1266,147,672
p_53,1,1/7/2020,1/1/2020,2/4/2020,1170,165,188
p_54,1,1/7/2020,1/1/2020,2/25/2020,986,417,242
p_55,1,1/7/2020,1/1/2020,2/11/2020,986,293,435
p_56,0,1/2/2020,1/1/2020,2/27/2020,1259,270,637
p_57,0,1/2/2020,1/1/2020,2/20/2020,1259,389,323
p_58,0,1/2/2020,1/1/2020,2/27/2020,1259,249,295
p_59,0,1/2/2020,1/1/2020,2/13/2020,1356,100,341
p_60,0,1/2/2020,1/1/2020,2/13/2020,1356,296,551
p_61,0,1/2/2020,1/1/2020,2/27/2020,1259,104,661
p_62,0,1/2/2020,1/1/2020,3/5/2020,1356,267,361
p_63,0,1/2/2020,1/1/2020,2/20/2020,1356,268,548
p_64,0,1/2/2020,1/1/2020,2/13/2020,1356,174,773
p_65,0,1/2/2020,1/2/2020,2/20/2020,1259,76,467
p_66,0,1/2/2020,1/2/2020,2/6/2020,1259,161,332
p_67,0,1/2/2020,1/1/2020,3/5/2020,1259,151,516
p_68,0,1/2/2020,1/1/2020,3/5/2020,1259,177,205
p_69,0,1/2/2020,1/2/2020,1/30/2020,1356,174,161
p_70,0,1/2/2020,1/1/2020,1/30/2020,1259,354,414
p_71,0,1/2/2020,1/1/2020,2/13/2020,1259,236,478
p_72,1,1/14/2020,1/7/2020,2/18/2020,1004,379,308
p_73,1,1/14/2020,1/14/2020,2/4/2020,1004,316,158
p_74,1,1/14/2020,1/14/2020,3/3/2020,1097,245,330
p_75,1,1/14/2020,1/1/2020,3/3/2020,1097,257,610
p_76,1,1/14/2020,1/7/2020,2/25/2020,1193,460,410
p_77,1,1/14/2020,1/1/2020,3/3/2020,1097,185,537
p_78,1,1/14/2020,1/14/2020,2/4/2020,1097,303,298
p_79,1,1/14/2020,1/7/2020,2/4/2020,1193,85,423
p_80,1,1/14/2020,1/1/2020,3/17/2020,1193,178,246
p_81,1,1/14/2020,1/1/2020,3/10/2020,1193,280,374
p_82,1,1/14/2020,1/1/2020,3/17/2020,1193,223,229
p_83,1,1/14/2020,1/14/2020,2/25/2020,1097,347,385
p_84,1,1/14/2020,1/1/2020,3/10/2020,1097,378,201
p_85,1,1/14/2020,1/7/2020,3/3/2020,1097,256,520
p_86,1,1/14/2020,1/1/2020,3/3/2020,1097,354,128
p_87,1,1/14/2020,1/14/2020,2/11/2020,1097,241,70
p_88,1,1/14/2020,1/1/2020,3/10/2020,1097,138,393
p_89,1,1/14/2020,1/14/2020,2/4/2020,1097,248,485
p_90,1,1/14/2020,1/14/2020,3/3/2020,1004,112,273
p_91,1,1/14/2020,1/7/2020,2/18/2020,1097,128,362
p_92,1,1/14/2020,1/7/2020,2/25/2020,1193,245,166
p_93,1,1/14/2020,1/1/2020,3/3/2020,1097,316,259
p_94,1,1/14/2020,1/14/2020,3/3/2020,1097,194,328
p_95,1,1/14/2020,1/14/2020,2/4/2020,1097,279,103
p_96,1,1/14/2020,1/7/2020,2/25/2020,1097,221,389
p_97,1,1/14/2020,1/7/2020,2/25/2020,913,484,359
p_98,1,1/14/2020,1/1/2020,3/3/2020,1004,338,373
p_99,1,1/14/2020,1/14/2020,3/3/2020,1004,229,412
p_100,1,1/14/2020,1/7/2020,2/11/2020,1004,367,286
p_101,1,1/14/2020,1/1/2020,3/10/2020,1097,425,418
p_102,1,1/14/2020,1/14/2020,2/4/2020,1004,303,499
p_103,1,1/14/2020,1/14/2020,2/25/2020,1004,317,316
p_104,1,1/14/2020,1/7/2020,2/25/2020,1004,372,398
p_105,1,1/21/2020,1/7/2020,2/18/2020,1219,171,377
