date,site_0,site_1
2009-01-01,11.438115,7.4870243
2009-01-02,11.60395,6.8774414
2009-01-03,11.606865,8.062442
2009-01-04,11.917281,9.554108
2009-01-05,12.283949,8.807442
2009-01-06,12.670198,8.997442
2009-01-07,12.495617,9.298275
2009-01-08,12.606867,9.821608
2009-01-09,12.089366,9.309107
2009-01-10,11.831865,9.741191
2009-01-11,11.419784,9.233275
2009-01-12,11.645617,8.457442
2009-01-13,12.347282,9.592025
2009-01-14,12.343116,8.9520235
2009-01-15,12.5602,8.705775
2009-01-16,12.260615,8.311607
2009-01-17,13.431866,7.3441086
2009-01-18,13.805616,7.3161917
2009-01-19,13.573116,7.423275
2009-01-20,12.667281,7.096192
2009-01-21,12.1352005,6.164942
2009-01-22,12.360199,5.0786915
2009-01-23,12.598532,5.6726594
2009-01-24,12.774783,6.3679676
2009-01-25,11.651867,6.5466084
2009-01-26,11.769365,6.3728585
2009-01-27,12.007699,7.9516087
2009-01-28,12.23895,8.758275
2009-01-29,12.9402,8.911608
2009-01-30,13.465199,9.222442
2009-01-31,12.859365,9.070359
2009-02-01,12.722282,8.628275
2009-02-02,12.932697,9.404941
2009-02-03,12.956032,9.523274
2009-02-04,13.091033,7.1674414
2009-02-05,12.5693655,4.7461915
2009-02-06,13.397284,4.379525
2009-02-07,13.573533,4.0111475
2009-02-08,13.219366,5.9116087
2009-02-09,13.213534,8.435358
2009-02-10,13.549782,9.158275
2009-02-11,13.118948,7.782134
2009-02-12,12.489365,9.7157755
2009-02-13,12.920198,9.601191
2009-02-14,12.950199,10.146192
2009-02-15,13.415198,10.744525
2009-02-16,13.992698,10.37744
2009-02-17,14.398533,8.319107
2009-02-18,14.905199,8.600774
2009-02-19,15.50145,9.350622
2009-02-20,14.100616,9.969942
2009-02-21,13.141867,8.824942
2009-02-22,12.7352,8.177443
2009-02-23,13.0068655,8.517442
2009-02-24,12.99395,7.7978587
2009-02-25,13.104366,7.278275
2009-02-26,12.678534,8.254108
2009-02-27,13.17395,9.069524
2009-02-28,13.104781,9.620358
2009-03-01,12.593533,9.381608
2009-03-02,12.108533,7.7932744
2009-03-03,12.878533,5.110358
2009-03-04,12.453117,5.1914096
2009-03-05,12.285199,6.3861923
2009-03-06,12.451449,6.853691
2009-03-07,11.961866,8.806609
2009-03-08,12.019366,9.110775
2009-03-09,12.30145,9.282441
2009-03-10,13.096032,9.099108
2009-03-11,13.17645,10.010776
2009-03-12,13.598532,9.262441
2009-03-13,13.322699,9.328276
2009-03-14,12.8002,9.058691
2009-03-15,13.271449,9.993691
2009-03-16,12.35145,9.91244
2009-03-17,12.176449,10.024526
2009-03-18,12.862283,9.455357
2009-03-19,13.645617,8.494942
2009-03-20,13.068534,8.057858
2009-03-21,12.2427,8.173693
2009-03-22,11.894783,8.565776
2009-03-23,12.099782,8.540358
2009-03-24,12.209782,8.367859
2009-03-25,12.133948,10.341191
2009-03-26,12.199782,10.536607
2009-03-27,11.856865,10.107443
2009-03-28,11.4452,9.6636915
2009-03-29,11.5293665,10.882026
2009-03-30,11.411449,10.709524
2009-03-31,11.366034,11.02369
2009-04-01,10.366865,10.272858
2009-04-02,10.828532,10.83536
2009-04-03,10.314366,10.569107
2009-04-04,10.721865,11.890575
2009-04-05,10.70145,13.475574
2009-04-06,10.771451,13.631517
2009-04-07,10.522282,12.102025
2009-04-08,10.989781,8.789525
2009-04-09,11.516033,8.952024
2009-04-10,11.698115,11.258121
2009-04-11,11.475199,11.675049
2009-04-12,11.649784,12.663383
2009-04-13,11.320617,11.6724415
2009-04-14,10.969782,11.659062
2009-04-15,10.321866,13.107287
2009-04-16,10.724783,13.553492
2009-04-17,10.373116,13.844109
2009-04-18,10.1560335,12.669108
2009-04-19,10.559366,12.304479
2009-04-20,10.458115,12.344522
2009-04-21,10.895617,11.3253565
2009-04-22,11.253531,10.7349415
2009-04-23,11.626032,10.690358
2009-04-24,10.894365,11.421609
2009-04-25,11.200617,10.324942
2009-04-26,10.831866,10.294525
2009-04-27,10.057698,11.144524
2009-04-28,10.488532,11.54744
2009-04-29,10.177282,11.134525
2009-04-30,9.547282,10.374525
2009-05-01,9.767698,10.753274
2009-05-02,10.021449,10.358274
2009-05-03,9.379784,10.096191
2009-05-04,9.605616,11.278275
2009-05-05,8.863532,9.933275
2009-05-06,9.3489485,10.900358
2009-05-07,8.967701,10.181191
2009-05-08,8.893532,10.519108
2009-05-09,8.738949,10.156193
2009-05-10,8.779366,9.77619
2009-05-11,8.421865,10.437025
2009-05-12,7.9760327,10.949107
2009-05-13,8.455616,10.7020235
2009-05-14,8.492699,10.960358
2009-05-15,7.4802003,10.019524
2009-05-16,7.573532,9.906608
2009-05-17,8.271033,10.606608
2009-05-18,8.085617,9.908275
2009-05-19,8.029366,10.181191
2009-05-20,8.009366,10.643691
2009-05-21,8.000199,10.543691
2009-05-22,8.003532,10.712858
2009-05-23,7.690199,10.624943
2009-05-24,8.460198,11.2261915
2009-05-25,8.626865,11.722025
2009-05-26,8.88145,11.537025
2009-05-27,8.8281145,12.206609
2009-05-28,8.434783,11.644106
2009-05-29,8.796866,12.144108
2009-05-30,8.47895,12.08619
2009-05-31,6.981866,10.916608
2009-06-01,6.3172827,11.420359
2009-06-02,6.6506157,10.74369
2009-06-03,6.5847836,10.527858
2009-06-04,6.376449,10.512024
2009-06-05,7.173532,11.434941
2009-06-06,6.3906164,11.723273
2009-06-07,7.3610334,11.663691
2009-06-08,6.605199,11.240358
2009-06-09,7.3118663,11.459107
2009-06-10,7.2443657,12.56369
2009-06-11,7.242699,12.496191
2009-06-12,7.0381155,11.709109
2009-06-13,7.1572833,12.432858
2009-06-14,7.4818664,11.395775
2009-06-15,7.5268664,10.952441
2009-06-16,6.870616,10.233693
2009-06-17,6.178116,9.990357
2009-06-18,5.9843655,10.653691
2009-06-19,7.012699,10.052442
2009-06-20,6.3835325,9.725775
2009-06-21,6.455199,8.278691
2009-06-22,6.415616,10.0978565
2009-06-23,6.8735332,11.280358
2009-06-24,6.3402,10.7157755
2009-06-25,5.912699,10.93786
2009-06-26,5.129366,9.843691
2009-06-27,5.668116,10.589941
2009-06-28,5.8726993,10.2470255
2009-06-29,6.0160336,11.636608
2009-06-30,5.3564496,10.617024
2009-07-01,5.7393656,10.865358
2009-07-02,5.5410323,10.839524
2009-07-03,5.1618657,9.779525
2009-07-04,5.800199,11.522859
2009-07-05,5.9256153,11.676191
2009-07-06,5.592699,10.373691
2009-07-07,5.435199,10.583691
2009-07-08,5.4889493,10.849108
2009-07-09,5.5110326,10.615358
2009-07-10,6.01145,10.402441
2009-07-11,5.6039495,10.654109
2009-07-12,5.448949,10.494525
2009-07-13,5.504366,10.209524
2009-07-14,5.8672824,10.625358
2009-07-15,5.3522825,11.089941
2009-07-16,5.7739487,11.311609
2009-07-17,5.9614496,11.781192
2009-07-18,5.857282,11.607858
2009-07-19,5.384782,11.842027
2009-07-20,5.323949,11.071608
2009-07-21,5.3051996,10.554524
2009-07-22,4.905616,10.812859
2009-07-23,4.898116,11.169942
2009-07-24,4.956866,12.098275
2009-07-25,4.5572824,11.217024
2009-07-26,4.4410324,10.855774
2009-07-27,4.6410327,11.466191
2009-07-28,4.7047825,11.518275
2009-07-29,4.822283,11.737024
2009-07-30,5.108949,11.559525
2009-07-31,4.9497833,10.62994
2009-08-01,4.948949,10.777441
2009-08-02,4.4981165,10.519107
2009-08-03,4.913116,11.243274
2009-08-04,5.1943655,11.124525
2009-08-05,5.101866,10.059109
2009-08-06,4.7681155,10.00869
2009-08-07,4.863533,10.499941
2009-08-08,4.702699,10.857441
2009-08-09,5.2676997,10.386191
2009-08-10,4.182699,11.143274
2009-08-11,4.267699,10.140358
2009-08-12,4.488949,10.549525
2009-08-13,3.860616,11.631609
2009-08-14,3.8072827,11.180775
2009-08-15,4.503116,10.8807745
2009-08-16,4.753533,10.412024
2009-08-17,4.198533,9.924524
2009-08-18,4.446866,11.0386915
2009-08-19,4.8631167,11.253275
2009-08-20,4.664366,11.021191
2009-08-21,4.6426992,10.9432745
2009-08-22,5.0739493,11.844526
2009-08-23,5.2814484,11.436607
2009-08-24,4.783949,11.091191
2009-08-25,4.8185325,11.182024
2009-08-26,4.373116,10.48869
2009-08-27,4.506866,11.145359
2009-08-28,4.7864494,11.146193
2009-08-29,4.9339495,10.936192
2009-08-30,5.415616,10.994107
2009-08-31,5.3881164,10.978691
2009-09-01,5.7147827,10.723274
2009-09-02,5.7793655,11.546608
2009-09-03,6.1131163,11.654108
2009-09-04,5.643116,11.519525
2009-09-05,5.525616,11.634108
2009-09-06,5.049366,11.041191
2009-09-07,5.0326996,11.146606
2009-09-08,5.2256165,11.791608
2009-09-09,5.1643667,11.286192
2009-09-10,4.774783,10.816608
2009-09-11,4.780616,10.439107
2009-09-12,5.1239486,10.589108
2009-09-13,4.9847827,10.796191
2009-09-14,5.184366,11.447025
2009-09-15,5.387699,12.89744
2009-09-16,5.661865,12.601609
2009-09-17,5.485199,11.419524
2009-09-18,4.7643657,11.277025
2009-09-19,4.9106164,11.069526
2009-09-20,5.249783,11.409942
2009-09-21,5.1318655,10.286608
2009-09-22,4.978949,11.092025
2009-09-23,5.1676993,11.269108
2009-09-24,5.472283,10.976609
2009-09-25,5.6697826,10.384108
2009-09-26,5.553116,10.701607
2009-09-27,5.455616,10.214107
2009-09-28,5.043949,11.147024
2009-09-29,4.7801986,11.009941
2009-09-30,4.822283,11.216192
2009-10-01,5.162699,11.711607
2009-10-02,4.9085326,11.683272
2009-10-03,5.451866,11.927441
2009-10-04,5.333116,12.181192
2009-10-05,5.653532,11.33994
2009-10-06,5.6085324,10.744108
2009-10-07,5.794783,11.923276
2009-10-08,5.6531153,11.061192
2009-10-09,6.199783,11.400774
2009-10-10,5.9602,9.982858
2009-10-11,6.3285317,11.33994
2009-10-12,6.491866,11.2453575
2009-10-13,6.1201987,12.070358
2009-10-14,6.8722825,11.290359
2009-10-15,7.0635324,10.864524
2009-10-16,6.983116,11.615776
2009-10-17,6.543116,10.727024
2009-10-18,6.4314494,10.63869
2009-10-19,5.9868655,10.220358
2009-10-20,5.966449,8.535358
2009-10-21,6.395199,10.240357
2009-10-22,6.0801992,10.935357
2009-10-23,6.257283,12.01994
2009-10-24,6.300199,11.308691
2009-10-25,6.990616,10.697858
2009-10-26,6.9735327,10.588691
2009-10-27,7.038533,11.436192
2009-10-28,7.4093657,11.432024
2009-10-29,7.638532,11.327024
2009-10-30,8.083532,11.425774
2009-10-31,8.183533,10.352444
2009-11-01,8.418532,9.543692
2009-11-02,9.168531,9.377442
2009-11-03,9.573115,9.86994
2009-11-04,9.641449,9.951608
2009-11-05,9.096033,8.442858
2009-11-06,9.032283,8.393274
2009-11-07,8.89145,9.076191
2009-11-08,8.671032,8.963691
2009-11-09,8.531449,10.8303585
2009-11-10,8.14645,10.3999405
2009-11-11,8.206866,9.629525
2009-11-12,8.075617,9.095775
2009-11-13,8.146866,8.074525
2009-11-14,8.380615,8.757441
2009-11-15,8.276865,10.273692
2009-11-16,7.997699,9.656193
2009-11-17,9.025616,9.88619
2009-11-18,9.296032,8.209107
2009-11-19,9.391449,7.526191
2009-11-20,9.329367,8.741608
2009-11-21,9.1301985,8.002858
2009-11-22,9.387282,8.332442
2009-11-23,10.138948,9.2974415
2009-11-24,10.672283,10.384523
2009-11-25,10.968948,10.981607
2009-11-26,10.831866,10.721608
2009-11-27,10.423949,9.502024
2009-11-28,10.228949,8.342025
2009-11-29,10.0302,8.936608
2009-11-30,10.793117,9.497858
2009-12-01,10.831033,9.429524
2009-12-02,10.493115,9.587441
2009-12-03,10.965615,9.741608
2009-12-04,10.883116,10.197441
2009-12-05,10.606032,9.325358
2009-12-06,10.688533,9.666192
2009-12-07,10.617699,10.002858
2009-12-08,10.082283,10.680775
2009-12-09,10.135614,10.173692
2009-12-10,10.711031,9.118691
2009-12-11,10.210616,9.688275
2009-12-12,10.746034,10.189526
2009-12-13,10.541865,9.3095255
2009-12-14,11.013949,9.341608
2009-12-15,11.332698,10.130775
2009-12-16,11.011449,9.384525
2009-12-17,11.394366,10.202024
2009-12-18,12.175198,9.406191
2009-12-19,12.627281,8.797442
2009-12-20,12.251866,6.349108
2009-12-21,12.005615,5.162025
2009-12-22,12.339367,5.747442
2009-12-23,12.483949,6.30073
2009-12-24,11.742285,7.4957757
2009-12-25,11.358116,7.1778593
2009-12-26,11.458951,8.610774
2009-12-27,11.473117,9.1324415
2009-12-28,12.268533,9.093275
2009-12-29,12.513115,8.727025
2009-12-30,12.507282,9.115775
2009-12-31,12.335616,9.847858
2010-01-01,12.091864,9.432858
2010-01-02,11.735616,8.514941
2010-01-03,12.186448,8.005358
2010-01-04,12.203949,6.8595243
2010-01-05,12.90395,6.8824415
2010-01-06,12.632283,5.7995253
2010-01-07,12.198951,6.427441
2010-01-08,11.888949,7.3924417
2010-01-09,12.879367,7.579526
2010-01-10,12.6927,4.9441085
2010-01-11,12.626867,3.0814097
2010-01-12,12.421033,3.5114098
2010-01-13,12.506451,4.321192
2010-01-14,12.661449,6.003691
2010-01-15,12.496866,7.903692
2010-01-16,12.048533,9.852442
2010-01-17,12.365618,9.673275
2010-01-18,12.118115,8.490357
2010-01-19,12.327698,8.345358
2010-01-20,12.056866,8.186192
2010-01-21,12.258532,9.145359
2010-01-22,12.412699,9.626301
2010-01-23,12.65895,10.777858
2010-01-24,12.636448,10.40744
2010-01-25,13.2952,7.964525
2010-01-26,13.11895,8.046192
2010-01-27,13.379782,8.760359
2010-01-28,13.557284,8.862024
2010-01-29,13.552282,11.009941
2010-01-30,12.597282,10.877024
2010-01-31,13.2272835,9.090775
2010-02-01,13.059781,9.275775
2010-02-02,13.710198,9.892441
2010-02-03,13.898534,10.517026
2010-02-04,13.705616,11.564525
2010-02-05,13.541864,11.573491
2010-02-06,13.523116,11.306192
2010-02-07,13.722282,9.137026
2010-02-08,13.917698,10.197441
2010-02-09,13.087282,10.136608
2010-02-10,13.741448,10.6499405
2010-02-11,14.645616,10.088691
2010-02-12,14.203948,11.234107
2010-02-13,13.868116,10.302442
2010-02-14,13.928948,8.114943
2010-02-15,13.868116,10.607442
2010-02-16,14.307698,9.892858
2010-02-17,14.17145,7.2432747
2010-02-18,13.9202,6.4591084
2010-02-19,13.536031,8.546192
2010-02-20,13.637283,10.512858
2010-02-21,13.884368,11.3599415
2010-02-22,14.017283,12.347288
2010-02-23,13.581865,11.729941
2010-02-24,13.70895,12.327812
2010-02-25,13.916449,7.559942
2010-02-26,13.599365,7.834941
2010-02-27,13.841033,10.0578575
2010-02-28,13.289367,9.317025
2010-03-01,12.743947,9.410775
2010-03-02,12.918948,10.643274
2010-03-03,12.796867,9.602442
2010-03-04,12.063532,8.073691
2010-03-05,11.622701,8.432025
2010-03-06,11.7227,8.558275
2010-03-07,11.8102,7.3307743
2010-03-08,11.8327,8.323384
2010-03-09,11.575617,9.388076
2010-03-10,12.079367,11.533691
2010-03-11,12.259366,11.668274
2010-03-12,11.703949,12.595573
2010-03-13,11.970199,13.370355
2010-03-14,12.1252,11.615358
2010-03-15,11.615616,12.522659
2010-03-16,11.85395,13.600728
2010-03-17,12.404366,12.384941
2010-03-18,11.9927,9.760775
2010-03-19,11.858949,9.204525
2010-03-20,12.304365,11.26562
2010-03-21,11.909782,10.868274
2010-03-22,11.680199,9.788692
2010-03-23,12.232699,9.300358
2010-03-24,11.923948,10.914897
2010-03-25,11.557698,12.829326
2010-03-26,12.483533,12.306608
2010-03-27,12.115198,12.372658
2010-03-28,11.696033,12.7070875
2010-03-29,10.863949,12.409525
2010-03-30,11.204365,9.899525
2010-03-31,11.348115,10.734787
2010-04-01,12.309783,11.632857
2010-04-02,12.096448,12.051192
2010-04-03,11.742282,11.794942
2010-04-04,12.276866,12.071609
2010-04-05,12.201868,11.201608
2010-04-06,11.9577,11.692024
2010-04-07,11.8106165,11.559941
2010-04-08,11.65395,11.081609
2010-04-09,11.369365,11.924523
2010-04-10,12.0902,11.989524
2010-04-11,11.763533,11.064527
2010-04-12,11.999365,10.751192
2010-04-13,12.983533,10.858121
2010-04-14,13.232282,10.907442
2010-04-15,12.0189495,10.255775
2010-04-16,11.493532,10.2141075
2010-04-17,11.404367,10.141191
2010-04-18,11.019368,11.283277
2010-04-19,10.015615,11.774942
