scenario,site,week,capacity,harvest_quantity
1,0,1,7000,
1,0,2,7000,
1,0,3,7000,
1,0,4,7000,
1,0,5,7000,
1,0,6,7000,
1,0,7,7000,
1,0,8,7000,
1,0,9,7000,
1,0,10,7000,
1,0,11,7000,
1,0,12,7000,
1,0,13,7000,
1,0,14,7000,
1,0,15,7000,
1,0,16,7000,
1,0,17,7000,
1,0,18,7000,
1,0,19,7000,
1,0,20,7000,
1,0,21,7000,
1,0,22,7000,
1,0,23,7000,
1,0,24,7000,
1,0,25,7000,
1,0,26,7000,
1,0,27,7000,
1,0,28,7000,
1,0,29,7000,
1,0,30,7000,
1,0,31,7000,
1,0,32,7000,
1,0,33,7000,
1,0,34,7000,
1,0,35,7000,
1,0,36,7000,
1,0,37,7000,
1,0,38,7000,
1,0,39,7000,
1,0,40,7000,
1,0,41,7000,
1,0,42,7000,
1,0,43,7000,
1,0,44,7000,
1,0,45,7000,
1,0,46,7000,
1,0,47,7000,
1,0,48,7000,
1,0,49,7000,
1,0,50,7000,
1,0,51,7000,
1,0,52,7000,
1,0,53,7000,
1,0,54,7000,
1,0,55,7000,
1,0,56,7000,
1,0,57,7000,
1,0,58,7000,
1,0,59,7000,
1,0,60,7000,
1,0,61,7000,
1,0,62,7000,
1,0,63,7000,
1,0,64,7000,
1,0,65,7000,
1,0,66,7000,
1,0,67,7000,
1,0,68,7000,
1,0,69,7000,
1,0,70,7000,
1,1,1,6000,
1,1,2,6000,
1,1,3,6000,
1,1,4,6000,
1,1,5,6000,
1,1,6,6000,
1,1,7,6000,
1,1,8,6000,
1,1,9,6000,
1,1,10,6000,
1,1,11,6000,
1,1,12,6000,
1,1,13,6000,
1,1,14,6000,
1,1,15,6000,
1,1,16,6000,
1,1,17,6000,
1,1,18,6000,
1,1,19,6000,
1,1,20,6000,
1,1,21,6000,
1,1,22,6000,
1,1,23,6000,
1,1,24,6000,
1,1,25,6000,
1,1,26,6000,
1,1,27,6000,
1,1,28,6000,
1,1,29,6000,
1,1,30,6000,
1,1,31,6000,
1,1,32,6000,
1,1,33,6000,
1,1,34,6000,
1,1,35,6000,
1,1,36,6000,
1,1,37,6000,
1,1,38,6000,
1,1,39,6000,
1,1,40,6000,
1,1,41,6000,
1,1,42,6000,
1,1,43,6000,
1,1,44,6000,
1,1,45,6000,
1,1,46,6000,
1,1,47,6000,
1,1,48,6000,
1,1,49,6000,
1,1,50,6000,
1,1,51,6000,
1,1,52,6000,
1,1,53,6000,
1,1,54,6000,
1,1,55,6000,
1,1,56,6000,
1,1,57,6000,
1,1,58,6000,
1,1,59,6000,
1,1,60,6000,
1,1,61,6000,
1,1,62,6000,
1,1,63,6000,
1,1,64,6000,
1,1,65,6000,
1,1,66,6000,
1,1,67,6000,
1,1,68,6000,
1,1,69,6000,
1,1,70,6000,
2,0,1,,
2,0,2,,
2,0,3,,
2,0,4,,
2,0,5,,
2,0,6,,
2,0,7,,
2,0,8,,
2,0,9,,
2,0,10,,
2,0,11,,
2,0,12,,
2,0,13,,
2,0,14,,
2,0,15,,
2,0,16,,
2,0,17,,
2,0,18,,
2,0,19,,
2,0,20,,
2,0,21,,
2,0,22,,
2,0,23,,
2,0,24,,
2,0,25,,
2,0,26,,
2,0,27,,
2,0,28,,
2,0,29,,
2,0,30,,
2,0,31,,
2,0,32,,
2,0,33,,
2,0,34,,
2,0,35,,
2,0,36,,
2,0,37,,
2,0,38,,
2,0,39,,
2,0,40,,
2,0,41,,
2,0,42,,
2,0,43,,
2,0,44,,
2,0,45,,
2,0,46,,
2,0,47,,
2,0,48,,
2,0,49,,
2,0,50,,
2,0,51,,
2,0,52,,
2,0,53,,
2,0,54,,
2,0,55,,
2,0,56,,
2,0,57,,
2,0,58,,
2,0,59,,
2,0,60,,
2,0,61,,
2,0,62,,
2,0,63,,
2,0,64,,
2,0,65,,
2,0,66,,
2,0,67,,
2,0,68,,
2,0,69,,
2,0,70,,
2,1,1,,
2,1,2,,
2,1,3,,
2,1,4,,
2,1,5,,
2,1,6,,
2,1,7,,
2,1,8,,
2,1,9,,
2,1,10,,
2,1,11,,
2,1,12,,
2,1,13,,
2,1,14,,
2,1,15,,
2,1,16,,
2,1,17,,
2,1,18,,
2,1,19,,
2,1,20,,
2,1,21,,
2,1,22,,
2,1,23,,
2,1,24,,
2,1,25,,
2,1,26,,
2,1,27,,
2,1,28,,
2,1,29,,
2,1,30,,
2,1,31,,
2,1,32,,
2,1,33,,
2,1,34,,
2,1,35,,
2,1,36,,
2,1,37,,
2,1,38,,
2,1,39,,
2,1,40,,
2,1,41,,
2,1,42,,
2,1,43,,
2,1,44,,
2,1,45,,
2,1,46,,
2,1,47,,
2,1,48,,
2,1,49,,
2,1,50,,
2,1,51,,
2,1,52,,
2,1,53,,
2,1,54,,
2,1,55,,
2,1,56,,
2,1,57,,
2,1,58,,
2,1,59,,
2,1,60,,
2,1,61,,
2,1,62,,
2,1,63,,
2,1,64,,
2,1,65,,
2,1,66,,
2,1,67,,
2,1,68,,
2,1,69,,
2,1,70,,
