population,scenario,site,planting_date
p_1,1,1,
p_2,1,1,
p_3,1,1,
p_4,1,1,
p_5,1,1,
p_6,1,1,
p_7,1,1,
p_8,1,1,
p_9,1,1,
p_10,1,1,
p_11,1,1,
p_12,1,1,
p_13,1,1,
p_14,1,1,
p_15,1,1,
p_16,1,1,
p_17,1,1,
p_18,1,1,
p_19,1,1,
p_20,1,1,
p_21,1,1,
p_22,1,1,
p_23,1,1,
p_24,1,1,
p_25,1,1,
p_26,1,1,
p_27,1,1,
p_28,1,1,
p_29,1,1,
p_30,1,1,
p_31,1,1,
p_32,1,1,
p_33,1,1,
p_34,1,1,
p_35,1,1,
p_36,1,1,
p_37,1,1,
p_38,1,1,
p_39,1,1,
p_40,1,1,
p_41,1,1,
p_42,1,1,
p_43,1,1,
p_44,1,1,
p_45,1,1,
p_46,1,1,
p_47,1,1,
p_48,1,1,
p_49,1,1,
p_50,1,1,
p_51,1,1,
p_52,1,1,
p_53,1,1,
p_54,1,1,
p_55,1,1,
p_56,1,0,
p_57,1,0,
p_58,1,0,
p_59,1,0,
p_60,1,0,
p_61,1,0,
p_62,1,0,
p_63,1,0,
p_64,1,0,
p_65,1,0,
p_66,1,0,
p_67,1,0,
p_68,1,0,
p_69,1,0,
p_70,1,0,
p_71,1,0,
p_72,1,1,
p_73,1,1,
p_74,1,1,
p_75,1,1,
p_76,1,1,
p_77,1,1,
p_78,1,1,
p_79,1,1,
p_80,1,1,
p_81,1,1,
p_82,1,1,
p_83,1,1,
p_84,1,1,
p_85,1,1,
p_86,1,1,
p_87,1,1,
p_88,1,1,
p_89,1,1,
p_90,1,1,
p_91,1,1,
p_92,1,1,
p_93,1,1,
p_94,1,1,
p_95,1,1,
p_96,1,1,
p_97,1,1,
p_98,1,1,
p_99,1,1,
p_100,1,1,
p_101,1,1,
p_102,1,1,
p_103,1,1,
p_104,1,1,
p_105,1,1,
p_106,1,1,
p_107,1,1,
p_108,1,1,
p_109,1,1,
p_110,1,1,
p_111,1,1,
p_112,1,1,
p_113,1,0,
p_114,1,0,
p_115,1,0,
p_116,1,0,
p_117,1,0,
p_118,1,0,
p_119,1,0,
p_120,1,0,
p_121,1,0,
p_122,1,0,
p_123,1,0,
p_124,1,0,
p_125,1,0,
p_126,1,0,
p_127,1,0,
p_128,1,0,
p_129,1,0,
p_130,1,0,
p_131,1,0,
p_132,1,0,
p_133,1,0,
p_134,1,0,
p_135,1,0,
p_136,1,0,
p_137,1,0,
p_138,1,0,
p_139,1,0,
p_140,1,0,
p_141,1,0,
p_142,1,0,
p_143,1,0,
p_144,1,0,
p_145,1,0,
p_146,1,0,
p_147,1,0,
p_148,1,0,
p_149,1,0,
p_150,1,0,
p_151,1,0,
p_152,1,0,
p_153,1,0,
p_154,1,0,
p_155,1,0,
p_156,1,0,
p_157,1,0,
p_158,1,0,
p_159,1,0,
p_160,1,0,
p_161,1,0,
p_162,1,0,
p_163,1,0,
p_164,1,0,
p_165,1,0,
p_166,1,0,
p_167,1,0,
p_168,1,0,
p_169,1,0,
p_170,1,0,
p_171,1,0,
p_172,1,0,
p_173,1,0,
p_174,1,0,
p_175,1,0,
p_176,1,0,
p_177,1,0,
p_178,1,0,
p_179,1,0,
p_180,1,0,
p_181,1,0,
p_182,1,0,
p_183,1,0,
p_184,1,0,
p_185,1,0,
p_186,1,0,
p_187,1,0,
p_188,1,0,
p_189,1,0,
p_190,1,0,
p_191,1,0,
p_192,1,0,
p_193,1,0,
p_194,1,0,
p_195,1,0,
p_196,1,0,
p_197,1,0,
p_198,1,0,
p_199,1,0,
p_200,1,0,
p_201,1,0,
p_202,1,0,
p_203,1,0,
p_204,1,0,
p_205,1,0,
p_206,1,0,
p_207,1,0,
p_208,1,0,
p_209,1,0,
p_210,1,0,
p_211,1,0,
p_212,1,0,
p_213,1,0,
p_214,1,0,
p_215,1,0,
p_216,1,0,
p_217,1,0,
p_218,1,0,
p_219,1,0,
p_220,1,0,
p_221,1,0,
p_222,1,0,
p_223,1,0,
p_224,1,0,
p_225,1,0,
p_226,1,0,
p_227,1,0,
p_228,1,0,
p_229,1,0,
p_230,1,0,
p_231,1,0,
p_232,1,0,
p_233,1,0,
p_234,1,0,
p_235,1,0,
p_236,1,0,
p_237,1,0,
p_238,1,0,
p_239,1,0,
p_240,1,0,
p_241,1,0,
p_242,1,0,
p_243,1,0,
p_244,1,0,
p_245,1,0,
p_246,1,0,
p_247,1,0,
p_248,1,0,
p_249,1,0,
p_250,1,0,
p_251,1,0,
p_252,1,0,
p_253,1,0,
p_254,1,0,
p_255,1,0,
p_256,1,0,
p_257,1,0,
p_258,1,0,
p_259,1,0,
p_260,1,0,
p_261,1,0,
p_262,1,0,
p_263,1,0,
p_264,1,0,
p_265,1,0,
p_266,1,0,
p_267,1,0,
p_268,1,0,
p_269,1,0,
p_270,1,0,
p_271,1,0,
p_272,1,0,
p_273,1,0,
p_274,1,0,
p_275,1,0,
p_276,1,0,
p_277,1,0,
p_278,1,0,
p_279,1,0,
p_280,1,0,
p_281,1,0,
p_282,1,0,
p_283,1,0,
p_284,1,0,
p_285,1,0,
p_286,1,0,
p_287,1,0,
p_288,1,0,
p_289,1,0,
p_290,1,0,
p_291,1,0,
p_292,1,0,
p_293,1,0,
p_294,1,0,
p_295,1,0,
p_296,1,0,
p_297,1,0,
p_298,1,0,
p_299,1,0,
p_300,1,0,
p_301,1,0,
p_302,1,0,
p_303,1,0,
p_304,1,0,
p_305,1,0,
p_306,1,0,
p_307,1,0,
p_308,1,0,
p_309,1,0,
p_310,1,0,
p_311,1,0,
p_312,1,0,
p_313,1,0,
p_314,1,0,
p_315,1,0,
p_316,1,0,
p_317,1,0,
p_318,1,0,
p_319,1,0,
p_320,1,0,
p_321,1,0,
p_322,1,0,
p_323,1,0,
p_324,1,0,
p_325,1,0,
p_326,1,0,
p_327,1,0,
p_328,1,0,
p_329,1,0,
p_330,1,0,
p_331,1,0,
p_332,1,0,
p_333,1,0,
p_334,1,0,
p_335,1,0,
p_336,1,0,
p_337,1,0,
p_338,1,0,
p_339,1,0,
p_340,1,0,
p_341,1,0,
p_342,1,0,
p_343,1,0,
p_344,1,0,
p_345,1,0,
p_346,1,0,
p_347,1,0,
p_348,1,0,
p_349,1,0,
p_350,1,1,
p_351,1,1,
p_352,1,1,
p_353,1,1,
p_354,1,1,
p_355,1,1,
p_356,1,1,
p_357,1,1,
p_358,1,1,
p_359,1,1,
p_360,1,1,
p_361,1,1,
p_362,1,1,
p_363,1,1,
p_364,1,1,
p_365,1,1,
p_366,1,1,
p_367,1,1,
p_368,1,1,
p_369,1,1,
p_370,1,1,
p_371,1,1,
p_372,1,1,
p_373,1,1,
p_374,1,1,
p_375,1,1,
p_376,1,1,
p_377,1,1,
p_378,1,1,
p_379,1,1,
p_380,1,1,
p_381,1,1,
p_382,1,1,
p_383,1,1,
p_384,1,1,
p_385,1,1,
p_386,1,1,
p_387,1,1,
p_388,1,1,
p_389,1,1,
p_390,1,1,
p_391,1,1,
p_392,1,1,
p_393,1,1,
p_394,1,1,
p_395,1,1,
p_396,1,1,
p_397,1,1,
p_398,1,1,
p_399,1,1,
p_400,1,1,
p_401,1,1,
p_402,1,1,
p_403,1,1,
p_404,1,1,
p_405,1,1,
p_406,1,0,
p_407,1,0,
p_408,1,0,
p_409,1,0,
p_410,1,0,
p_411,1,0,
p_412,1,0,
p_413,1,0,
p_414,1,0,
p_415,1,0,
p_416,1,0,
p_417,1,0,
p_418,1,0,
p_419,1,0,
p_420,1,0,
p_421,1,0,
p_422,1,0,
p_423,1,0,
p_424,1,0,
p_425,1,0,
p_426,1,0,
p_427,1,0,
p_428,1,0,
p_429,1,0,
p_430,1,0,
p_431,1,0,
p_432,1,0,
p_433,1,0,
p_434,1,0,
p_435,1,0,
p_436,1,0,
p_437,1,0,
p_438,1,0,
p_439,1,0,
p_440,1,0,
p_441,1,0,
p_442,1,0,
p_443,1,0,
p_444,1,0,
p_445,1,0,
p_446,1,0,
