ID,Target,Target_Accuracy
time_segment_129_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_130_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_131_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_132_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_133_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_198_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_199_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_200_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_201_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_202_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_292_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_293_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_294_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_295_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_296_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_361_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_362_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_363_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_364_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_365_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_466_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_467_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_468_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_469_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_470_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_535_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_536_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_537_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_538_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_539_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_762_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_763_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_764_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_765_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_766_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_831_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_832_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_833_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_834_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_835_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_919_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_920_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_921_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_922_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_923_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_988_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_989_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_990_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_991_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_992_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_1173_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_1174_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_1175_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_1176_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_1177_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_1242_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_1243_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_1244_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_1245_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_1246_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_1572_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_1573_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_1574_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_1575_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_1576_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_1641_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_1642_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
time_segment_1643_Norman Niles #1_congestion_enter_rating,heavy delay,heavy delay
time_segment_1644_Norman Niles #1_congestion_enter_rating,free flowing,free flowing
