responseId,view_label,ID_enter,ID_exit,videos,video_time,datetimestamp_start,datetimestamp_end,date,signaling,congestion_enter_rating,congestion_exit_rating,time_segment_id,cycle_phase
7IkHaYxe2IPY-A_IpprJDA,Norman Niles #1,time_segment_112_Norman Niles #1_congestion_enter_rating,time_segment_112_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-52-45.mp4,2025-10-20 07:52:45,2025-10-20 07:52:45,2025-10-20 07:53:44,2025-10-20,none,free flowing,free flowing,112,test_input_15
zIkHaZe0Fr-envgP6uGTmAE,Norman Niles #1,time_segment_113_Norman Niles #1_congestion_enter_rating,time_segment_113_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-53-45.mp4,2025-10-20 07:53:45,2025-10-20 07:53:45,2025-10-20 07:54:44,2025-10-20,none,free flowing,free flowing,113,test_input_15
24wHabLnCp__698PweWaiQ4,Norman Niles #1,time_segment_114_Norman Niles #1_congestion_enter_rating,time_segment_114_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-54-45.mp4,2025-10-20 07:54:45,2025-10-20 07:54:45,2025-10-20 07:55:00,2025-10-20,none,free flowing,free flowing,114,test_input_15
B4oHaZ3aEuK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_115_Norman Niles #1_congestion_enter_rating,time_segment_115_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-55-45.mp4,2025-10-20 07:55:45,2025-10-20 07:55:45,2025-10-20 07:56:44,2025-10-20,none,free flowing,free flowing,115,test_input_15
h4wHaYGCO-aQ2PgPqvKU8As,Norman Niles #1,time_segment_116_Norman Niles #1_congestion_enter_rating,time_segment_116_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-56-45.mp4,2025-10-20 07:56:45,2025-10-20 07:56:45,2025-10-20 07:57:44,2025-10-20,none,free flowing,free flowing,116,test_input_15
CYsHadmuAuK2nvgPsZGZ4Aw,Norman Niles #1,time_segment_117_Norman Niles #1_congestion_enter_rating,time_segment_117_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-57-45.mp4,2025-10-20 07:57:45,2025-10-20 07:57:45,2025-10-20 07:58:44,2025-10-20,none,free flowing,free flowing,117,test_input_15
7ooHad-oDJ__698PweWaiQ4,Norman Niles #1,time_segment_118_Norman Niles #1_congestion_enter_rating,time_segment_118_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-58-45.mp4,2025-10-20 07:58:45,2025-10-20 07:58:45,2025-10-20 07:59:45,2025-10-20,none,free flowing,free flowing,118,test_input_15
BYoHafTJIJehmecPss7LwQo,Norman Niles #1,time_segment_119_Norman Niles #1_congestion_enter_rating,time_segment_119_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-07-59-45.mp4,2025-10-20 07:59:45,2025-10-20 07:59:45,2025-10-20 08:00:44,2025-10-20,none,free flowing,free flowing,119,test_input_15
BooHadqALbzA698P_KuO8AM,Norman Niles #1,time_segment_120_Norman Niles #1_congestion_enter_rating,time_segment_120_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-08-00-45.mp4,2025-10-20 08:00:45,2025-10-20 08:00:45,2025-10-20 08:01:44,2025-10-20,none,free flowing,free flowing,120,test_input_15
24wHaYqrLrXOnvgP3YW5kQs,Norman Niles #1,time_segment_121_Norman Niles #1_congestion_enter_rating,time_segment_121_Norman Niles #1_congestion_exit_rating,normanniles1/normanniles1_2025-10-20-08-01-45.mp4,2025-10-20 08:01:45,2025-10-20 08:01:45,2025-10-20 08:02:44,2025-10-20,none,free flowing,free flowing,121,test_input_15
