ID,Target_RMSE,Target_MAE
Kiambu_Week_48,0,0
Kirinyaga_Week_48,0,0
Mombasa_Week_48,0,0
Nairobi_Week_48,0,0
Uasin-Gishu_Week_48,0,0
Kiambu_Week_49,0,0
Kirinyaga_Week_49,0,0
Mombasa_Week_49,0,0
Nairobi_Week_49,0,0
Uasin-Gishu_Week_49,0,0
Kiambu_Week_50,0,0
Kirinyaga_Week_50,0,0
Mombasa_Week_50,0,0
Nairobi_Week_50,0,0
Uasin-Gishu_Week_50,0,0
Kiambu_Week_51,0,0
Kirinyaga_Week_51,0,0
Mombasa_Week_51,0,0
Nairobi_Week_51,0,0
Uasin-Gishu_Week_51,0,0
Kiambu_Week_52,0,0
Kirinyaga_Week_52,0,0
Mombasa_Week_52,0,0
Nairobi_Week_52,0,0
Uasin-Gishu_Week_52,0,0
Kiambu_Week_1,0,0
Kirinyaga_Week_1,0,0
Mombasa_Week_1,0,0
Nairobi_Week_1,0,0
Uasin-Gishu_Week_1,0,0
Kiambu_Week_2,0,0
Kirinyaga_Week_2,0,0
Mombasa_Week_2,0,0
Nairobi_Week_2,0,0
Uasin-Gishu_Week_2,0,0
