County,Date,WholeSale,Commodity_Classification,Year_Week,WeekofYear
Nairobi,2023-10-03,50.0,Dry_White_Maize,2023-40,40
Kirinyaga,2023-10-03,48.89,Dry_White_Maize,2023-40,40
Kisumu,2023-10-03,44.44,Dry_White_Maize,2023-40,40
Uasin-Gishu,2023-10-03,46.67,Dry_White_Maize,2023-40,40
Uasin-Gishu,2023-10-03,46.67,Dry_White_Maize,2023-40,40
Nairobi,2023-10-04,50.0,Dry_White_Maize,2023-40,40
Nairobi,2023-10-04,48.89,Dry_White_Maize,2023-40,40
Kisumu,2023-10-04,43.33,Dry_White_Maize,2023-40,40
Kiambu,2023-10-04,46.67,Dry_White_Maize,2023-40,40
Uasin-Gishu,2023-10-04,46.67,Dry_White_Maize,2023-40,40
Nairobi,2023-10-09,44.44,Dry_White_Maize,2023-41,41
Nairobi,2023-10-10,45.56,Dry_White_Maize,2023-41,41
Uasin-Gishu,2023-10-11,44.44,Dry_White_Maize,2023-41,41
Uasin-Gishu,2023-10-12,46.67,Dry_White_Maize,2023-41,41
Nairobi,2023-10-16,43.33,Dry_White_Maize,2023-42,42
Uasin-Gishu,2023-10-16,44.44,Dry_White_Maize,2023-42,42
Nairobi,2023-10-16,47.78,Dry_White_Maize,2023-42,42
Kirinyaga,2023-10-19,45.56,Dry_White_Maize,2023-42,42
Uasin-Gishu,2023-10-20,41.67,Dry_White_Maize,2023-42,42
Uasin-Gishu,2023-10-22,42.22,Dry_White_Maize,2023-43,42
Nairobi,2023-10-23,42.22,Dry_White_Maize,2023-43,43
Nairobi,2023-10-24,42.22,Dry_White_Maize,2023-43,43
Kisumu,2023-10-26,48.34,Dry_White_Maize,2023-43,43
Uasin-Gishu,2023-10-28,41.11,Dry_White_Maize,2023-43,43
Uasin-Gishu,2023-10-30,40.0,Dry_White_Maize,2023-44,44
Kirinyaga,2023-10-30,41.11,Dry_White_Maize,2023-44,44
Kisumu,2023-10-30,48.33,Dry_White_Maize,2023-44,44
Nairobi,2023-10-30,42.22,Dry_White_Maize,2023-44,44
Uasin-Gishu,2023-10-30,41.11,Dry_White_Maize,2023-44,44
Kirinyaga,2023-10-31,41.11,Dry_White_Maize,2023-44,44
Embu,2023-11-02,47.78,Dry_White_Maize,2023-44,44
Kirinyaga,2023-11-03,43.89,Dry_White_Maize,2023-44,44
Kisumu,2023-11-06,48.33,Dry_White_Maize,2023-45,45
Kisumu,2023-11-08,43.33,Dry_White_Maize,2023-45,45
Nairobi,2023-11-08,42.22,Dry_White_Maize,2023-45,45
Kirinyaga,2023-11-08,41.11,Dry_White_Maize,2023-45,45
Uasin-Gishu,2023-11-08,41.11,Dry_White_Maize,2023-45,45
Kirinyaga,2023-11-10,43.89,Dry_White_Maize,2023-45,45
Kisumu,2023-11-10,45.96,Dry_White_Maize,2023-45,45
Kisumu,2023-11-13,48.33,Dry_White_Maize,2023-46,46
Uasin-Gishu,2023-11-17,41.11,Dry_White_Maize,2023-46,46
Uasin-Gishu,2023-11-17,42.22,Dry_White_Maize,2023-46,46
Nairobi,2023-11-17,42.22,Dry_White_Maize,2023-46,46
Kirinyaga,2023-11-17,41.11,Dry_White_Maize,2023-46,46
Kirinyaga,2023-11-17,45.56,Dry_White_Maize,2023-46,46
Kirinyaga,2023-11-27,41.11,Dry_White_Maize,2023-48,48
Uasin-Gishu,2023-11-27,43.33,Dry_White_Maize,2023-48,48
Nairobi,2023-11-27,43.33,Dry_White_Maize,2023-48,48
Embu,2023-12-04,50.0,Dry_White_Maize,2023-49,49
Nyeri,2023-12-04,45.56,Dry_White_Maize,2023-49,49
Kisumu,2023-12-04,41.11,Dry_White_Maize,2023-49,49
Nairobi,2023-12-04,42.78,Dry_White_Maize,2023-49,49
Kisumu,2023-12-04,52.22,Dry_White_Maize,2023-49,49
Uasin-Gishu,2023-12-04,42.78,Dry_White_Maize,2023-49,49
Kirinyaga,2023-12-04,47.78,Dry_White_Maize,2023-49,49
Uasin-Gishu,2023-12-04,43.33,Dry_White_Maize,2023-49,49
Uasin-Gishu,2023-12-04,41.11,Dry_White_Maize,2023-49,49
Nairobi,2023-12-04,43.33,Dry_White_Maize,2023-49,49
Nairobi,2023-12-15,43.33,Dry_White_Maize,2023-50,50
Kisumu,2023-12-15,41.11,Dry_White_Maize,2023-50,50
Kirinyaga,2023-12-15,41.11,Dry_White_Maize,2023-50,50
Nyeri,2023-12-15,45.56,Dry_White_Maize,2023-50,50
Nairobi,2023-12-15,43.33,Dry_White_Maize,2023-50,50
Uasin-Gishu,2023-12-15,42.78,Dry_White_Maize,2023-50,50
Kirinyaga,2023-12-15,47.78,Dry_White_Maize,2023-50,50
Uasin-Gishu,2023-12-15,41.11,Dry_White_Maize,2023-50,50
