Commodity,Classification,Grade,Sex,Market,Wholesale,Retail,Supply Volume,County,Date,Unit,Source,Year,Month,Year-Month,Week
dry maize,white maize,-,-,kawangware,55.0,65.0,,Nairobi,2025-07-31,,,2025,July,2025-07,31
dry maize,white maize,-,-,kipkaren,65.0,80.0,10000.0,Kakamega,2025-07-31,,,2025,July,2025-07,31
dry maize,white maize,-,-,kangemi market,,55.0,,Nairobi,2025-07-31,,,2025,July,2025-07,31
dry maize,yellow maize,-,-,gikomba,77.78,100.0,,Nairobi,2025-07-31,,,2025,July,2025-07,31
dry maize,white maize,-,-,gikomba,52.22,65.0,,Nairobi,2025-07-31,,,2025,July,2025-07,31
dry maize,white maize,-,-,kitale municipality market,55.0,65.0,300.0,Trans-Nzoia,2025-07-31,,,2025,July,2025-07,31
dry maize,white maize,-,-,kitale municipality market,55.0,65.0,300.0,Trans-Nzoia,2025-07-31,,,2025,July,2025-07,31
dry maize,mixed-traditional,-,-,kitale municipality market,50.0,60.0,500.0,Trans-Nzoia,2025-07-31,,,2025,July,2025-07,31
dry maize,white maize,-,-,taveta retail market,35.0,50.0,2000.0,Taita-Taveta,2025-07-30,,,2025,July,2025-07,31
dry maize,white maize,-,-,taveta retail market,35.0,50.0,2000.0,Taita-Taveta,2025-07-30,,,2025,July,2025-07,31
dry maize,white maize,-,-,cheptulu,58.75,65.0,4000.0,Vihiga,2025-07-30,,,2025,July,2025-07,31
dry maize,white maize,-,-,cheptulu,58.75,65.0,4000.0,Vihiga,2025-07-30,,,2025,July,2025-07,31
dry maize,white maize,-,-,cheptulu,58.75,65.0,4000.0,Vihiga,2025-07-30,,,2025,July,2025-07,31
dry maize,white maize,-,-,mogogosiek market,54.17,62.5,10800.0,Bomet,2025-07-30,,,2025,July,2025-07,31
dry maize,white maize,-,-,nyamakima,55.56,55.0,,Nairobi,2025-07-30,,,2025,July,2025-07,31
dry maize,white maize,-,-,mulot,43.33,60.0,8100.0,Bomet,2025-07-30,,,2025,July,2025-07,31
dry maize,mixed-traditional,-,-,makutano embu,40.0,45.0,,Embu,2025-07-30,,,2025,July,2025-07,31
dry maize,white maize,-,-,kawangware,55.0,65.0,,Nairobi,2025-07-30,,,2025,July,2025-07,31
dry maize,white maize,-,-,embu town,42.22,50.0,5000.0,Embu,2025-07-30,,,2025,July,2025-07,31
dry maize,yellow maize,-,-,gikomba,77.78,100.0,,Nairobi,2025-07-30,,,2025,July,2025-07,31
dry maize,white maize,-,-,gikomba,52.22,65.0,,Nairobi,2025-07-30,,,2025,July,2025-07,31
dry maize,white maize,-,-,kitale municipality market,55.0,65.0,200.0,Trans-Nzoia,2025-07-30,,,2025,July,2025-07,31
dry maize,mixed-traditional,-,-,kitale municipality market,50.0,60.0,300.0,Trans-Nzoia,2025-07-30,,,2025,July,2025-07,31
dry maize,white maize,-,-,ngurubani market,40.0,45.0,7500.0,Kirinyaga,2025-07-29,,,2025,July,2025-07,31
dry maize,yellow maize,-,-,holo,,60.0,,Kisumu,2025-07-29,,,2025,July,2025-07,31
dry maize,white maize,-,-,holo,50.0,60.0,,Kisumu,2025-07-29,,,2025,July,2025-07,31
dry maize,white maize,-,-,bondeni,55.0,65.0,300.0,Trans-Nzoia,2025-07-29,,,2025,July,2025-07,31
dry maize,mixed-traditional,-,-,bondeni,50.0,60.0,400.0,Trans-Nzoia,2025-07-29,,,2025,July,2025-07,31
dry maize,mixed-traditional,-,-,bondeni,50.0,60.0,400.0,Trans-Nzoia,2025-07-29,,,2025,July,2025-07,31
dry maize,mixed-traditional,-,-,bondeni,50.0,60.0,400.0,Trans-Nzoia,2025-07-29,,,2025,July,2025-07,31
dry maize,white maize,-,-,maua,50.0,60.0,9900.0,Meru,2025-07-29,,,2025,July,2025-07,31
dry maize,white maize,-,-,kerugoya,35.0,60.0,5000.0,Kirinyaga,2025-07-29,,,2025,July,2025-07,31
dry maize,white maize,-,-,kerugoya,35.0,60.0,5000.0,Kirinyaga,2025-07-29,,,2025,July,2025-07,31
dry maize,white maize,-,-,ahero,55.0,65.0,30000.0,Kisumu,2025-07-29,,,2025,July,2025-07,31
dry maize,mixed-traditional,-,-,ahero,55.0,65.0,6000.0,Kisumu,2025-07-29,,,2025,July,2025-07,31
dry maize,white maize,-,-,ololulung'a market,40.0,48.0,2000.0,Narok,2025-07-29,,,2025,July,2025-07,31
dry maize,white maize,-,-,kawangware,55.0,65.0,,Nairobi,2025-07-29,,,2025,July,2025-07,31
dry maize,white maize,-,-,nyamakima,55.56,55.0,,Nairobi,2025-07-29,,,2025,July,2025-07,31
dry maize,mixed-traditional,-,-,nkubu,50.0,60.0,720.0,Meru,2025-07-29,,,2025,July,2025-07,31
dry maize,yellow maize,-,-,gikomba,77.78,100,,Nairobi,2025-07-29,,,2025,July,2025-07,31
dry maize,white maize,-,-,gikomba,52.22,65,,Nairobi,2025-07-29,,,2025,July,2025-07,31
dry maize,mixed-traditional,-,-,chuka,44.44,50,3000.0,Tharaka-Nithi,2025-07-29,,,2025,July,2025-07,31
dry maize,white maize,-,-,kitale municipality market,55,70,200.0,Trans-Nzoia,2025-07-29,,,2025,July,2025-07,31
dry maize,mixed-traditional,-,-,kitale municipality market,50,65,300.0,Trans-Nzoia,2025-07-29,,,2025,July,2025-07,31
dry maize,white maize,-,-,kutus,45,55,,Kirinyaga,2025-07-28,,,2025,July,2025-07,31
dry maize,mixed-traditional,-,-,cheptulu,60,130,3600.0,Vihiga,2025-07-28,,,2025,July,2025-07,31
dry maize,yellow maize,-,-,gikomba,77.78,100,,Nairobi,2025-07-28,,,2025,July,2025-07,31
dry maize,white maize,-,-,gikomba,52.22,65,,Nairobi,2025-07-28,,,2025,July,2025-07,31
dry maize,white maize,-,-,nyamakima,55.56,55,,Nairobi,2025-07-28,,,2025,July,2025-07,31
dry maize,white maize,-,-,kawangware,55,65,,Nairobi,2025-07-28,,,2025,July,2025-07,31
dry maize,white maize,-,-,kitale municipality market,50,65,300.0,Trans-Nzoia,2025-07-28,,,2025,July,2025-07,31
dry maize,mixed-traditional,-,-,kitale municipality market,50,60,500.0,Trans-Nzoia,2025-07-28,,,2025,July,2025-07,31
dry maize,yellow maize,-,-,kibuye,,65,,Kisumu,2025-07-27,,,2025,July,2025-07,30
dry maize,white maize,-,-,kibuye,,65,,Kisumu,2025-07-27,,,2025,July,2025-07,30
