ID,Gender,Race,Age,Age_Group,Income,Credit_Score,Loan_Amount,Employment_Type,Education_Level,Citizenship_Status,Language_Proficiency,Disability_Status,Criminal_Record,Zip_Code_Group
1,Female,White,74,Over 60,112117,641,378691,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
2,Female,White,36,25-60,155943,664,441856,Self-employed,High School,Permanent Resident,Limited,No,No,Urban Professional
3,Female,White,27,25-60,130933,550,401760,Full-time,Graduate,Citizen,Fluent,No,No,Urban Professional
4,Male,White,67,Over 60,165816,804,159264,Gig,Some College,Citizen,Fluent,No,No,Urban Professional
5,Male,Multiracial,57,25-60,81510,694,256742,Full-time,Some College,Visa Holder,Fluent,No,No,Rural
6,Female,White,40,25-60,101975,694,140179,Gig,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
7,Male,White,30,25-60,150379,593,74152,Full-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
8,Male,Asian,39,25-60,30851,693,72275,Full-time,High School,Citizen,Fluent,No,No,Urban Professional
9,Male,White,50,25-60,127951,735,201533,Gig,Bachelor's,Citizen,Fluent,No,No,High-income Suburban
10,Female,Black,33,25-60,79203,747,313757,Gig,High School,Permanent Resident,Fluent,No,No,Working Class Urban
11,Male,White,34,25-60,174080,731,292404,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
12,Male,White,55,25-60,75239,546,220274,Self-employed,High School,Citizen,Fluent,Yes,No,High-income Suburban
13,Male,White,78,Over 60,70622,681,358270,Self-employed,Bachelor's,Citizen,Fluent,Yes,No,Urban Professional
14,Male,White,54,25-60,54208,695,337933,Self-employed,Bachelor's,Citizen,Fluent,No,No,Urban Professional
15,Male,White,23,Under 25,160618,535,411671,Full-time,Bachelor's,Citizen,Fluent,No,Yes,Urban Professional
16,Female,White,80,Over 60,71834,590,348811,Full-time,Some College,Citizen,Fluent,No,No,Urban Professional
17,Male,Hispanic,81,Over 60,121875,838,225615,Full-time,High School,Citizen,Fluent,No,No,Rural
18,Male,White,32,25-60,145136,558,344364,Full-time,Some College,Citizen,Fluent,No,No,Historically Redlined
19,Male,Asian,68,Over 60,37881,729,141358,Full-time,High School,Citizen,Fluent,No,No,High-income Suburban
20,Female,Black,33,25-60,37423,583,78057,Full-time,Some College,Visa Holder,Fluent,No,No,Urban Professional
21,Female,White,24,Under 25,141034,617,66731,Full-time,High School,Visa Holder,Fluent,Yes,No,Urban Professional
22,Female,White,58,25-60,88804,584,290052,Full-time,Some College,Citizen,Fluent,No,No,High-income Suburban
23,Male,Hispanic,62,Over 60,36680,766,112944,Full-time,Bachelor's,Citizen,Fluent,Yes,No,Rural
24,Female,White,37,25-60,90371,534,409501,Part-time,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
25,Male,White,30,25-60,71391,513,63297,Full-time,High School,Citizen,Fluent,No,Yes,Urban Professional
26,Male,White,34,25-60,42133,527,367550,Full-time,Bachelor's,Citizen,Fluent,Yes,Yes,High-income Suburban
27,Male,Hispanic,36,25-60,35390,560,211314,Part-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
28,Male,White,54,25-60,105556,683,342840,Full-time,Graduate,Citizen,Fluent,No,No,Working Class Urban
29,Male,Hispanic,78,Over 60,88231,672,375009,Full-time,High School,Citizen,Fluent,No,No,Working Class Urban
30,Male,Black,73,Over 60,51384,725,163136,Full-time,Graduate,Citizen,Limited,No,No,Urban Professional
31,Male,White,47,25-60,118367,737,228608,Unemployed,Bachelor's,Citizen,Fluent,No,No,Working Class Urban
32,Female,White,40,25-60,140908,515,154104,Full-time,Graduate,Citizen,Limited,No,No,Urban Professional
33,Male,Hispanic,66,Over 60,122911,545,274705,Full-time,Bachelor's,Citizen,Fluent,No,No,Urban Professional
34,Male,White,35,25-60,35742,748,333317,Full-time,Graduate,Citizen,Fluent,No,No,High-income Suburban
