reviewId,userName,userImage,Review,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
gp:AOqpTOFL2SxTuI-uoGgaqionu-OcF1nx0g18Q8aDIo-lrl2iqSdVgITUy3LizDauKitpCsp-mOKIHwVt5Gcbfls,Shayna Waldman,https://play-lh.googleusercontent.com/a-/AOh14GhyfWURtHHZgXsGxzw_rifOMXhdzR2katTTPFe0TUQ,"There's no way to start a new scan without backing all the way out to the app home screen, and it takes ~30sec to open the scanning tile. EVERY. TIME. There used to be an option to start a new scan within the scanning tile. This app seems to keep losing features, and it's really frustrating. I rely on this app heavily for scanning sheet music, and I'm to the point where I'm looking at different hardware so I don't have to deal with this neglected pile of garbage app.",1,1,8.6.1.64,6/22/2021 2:20,,,most_relevant,com.hp.printercontrol
gp:AOqpTOG1qm6aW-wuiTEsf4G3TmAUJx7fC3C_x4dxwbSJtf5Y3YC9_PiNl2ssYv26INFkRV4z7823_R4l-qOkvLg,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Hate it. Worked Great for years, then mid 2020, I can not do anything with it. It does not see printers, then it does. It has turned thousands of dollars worth of printers into door stops!!!!! I can't go back to working version. Can't Scan, Can't print from app, but no problems printing from Windows or Android on the network. Open this app and every thing stops working. I have to scan to a thumb drive now. Horrible customer service! Does what I need! Manage Printer, Scan etc",1,37,8.6.1.64,6/21/2021 5:10,,,most_relevant,com.hp.printercontrol
gp:AOqpTOE93RqUJiG_LU3uxc12D44cq1IUq3gaLcMKtd-oJFGCcK4QZxFQ-Pmpan8dWo4o1pX1scqzLnqGTXPgaXk,Sivayoganathan Sivasorupan,https://play-lh.googleusercontent.com/a/AATXAJzkL8PL-56K9_gf68ePIwIPw_-TCTs40kECb7WS=mo,The app was working perfectly at the beginning. But since june 2021 it is crashing in android based phone. I tried reinstalling a couple of time but nothing happens and I get the message that the support has not resolved the error. What is the meaning of this and how to operate the printer or suggest a way to get the cash back lically.,1,60,8.6.1.64,6/19/2021 0:45,,,most_relevant,com.hp.printercontrol
gp:AOqpTOEIiPLu75tSBKSlZfciWwp9YusrRh6TyoIxaujYZJ36tJ3XteUr9n3-4rf2hHqbq-CCBtwgH5zslqyRYmA,Gloria Mercado,https://play-lh.googleusercontent.com/a/AATXAJyaAueOY38CswC-jijfYqMIdgBm-94YrVhCsazj=mo,Is just horrible this Month of June. It keep loading and loading and loading and loading.... It's exhausting trying to scan a document. Whereas before it was a smooth transition and was able to scan documents without any issues. Too bad I had to select a star in order to post my comment. What's going on?????????,1,0,8.6.1.64,6/21/2021 19:25,,,most_relevant,com.hp.printercontrol
gp:AOqpTOENFd32g0JKNTrtBp8oz8zfRI5QAllCo0eePXBknbCNWy4PeEBGiLTYwDCG53_ToumQRSzUo2Gj9TO2E74,Libertyu WArd,https://play-lh.googleusercontent.com/a-/AOh14Gh2kGo4B_2CGQoWD7hldzAi1FaEGun-uugdMwhaaw,"WARNING: Return your printer before it's too late. This app has SO many problems. I have wasted so much paper and ink because it will not let me print double sided. The only way to do it is through ""shortcuts"", but it doesnt even work through shortcuts. It says ""There was a problem with your shortcut. Try again later."" I have tried countless solutions. The ""help"" site doesnt work because it doesnt tell you how to do it through this app. Also, it connects to printer about 50% of the time :/",1,78,8.6.1.64,6/17/2021 22:53,,,most_relevant,com.hp.printercontrol
gp:AOqpTOGZOzn_EuTaf2yaDBdk7lb9D8XhK2TuqwBciYPf3nWDzxN2ylYaSFID0MiyFh7s-LlhBB5fgzLNNRAL1JM,Caxton McDonald's,https://play-lh.googleusercontent.com/a/AATXAJzTWnXnsTvgF-KnIdQm8mLrnm_5M8Q08fsR5pU_=mo,"Forces me to create account to print (so pretty much extracting your personal data AFTER you purchased printer), then it wont even log into the account. 'Thank you for your patience' it says. No HP, my patience is over, App goes to bin, printer goes back to the store this very moment. And off I go to competition... So very disappointing and WHAT A WASTE OF MY TIME",1,1,8.6.1.64,6/21/2021 9:12,,,most_relevant,com.hp.printercontrol
gp:AOqpTOHUtxuf2k-bhO6iLfXK3amcNiXeJ7wcuzDH8CHQkN7c8gjOG1efFn2u8xSj8478OmAEzLVzN2ZS2F7a548,Todd Allan,https://play-lh.googleusercontent.com/a-/AOh14GizUGDojO-bc-gG88qPp6PVqkZj2DUXZuSr1ySJ,"Avoid HP printers at all costs. Network connectivity is the worst of any printer ive ever had. My business has been stalled going on a week now, over 200.00 thrown at the problem and since warranty expired no tech support. Absolutely the most expensive ink and it is always running out. Horrible HIRRUBLE EXPERIENCE AND WILL NEVER SUPPORT HP AGAIN. IN A WORD...GARBAGE.",1,6,8.6.1.64,6/20/2021 23:19,,,most_relevant,com.hp.printercontrol
gp:AOqpTOFRzE2R1Nq9bym4FBzz22R9Yz6e8m_xg4ek5C0raEFA5UIw9tC2Trhtc5WW0YmbYAuTOvpb7Ilxk-zuOoQ,Adam Candela,https://play-lh.googleusercontent.com/a/AATXAJydN3yNdrWec6ySdKgLH2FomCL1qR512l52gGlS=mo,"Absolutely awful app. Wifi printing is supposed to be convenient but this app turns printing into a headache every single time. I have had a range is issues but right now when I open a document and press the print button the app just takes me to my account page instead of printing. If I print from my PC it works fine. I have removed and reinstalled the app, removed and reinstalled the printer but the app still just brings me to the account page.",1,0,8.6.1.64,6/21/2021 13:49,,,most_relevant,com.hp.printercontrol
gp:AOqpTOEI2XMy3HoBEGuIC9dufpW1jZBax7R5t5ofgoVCUyYG8notuzIyvV9mcIGhcH9_FrwR31V0Ky23KT-eWs4,Jamie Graham,https://play-lh.googleusercontent.com/a-/AOh14GhwKumcXWqOUGL5HFrakhDzfMAPXvCVBNxFLVcX,"Nice printer but never connects to any device, useless and the apps are setup to waste paper by not offering limited options during the print printing. Try to print mutable wallet photos per page and there's no option. Also have to print one at time. Downloaded the other HP app that offers this option, but it won't print, just gets a error. I'm returning this printer before my 30 days. Plus the app doesn't open docs",1,122,8.6.1.64,6/18/2021 18:51,,,most_relevant,com.hp.printercontrol
gp:AOqpTOGXhhNX32T5qTo33czchl6X6-cEBiFaP4JlozRugOdUGa-NuA6OpF3MPvr8xARghBJHf8gYlfjvmOh3ZHQ,Queen Kamooch,https://play-lh.googleusercontent.com/a-/AOh14GhZ1_G4gQhitUyytZ6jTS0Pr1GLq0EuJCfE1_Kf,Was Good had no issues until recent update. Now my phone and printer wobt connect for me to print. I keep getting a pop up when i try to print papers. It says communication has been restored if job has not completed successfully try again. Which I do but the same message pops up please fix this. I have fixed print issue now the newest update wont allow me to fax imgoing to uninstall.,1,23,8.6.1.64,6/17/2021 20:55,,,most_relevant,com.hp.printercontrol
gp:AOqpTOGo-OHhvnmLqhKhXacTznPfapuDnwIILlcxItqBIO2NS25oJQrkl2pB5RFyc_mTWZNAl1AGabB8MWad8BQ,David Lovegood,https://play-lh.googleusercontent.com/a-/AOh14Gj43aShsUb98b7LLHjp7wXnGNppS_cyEdNggOtsGQ,This app is MANDATORY for printer setup. An HP Smart account is MANDATORY for printer usage. The HP Smart app is MANDATORY to send jobs to your printer. By that I mean HP will stop printing after 5 pages and delete everything else in the queue if you had the audacity to send a print job from anything but their software. I don't know if this is a new industry standard but I'm seriously considering returning this otherwise perfectly fine printer and using my local library for printing everything.,1,62,8.6.1.64,6/17/2021 3:22,,,most_relevant,com.hp.printercontrol
gp:AOqpTOGMZDpD3aPsilBu0F4rzdEu-ISTkWsKJd-vtWLugUkH4sJ0Jupi0Pppz49KX6_5QmaA1WUFu1DA4DUGSUw,John Mitchell,https://play-lh.googleusercontent.com/a/AATXAJzUAWIHOiDoRjafaQ48JqF4a5SrW08QtbqgHZVr=mo,"Last update, over a month ago, broke the app, still not fixed. Since the last update, I can no longer use certain features to print from/using my phone. If I try to use camera scan or copy, it doesn't open the camera, just a black screen displayed. Update again 18/06...still not working! Please fix!!",1,81,8.6.1.64,6/18/2021 20:58,,,most_relevant,com.hp.printercontrol
gp:AOqpTOEfN8ovNNLINNK1j2Q4r1Rr95Ao8E4auboK3rhfTSJ0ECK4qGJ3Zs3FccQKd9HGZQp4_bZzIZrCbauuNzY,Marion Jansson,https://play-lh.googleusercontent.com/a-/AOh14GjpzOZCs3_3YytBhlpHrrTTxy4q5Ks3ccSZtOoeXw,I go through the app and try to login to my account and the little circle just spins and spins and I back out and try again and again. I tried for over an hour this morning. I'm beginning to wish I had never bought this stupid printer.,1,1,8.6.1.64,6/21/2021 11:23,,,most_relevant,com.hp.printercontrol
