Funding Org: Org subventionnaire,Country Served:Pays servis,Province Served:Province servis,Fiscal Year:Année fiscal,"Grant Programme:Title:Programme, titre",Geographical Area Served:Région servis,Cross-catchment indicator:,Identifier:Identificateur,Organization name:Nom d'organisme,Submission date: Date de soumission,Approval date:Date approvée,Amount Applied For:Montant demandé,Amount Awarded:Montant décerné,Planned Dates:Duration (months):Dates planifiées:durée(mois),Description (English/Anglais),Description (French/Français),Budget Fund:Fonds du budget,Recipient Org:Incorporation Number:Org du bénéficiaires: Numéro d'incorporation,Recipient Org:Charitable Registration Number: Org du bénéficiaires:Numéro d'enregistrement d'organisme de bienfaisance,Recipient Org:City:Org du bénéficiaires:Ville,Recipient Org:Postal Code: Org du bénéficiaires:code postale,Co-Application:Co-demandeurs,Population Served:Population servis,Age Group:Groupe d'âge,Grant Result:Résultat de subvention,Last modified:Mise à jour
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140126436,ArtReach Toronto c/o Tides Canada Foundation,1/13/2014,2/20/2014,283100,292000,18,"$292,000 over 18 months to facilitate capacity building and develop evaluation tools for emerging young leaders and grassroots groups, who are either applying for funding or implementing initiatives through the Grassroots Innovation Stream of the Youth Opportunities Fund. Funds will support the hiring of a Project Coordinator and program delivery costs","292 000 $, échelonnés sur 18 mois, afin de favoriser le renforcement de la capacité ainsi que d’élaborer des outils d’évaluation pour les jeunes leaders et les groupes locaux émergents qui font une demande de subvention ou mettent en œuvre des initiatives par l’entremise de la source Innovations communautaires du Fonds Perspectives Jeunesse. Les fonds appuieront l’embauche d’un coordonnateur de projet et les coûts de prestation du programme.",Capacity Building,,130560188RR0001,Toronto,M5T 2C7,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Indigenous youth (i.e. First Nations, Métis or Inuit youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth are enaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,"Durham, Haliburton, Kawartha, Pine Ridge",No,2Y13140000225,Oshawa Community Health Centre,1/24/2014,3/19/2014,1250000,971700,48,"$971,700 over four years to strengthen programming and mental health supports for Aboriginal youth living in and around Durham Region. Funding will support youth as they work collaboratively to create programs which will improve cultural knowledge, self-identity and mental health. Funding will also support participation in networking and volunteer opportunities. ","971 700 $, échelonnés sur quatre ans, afin de renforcer les programmes et les formes de soutien en santé mentale à l’intention des jeunes Autochtones vivant dans la région de Durham et les environs. La subvention appuiera les jeunes dans leur travail de collaboration visant à créer des programmes qui amélioreront la connaissance de leur culture, leur propre identité et leur santé mentale. La subvention appuiera aussi la participation au réseautage et aux possibilités de bénévolat pour les jeunes.",Strategic Collaboration,691780,119158137RR0001,Oshawa,L1H 3X7,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth)",12 to 14 years;15 to 19 years;20 to 25 years,"Youth form and maintain healthy, close relationships;Youth are enaged in their community;Youth know about and easily navigate resources and opportunities in their communities",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Halton Peel,No,2Y13140000171,Reach Out Centre for Kids (ROCK),1/24/2014,3/19/2014,1081500,853200,48,"$853,200 over four years to establish a dedicated program centre for LGBTTQ youth and their families in Halton Region to access support, and foster positive youth development. This work will include establishing a youth advisory group. ","853 200 $, échelonnés sur quatre ans, afin d’établir un centre de programmes pour que les jeunes GLBTTQ et leur famille de la région de Halton puissent accéder à du soutien, ainsi que de favoriser le développement positif des jeunes. Ce travail comprendra la mise en place d’un groupe consultatif de jeunes.",Strategic Collaboration,,106914369RR0001,Burlington,L7R 4M4,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Indigenous youth (i.e. First Nations, Métis or Inuit youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth are enaged in their community;Youth know about and easily navigate resources and opportunities in their communities,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140000150,WoodGreen Community Services ,1/24/2014,3/19/2014,1170300,953600,48,"$953,600 over four years to provide support, mentorship and opportunities for youth in the adult correctional system to earn their high school diploma. The Look at My Life Project will provide one-on-one tutoring, support and information sessions for youth in custody. Youth enrolled in the program will also receive post-release supports in accessing employment, post-secondary education and housing.","953 600 $, échelonnés sur quatre ans, afin d’élargir le programme Rites of Passage à l’intention des jeunes de descendance africaine à Falstaff à Jane et Wilson, The Peanut dans le quartier Don Valley Village, et dans Scarborough Village. Le programme Rites of Passage est fondé sur une formation reconnue de 12 mois qui vise à favoriser le développement positif des jeunes et l’acquisition de compétences en leadership.",Strategic Collaboration,415110-1,108220435RR0002,Toronto,M4J1L2,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families,12 to 14 years;15 to 19 years;20 to 25 years,"Youth form and maintain healthy, close relationships;Youth have at least one consistent, caring person in their lives;Youth are enaged in their community",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140000259,Amadeusz - The Look at My Life Project c/o Albion Neighbourhood Services,1/24/2014,3/19/2014,225000,225000,36,"$225,000 over three years to provide support, mentorship and opportunities for young people in the adult correctional system to earn their high school diploma. The Look at My Life Project (TLMLP) will provide one-on-one tutoring, support and information sessions for youth in custody. Youth enrolled in the program will also receive post-release supports in accessing employment, post-secondary education and housing.","225 000 $, échelonnés sur trois ans, afin d’offrir du soutien, du mentorat et des possibilités aux jeunes qui sont dans le système correctionnel pour adultes pour qu’ils obtiennent leur diplôme d’études secondaires. L’initiative The Look at My Life Project offrira des séances de tutorat, de soutien et d’information individuelles aux jeunes en détention. Les jeunes qui participeront au programme recevront aussi du soutien après leur libération afin qu’ils accèdent à un emploi, des études postsecondaires et du logement.",Grassroots Innovation,,131502916RR0001,Toronto,M9V 4E3,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Newcomer youth;Youth living with disabilities or special needs between the ages of 12 to 29,15 to 19 years;20 to 25 years,"Youth have at least one consistent, caring person in their lives;Youth know about and easily navigate resources and opportunities in their communities",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140000327,Eritrean Youth Collective c/o For Youth Initiative,1/24/2014,3/19/2014,372600,365700,60,"$365,700 over five years to develop a leadership and mentorship program for Eritrean youth in Toronto. Young leaders will plan, lead and promote action within their social networks and the broader Eritrean community.","365 700 $, échelonnés sur cinq ans, afin d’élaborer un programme de leadership et de mentorat à l’intention des jeunes Érythréens de Toronto. Les jeunes leaders planifieront, dirigeront et promouvront des actions dans leurs réseaux sociaux et l’ensemble de la communauté érythréenne.",Grassroots Innovation,,876026725RR0001,Toronto,M6M 3W3,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in low-income situations or from low-income families,15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth are engaged in their community,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140000216,Remembered Voices,1/24/2014,3/19/2014,224600,225000,36,"$225,000 over three years to develop a weekly program for Aboriginal 2-Spirit, LGBT*Q and Asexual youth who are homeless or at risk for homelessness in Toronto. Designed, organized and run by Aboriginal youth, the weekly sessions will provide youth with a safe space and an opportunity to explore and access traditional languages, histories, art, land and cultural healing practices. ","225 000 $, échelonnés sur trois ans, afin d’élaborer un programme hebdomadaire à l’intention des jeunes Autochtones bispirituels, GLBT*Q et asexués qui sont itinérants ou à risque de l’être, à Toronto. Conçues, organisées et tenues par les jeunes Autochtones, les séances hebdomadaires offriront aux jeunes un espace sécuritaire ainsi qu’une occasion de s’intéresser et d’accéder aux langues traditionnelles, à des histoires, à l’art, à la terre et aux pratiques.",Grassroots Innovation,,85912 8332 RR0001,Toronto,M6J 2W5,Yes,"Indigenous youth (i.e. First Nations, Métis or Inuit youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law",12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,"Youth form and maintain healthy, close relationships;Youth are engaged in their community",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140000250,The Forgiveness Project c/o For Youth Initiative ,1/24/2014,3/19/2014,370000,370000,60,"$370,000 over five years to engage youth aged 15-29 from Toronto in activities around forgiveness and restoration. Participants will gain access to monthly discussion-based workshops that will assist youth in understanding and reflecting on the concept of forgiveness. ","370 000 $, échelonnés sur cinq ans, afin d’engager les jeunes de 15 à 29 ans de Toronto dans des activités ayant trait au pardon et à la réparation. Les participants pourront accéder à des ateliers de discussion mensuels qui les aideront les jeunes à comprendre le concept du pardon et à y réfléchir",Grassroots Innovation,,876026725RR0001,Toronto,M6M 3W3,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law",15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,"Youth form and maintain healthy, close relationships;Youth are engaged in their community",3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140000386,Young and Potential Fathers c/o YMCA GTA,1/24/2014,3/19/2014,375000,375000,60,"$375,000 over five years to develop a network of community-based organizations and to recruit and train youth in the design of program initiatives that provide support to young racialized fathers.","375 000 $, échelonnés sur cinq ans, afin de développer un réseau d’organismes communautaires ainsi que de recruter et former des jeunes en conception de programmes qui offriront du soutien aux jeunes pères racialisés.",Grassroots Innovation,,11930 7080 RR0001,Toronto,M4S 2C6,Yes,Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law,12 to 14 years;15 to 19 years;20 to 25 years;12 to 29 years for youth with special needs or disabilities,Youth are engaged in their community;Youth have families and caregivers to help them thirve,3/5/2020 0:00
Ontario Trillium Foundation ,Canada,Ontario,2013-2014,Youth Opportunities Fund ,Toronto ,No,2Y13140000120,3rd Street Foundation c/o Access Alliance Multicultural Health and Community Services,1/24/2014,3/19/2014,25000,25000,12,"$25,000 over one year to mentor and train up to thirty-five youth in Jane and Finch area in an afterschool program focusing on leadership skills such as goal management training, cognitive behaviour intervention and negotiation. ","25 000 $, échelonnés sur un an, afin d’offrir du mentorat et de la formation à 35 jeunes du quartier Jane et Finch dans le cadre d’un programme parascolaire mettant l’accent sur les compétences en leadership, notamment de la formation en gestion des objectifs, en intervention de comportement cognitif et en négociation.",Grassroots Innovation,719952,123636664RR0001,Toronto,M5T 3A9,Yes,"Black/Afro-diasporic/Afro-Caribbean and/or Afro-Latinx youth;Racialized youth (other than Black youth);Lesbian, gay, bi-sexual, transgender, two-spirit, queer (LGBTTQ+) youth;Newcomer youth;Youth at-risk of dropping out or have dropped out of school;Youth in care or leaving care;Youth in low-income situations or from low-income families;Youth living with disabilities or special needs between the ages of 12 to 29;Youth vulnerable of becoming or are in conflict with the law",15 to 19 years;20 to 25 years,"Youth have at least one consistent, caring person in their lives",3/5/2020 0:00
