,Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Count
0,Canada,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,,,,,,30897210.0
1,Canada,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Non-movers,,,,,26534115.0
2,Canada,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,,,,,4363095.0
3,Canada,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,Non-migrants,,,,2554260.0
4,Canada,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,Migrants,,,,1808830.0
5,Canada,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,Migrants,Internal migrants,,,1511305.0
6,Canada,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,1221560.0
7,Canada,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,Migrants,Internal migrants,Interprovincial migrants,,289745.0
8,Canada,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,Migrants,External migrants,,,297530.0
9,Canada,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,,,,,,29544485.0
10,Canada,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Non-movers,,,,,17457165.0
11,Canada,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,,,,,12087315.0
12,Canada,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,Non-migrants,,,,6507905.0
13,Canada,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,Migrants,,,,5579410.0
14,Canada,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,Migrants,Internal migrants,,,4419370.0
15,Canada,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,3566795.0
16,Canada,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,Migrants,Internal migrants,Interprovincial migrants,,852580.0
17,Canada,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,Migrants,External migrants,,,1160035.0
18,Canada,Immigration characteristics,Total population by citizenship - 20% sample data,,,,,,31241030.0
19,Canada,Immigration characteristics,Total population by citizenship - 20% sample data,Canadian citizens,,,,,29480160.0
20,Canada,Immigration characteristics,Total population by citizenship - 20% sample data,Canadian citizens,Canadian citizens under age 18,,,,6604285.0
21,Canada,Immigration characteristics,Total population by citizenship - 20% sample data,Canadian citizens,Canadian citizens age 18 and over,,,,22875880.0
22,Canada,Immigration characteristics,Total population by citizenship - 20% sample data,Not Canadian citizens,,,,,1760865.0
23,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,,,,,,31241030.0
24,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Non-immigrants,,,,,24788720.0
25,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Non-immigrants,Born in province of residence,,,,20933115.0
26,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Non-immigrants,Born outside province of residence,,,,3855610.0
27,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,,,,,6186950.0
28,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,United States of America,,,,250535.0
29,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Central America,,,,130455.0
30,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Caribbean and Bermuda,,,,317765.0
31,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,South America,,,,250710.0
32,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Europe,,,,2278350.0
33,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Europe,Western Europe,,,424645.0
34,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Europe,Eastern Europe,,,511095.0
35,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Europe,Southern Europe,,,698085.0
36,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Europe,Southern Europe,Italy,,296850.0
37,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Europe,Southern Europe,Other Southern Europe,,401230.0
38,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Europe,Northern Europe,,,644525.0
39,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Europe,Northern Europe,United Kingdom,,579625.0
40,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Europe,Northern Europe,Other Northern Europe,,64900.0
41,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Africa,,,,374565.0
42,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Africa,Western Africa,,,48645.0
43,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Africa,Eastern Africa,,,129920.0
44,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Africa,Northern Africa,,,134505.0
45,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Africa,Central Africa,,,22405.0
46,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Africa,Southern Africa,,,39085.0
47,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Asia and the Middle East,,,,2525155.0
48,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Asia and the Middle East,West Central Asia and the Middle East,,,370520.0
49,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Asia and the Middle East,Eastern Asia,,,874365.0
50,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Asia and the Middle East,Eastern Asia,"China, People's Republic of",,466940.0
51,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Asia and the Middle East,Eastern Asia,"Hong Kong, Special Administrative Region",,215430.0
52,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Asia and the Middle East,Eastern Asia,Other Eastern Asia,,191995.0
53,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Asia and the Middle East,Southeast Asia,,,560995.0
54,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Asia and the Middle East,Southeast Asia,Philippines,,303195.0
55,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Asia and the Middle East,Southeast Asia,Other Southeast Asia,,257800.0
56,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Asia and the Middle East,Southern Asia,,,719275.0
57,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Asia and the Middle East,Southern Asia,India,,443690.0
58,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Asia and the Middle East,Southern Asia,Other Southern Asia,,275590.0
59,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Oceania and other,,,,59405.0
60,Canada,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Non-permanent residents,,,,,265360.0
61,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,,,,,,1109980.0
62,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,United States of America,,,,,38770.0
63,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Central America,,,,,23275.0
64,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Caribbean and Bermuda,,,,,34985.0
65,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,South America,,,,,61330.0
66,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Europe,,,,,178520.0
67,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Europe,Western Europe,,,,32425.0
68,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Europe,Eastern Europe,,,,92565.0
69,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Europe,Southern Europe,,,,25585.0
70,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Europe,Southern Europe,Italy,,,2275.0
71,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Europe,Southern Europe,Other Southern Europe,,,23315.0
72,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Europe,Northern Europe,,,,27940.0
73,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Europe,Northern Europe,United Kingdom,,,25655.0
74,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Europe,Northern Europe,Other Northern Europe,,,2285.0
75,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Africa,,,,,117215.0
76,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Africa,Western Africa,,,,19930.0
77,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Africa,Eastern Africa,,,,30810.0
78,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Africa,Northern Africa,,,,48845.0
79,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Africa,Central Africa,,,,10830.0
80,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Africa,Southern Africa,,,,6800.0
81,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Asia and the Middle East,,,,,647225.0
82,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Asia and the Middle East,West Central Asia and the Middle East,,,,106870.0
83,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Asia and the Middle East,Eastern Asia,,,,215280.0
84,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Asia and the Middle East,Eastern Asia,"China, People's Republic of",,,155105.0
85,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Asia and the Middle East,Eastern Asia,"Hong Kong, Special Administrative Region",,,7430.0
86,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Asia and the Middle East,Eastern Asia,Other Eastern Asia,,,52745.0
87,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Asia and the Middle East,Southeast Asia,,,,100225.0
88,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Asia and the Middle East,Southeast Asia,Philippines,,,77880.0
89,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Asia and the Middle East,Southeast Asia,Other Southeast Asia,,,22345.0
90,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Asia and the Middle East,Southern Asia,,,,224845.0
91,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Asia and the Middle East,Southern Asia,India,,,129140.0
92,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Asia and the Middle East,Southern Asia,Other Southern Asia,,,95700.0
93,Canada,Immigration characteristics,Total recent immigrants by selected places of birth - 20% sample data,Oceania and other,,,,,8655.0
94,Canada,Immigration characteristics,Total immigrant population by period of immigration - 20% sample data,,,,,,6186950.0
95,Canada,Immigration characteristics,Total immigrant population by period of immigration - 20% sample data,Before 1961,,,,,791225.0
96,Canada,Immigration characteristics,Total immigrant population by period of immigration - 20% sample data,1961 to 1970,,,,,710285.0
97,Canada,Immigration characteristics,Total immigrant population by period of immigration - 20% sample data,1971 to 1980,,,,,903705.0
98,Canada,Immigration characteristics,Total immigrant population by period of immigration - 20% sample data,1981 to 1990,,,,,1003205.0
99,Canada,Immigration characteristics,Total immigrant population by period of immigration - 20% sample data,1991 to 2000,,,,,1668555.0
100,Canada,Immigration characteristics,Total immigrant population by period of immigration - 20% sample data,1991 to 2000,1991 to 1995,,,,823925.0
101,Canada,Immigration characteristics,Total immigrant population by period of immigration - 20% sample data,1991 to 2000,1996 to 2000,,,,844625.0
102,Canada,Immigration characteristics,Total immigrant population by period of immigration - 20% sample data,2001 to 2006,,,,,1109980.0
103,Canada,Immigration characteristics,Total immigrant population by age at immigration - 20% sample data,,,,,,6186950.0
104,Canada,Immigration characteristics,Total immigrant population by age at immigration - 20% sample data,Under 5 years,,,,,543395.0
105,Canada,Immigration characteristics,Total immigrant population by age at immigration - 20% sample data,5 to 14 years,,,,,1102130.0
106,Canada,Immigration characteristics,Total immigrant population by age at immigration - 20% sample data,15 to 24 years,,,,,1417945.0
107,Canada,Immigration characteristics,Total immigrant population by age at immigration - 20% sample data,25 to 44 years,,,,,2549570.0
108,Canada,Immigration characteristics,Total immigrant population by age at immigration - 20% sample data,45 years and over,,,,,573905.0
109,M1B,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,,,,,,64015.0
110,M1B,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Non-movers,,,,,54790.0
111,M1B,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,,,,,9225.0
112,M1B,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,Non-migrants,,,,6905.0
113,M1B,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,Migrants,,,,2320.0
114,M1B,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,Migrants,Internal migrants,,,1060.0
115,M1B,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,940.0
116,M1B,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,Migrants,Internal migrants,Interprovincial migrants,,115.0
117,M1B,Immigration characteristics,Total - Mobility status 1 year ago - 20% sample data,Movers,Migrants,External migrants,,,1260.0
118,M1B,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,,,,,,60505.0
119,M1B,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Non-movers,,,,,31930.0
120,M1B,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,,,,,28575.0
121,M1B,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,Non-migrants,,,,20700.0
122,M1B,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,Migrants,,,,7875.0
123,M1B,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,Migrants,Internal migrants,,,2580.0
124,M1B,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,Migrants,Internal migrants,Intraprovincial migrants,,2025.0
125,M1B,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,Migrants,Internal migrants,Interprovincial migrants,,555.0
126,M1B,Immigration characteristics,Total - Mobility status 5 years ago - 20% sample data,Movers,Migrants,External migrants,,,5295.0
127,M1B,Immigration characteristics,Total population by citizenship - 20% sample data,,,,,,64885.0
128,M1B,Immigration characteristics,Total population by citizenship - 20% sample data,Canadian citizens,,,,,55950.0
129,M1B,Immigration characteristics,Total population by citizenship - 20% sample data,Canadian citizens,Canadian citizens under age 18,,,,15505.0
130,M1B,Immigration characteristics,Total population by citizenship - 20% sample data,Canadian citizens,Canadian citizens age 18 and over,,,,40450.0
131,M1B,Immigration characteristics,Total population by citizenship - 20% sample data,Not Canadian citizens,,,,,8930.0
132,M1B,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,,,,,,64885.0
133,M1B,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Non-immigrants,,,,,24300.0
134,M1B,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Non-immigrants,Born in province of residence,,,,22325.0
135,M1B,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Non-immigrants,Born outside province of residence,,,,1975.0
136,M1B,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,,,,,39695.0
137,M1B,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,United States of America,,,,190.0
138,M1B,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Central America,,,,180.0
139,M1B,Immigration characteristics,Total population by immigrant status and place of birth - 20% sample data,Immigrants,Caribbean and Bermuda,,,,7165.0
