,Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Count
0,Canada,Income characteristics,Total - Composition of total income in 2000 % - 20% Sample Data,,,,,,100.0
1,Canada,Income characteristics,Total - Composition of total income in 2000 % - 20% Sample Data,Employment income %,,,,,77.1
2,Canada,Income characteristics,Total - Composition of total income in 2000 % - 20% Sample Data,Government transfer payments %,,,,,11.6
3,Canada,Income characteristics,Total - Composition of total income in 2000 % - 20% Sample Data,Other %,,,,,11.3
4,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,,,,,,23901360.0
5,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,Without income,,,,,1178305.0
6,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,,,,,22723055.0
7,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"Under $1,000",,,,1027290.0
8,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$  1,000 - $  2,999",,,,1052670.0
9,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$  3,000 - $  4,999",,,,865750.0
10,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$  5,000 - $  6,999",,,,1013325.0
11,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$  7,000 - $  9,999",,,,1463950.0
12,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$10,000 - $11,999",,,,1092325.0
13,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$12,000 - $14,999",,,,1670990.0
14,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$15,000 - $19,999",,,,2244945.0
15,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$20,000 - $24,999",,,,1878230.0
16,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$25,000 - $29,999",,,,1687195.0
17,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$30,000 - $34,999",,,,1667055.0
18,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$35,000 - $39,999",,,,1307490.0
19,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$40,000 - $44,999",,,,1174890.0
20,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$45,000 - $49,999",,,,847150.0
21,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$50,000 - $59,999",,,,1338815.0
22,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,With income,"$60,000 and over",,,,2390990.0
23,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,Average income $,,,,,29769.0
24,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,Median income $,,,,,22120.0
25,Canada,Income characteristics,Total income in 2000 of population 15 years and over - 20% Sample Data,Standard error of average income $,,,,,19.0
26,Canada,Income characteristics,Total income in 2000 of males 15 years and over,,,,,,11626790.0
27,Canada,Income characteristics,Total income in 2000 of males 15 years and over,Without income,,,,,437750.0
28,Canada,Income characteristics,Total income in 2000 of males 15 years and over,With income,,,,,11189035.0
29,Canada,Income characteristics,Total income in 2000 of males 15 years and over,With income,"Under $1,000",,,,457375.0
30,Canada,Income characteristics,Total income in 2000 of males 15 years and over,With income,"$  1,000 - $  2,999",,,,413105.0
