,Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Count
0,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,,,,,,8896840.0
1,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Size of census family: 2 persons,,,,,4291665.0
2,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Size of census family: 3 persons,,,,,1959210.0
3,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Size of census family: 4 persons,,,,,1840575.0
4,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Size of census family: 5 or more persons,,,,,805395.0
5,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Size of census family: 5 or more persons,,,,,8896845.0
6,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,,,,,7482780.0
7,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,Married couples,,,,6105910.0
8,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,Married couples,Without children at home,,,2662135.0
9,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,Married couples,With children at home,,,3443780.0
10,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,Married couples,With children at home,1 child,,1267620.0
11,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,Married couples,With children at home,2 children,,1497750.0
12,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,Married couples,With children at home,3 or more children,,678400.0
13,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,Common-law couples,,,,1376865.0
14,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,Common-law couples,Without children at home,,,758715.0
15,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,Common-law couples,With children at home,,,618150.0
16,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,Common-law couples,With children at home,1 child,,291255.0
17,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,Common-law couples,With children at home,2 children,,234755.0
18,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total couple families by family structure and number of children,Common-law couples,With children at home,3 or more children,,92140.0
19,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total lone-parent families by sex of parent and number of children,,,,,1414060.0
20,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total lone-parent families by sex of parent and number of children,Female parent,,,,1132290.0
21,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total lone-parent families by sex of parent and number of children,Female parent,1 child,,,682025.0
22,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total lone-parent families by sex of parent and number of children,Female parent,2 children,,,327665.0
23,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total lone-parent families by sex of parent and number of children,Female parent,3 or more children,,,122600.0
24,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total lone-parent families by sex of parent and number of children,Male parent,,,,281770.0
25,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total lone-parent families by sex of parent and number of children,Male parent,1 child,,,188790.0
26,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total lone-parent families by sex of parent and number of children,Male parent,2 children,,,72665.0
27,Canada,Household and dwelling characteristics,Total number of census families in private households - 20% sample data,Total lone-parent families by sex of parent and number of children,Male parent,3 or more children,,,20320.0
28,Canada,Household and dwelling characteristics,Total number of children at home - 20% sample data,,,,,,9733770.0
29,Canada,Household and dwelling characteristics,Total number of children at home - 20% sample data,Under six years of age,,,,,2013065.0
30,Canada,Household and dwelling characteristics,Total number of children at home - 20% sample data,6 to 14 years,,,,,3501480.0
