,Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Count
0,Canada,Family characteristics,Population 15 years and over in private households with no children at home,,,,,,15973950.0
1,Canada,Family characteristics,Population 15 years and over in private households with no children at home,In the labour force,,,,,9489615.0
2,Canada,Family characteristics,Population 15 years and over in private households with no children at home,In the labour force,Employed,,,,8752735.0
3,Canada,Family characteristics,Population 15 years and over in private households with no children at home,In the labour force,Unemployed,,,,736880.0
4,Canada,Family characteristics,Population 15 years and over in private households with no children at home,Not in the labour force,,,,,6484335.0
5,Canada,Family characteristics,Population 15 years and over in private households with children at home,,,,,,9537920.0
6,Canada,Family characteristics,Population 15 years and over in private households with children at home,In the labour force,,,,,7588240.0
7,Canada,Family characteristics,Population 15 years and over in private households with children at home,In the labour force,Employed,,,,7205465.0
8,Canada,Family characteristics,Population 15 years and over in private households with children at home,In the labour force,Unemployed,,,,382775.0
9,Canada,Family characteristics,Population 15 years and over in private households with children at home,Not in the labour force,,,,,1949680.0
10,Canada,Family characteristics,Population 15 years and over in private households with children under 6 years only,,,,,,1639275.0
11,Canada,Family characteristics,Population 15 years and over in private households with children under 6 years only,In the labour force,,,,,1335280.0
12,Canada,Family characteristics,Population 15 years and over in private households with children under 6 years only,In the labour force,Employed,,,,1241160.0
13,Canada,Family characteristics,Population 15 years and over in private households with children under 6 years only,In the labour force,Unemployed,,,,94120.0
14,Canada,Family characteristics,Population 15 years and over in private households with children under 6 years only,Not in the labour force,,,,,304000.0
15,Canada,Family characteristics,Population 15 years and over in private households with children under 6 years as well as children 6 years and over,,,,,,1144125.0
16,Canada,Family characteristics,Population 15 years and over in private households with children under 6 years as well as children 6 years and over,In the labour force,,,,,921620.0
17,Canada,Family characteristics,Population 15 years and over in private households with children under 6 years as well as children 6 years and over,In the labour force,Employed,,,,866200.0
18,Canada,Family characteristics,Population 15 years and over in private households with children under 6 years as well as children 6 years and over,In the labour force,Unemployed,,,,55415.0
19,Canada,Family characteristics,Population 15 years and over in private households with children under 6 years as well as children 6 years and over,Not in the labour force,,,,,222500.0
20,Canada,Family characteristics,Population 15 years and over in private households with children 6 years and over only,,,,,,6754525.0
21,Canada,Family characteristics,Population 15 years and over in private households with children 6 years and over only,In the labour force,,,,,5331340.0
