,Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Count
0,Canada,Population Characteristics,"Population, 2006 - 100% data",,,,,,31612897.0
1,Canada,Population Characteristics,Total population by sex and age groups - 100% data,,,,,,31612895.0
2,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",,,,,15475970.0
3,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",0 to 4 years,,,,864600.0
4,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",5 to 9 years,,,,926860.0
5,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",10 to 14 years,,,,1065860.0
6,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",15 to 19 years,,,,1095285.0
7,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",20 to 24 years,,,,1047945.0
8,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",25 to 29 years,,,,975945.0
9,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",30 to 34 years,,,,987715.0
10,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",35 to 39 years,,,,1083495.0
11,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",40 to 44 years,,,,1285535.0
12,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",45 to 49 years,,,,1290130.0
13,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",50 to 54 years,,,,1158970.0
14,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",55 to 59 years,,,,1026395.0
15,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",60 to 64 years,,,,780140.0
16,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",65 to 69 years,,,,593805.0
17,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",70 to 74 years,,,,493465.0
18,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",75 to 79 years,,,,386485.0
19,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",80 to 84 years,,,,251420.0
20,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",85 years and over,,,,161925.0
21,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",,,,,16136930.0
22,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",0 to 4 years,,,,825940.0
23,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",5 to 9 years,,,,882515.0
24,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",10 to 14 years,,,,1014065.0
25,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",15 to 19 years,,,,1045205.0
26,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",20 to 24 years,,,,1032440.0
27,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",25 to 29 years,,,,1009635.0
28,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",30 to 34 years,,,,1032510.0
29,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",35 to 39 years,,,,1124775.0
30,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",40 to 44 years,,,,1324925.0
31,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",45 to 49 years,,,,1330470.0
32,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",50 to 54 years,,,,1198335.0
33,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",55 to 59 years,,,,1058230.0
34,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",60 to 64 years,,,,809730.0
35,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",65 to 69 years,,,,640770.0
36,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",70 to 74 years,,,,560320.0
37,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",75 to 79 years,,,,493090.0
38,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",80 to 84 years,,,,395285.0
39,Canada,Population Characteristics,Total population by sex and age groups - 100% data,"Female, total",85 years and over,,,,358685.0
40,Canada,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,,,,,,26033060.0
41,Canada,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Never legally married (single),,,,,9087030.0
42,Canada,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Legally married (and not separated),,,,,12470395.0
43,Canada,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,"Separated, but still legally married",,,,,775420.0
44,Canada,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Divorced,,,,,2087385.0
45,Canada,Population Characteristics,Total population 15 years and over by legal marital status - 100% data,Widowed,,,,,1612820.0
46,Canada,Population Characteristics,Total population 15 years and over by common-law status - 100% data,,,,,,26033060.0
47,Canada,Population Characteristics,Total population 15 years and over by common-law status - 100% data,Not in a common-law relationship,,,,,23301425.0
48,Canada,Population Characteristics,Total population 15 years and over by common-law status - 100% data,In a common-law relationship,,,,,2731635.0
1576,M1B,Population Characteristics,"Population, 2006 - 100% data",,,,,,65129.0
1577,M1B,Population Characteristics,Total population by sex and age groups - 100% data,,,,,,65125.0
1578,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",,,,,31305.0
1579,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",0 to 4 years,,,,2150.0
1580,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",5 to 9 years,,,,2410.0
1581,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",10 to 14 years,,,,2485.0
1582,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",15 to 19 years,,,,2505.0
1583,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",20 to 24 years,,,,2590.0
1584,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",25 to 29 years,,,,2235.0
1585,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",30 to 34 years,,,,2120.0
1586,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",35 to 39 years,,,,2230.0
1587,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",40 to 44 years,,,,2430.0
1588,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",45 to 49 years,,,,2285.0
1589,M1B,Population Characteristics,Total population by sex and age groups - 100% data,"Male, total",50 to 54 years,,,,2090.0
