,Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Count
0,Canada,Religion,Total population by selected religions - 20% Sample Data,,,,,,29639030.0
1,Canada,Religion,Total population by selected religions - 20% Sample Data,Roman Catholic,,,,,12793125.0
2,Canada,Religion,Total population by selected religions - 20% Sample Data,No religion,,,,,4796325.0
3,Canada,Religion,Total population by selected religions - 20% Sample Data,United Church,,,,,2839125.0
4,Canada,Religion,Total population by selected religions - 20% Sample Data,Anglican,,,,,2035500.0
5,Canada,Religion,Total population by selected religions - 20% Sample Data,Christian not included elsewhere,,,,,780450.0
6,Canada,Religion,Total population by selected religions - 20% Sample Data,Baptist,,,,,729475.0
7,Canada,Religion,Total population by selected religions - 20% Sample Data,Lutheran,,,,,606590.0
8,Canada,Religion,Total population by selected religions - 20% Sample Data,Muslim,,,,,579640.0
9,Canada,Religion,Total population by selected religions - 20% Sample Data,Protestant not included elsewhere,,,,,549205.0
10,Canada,Religion,Total population by selected religions - 20% Sample Data,Presbyterian,,,,,409825.0
11,Canada,Religion,Total population by selected religions - 20% Sample Data,Pentecostal,,,,,369475.0
12,Canada,Religion,Total population by selected religions - 20% Sample Data,Jewish,,,,,329995.0
13,Canada,Religion,Total population by selected religions - 20% Sample Data,Buddhist,,,,,300345.0
14,Canada,Religion,Total population by selected religions - 20% Sample Data,Hindu,,,,,297200.0
15,Canada,Religion,Total population by selected religions - 20% Sample Data,Sikh,,,,,278410.0
16,Canada,Religion,Total population by selected religions - 20% Sample Data,Greek Orthodox,,,,,215170.0
17,Canada,Religion,Total population by selected religions - 20% Sample Data,Mennonite,,,,,191470.0
18,Canada,Religion,Total population by selected religions - 20% Sample Data,Orthodox not included elsewhere,,,,,165420.0
19,Canada,Religion,Total population by selected religions - 20% Sample Data,Jehovah's Witnesses,,,,,154750.0
20,Canada,Religion,Total population by selected religions - 20% Sample Data,Ukrainian Catholic,,,,,126200.0
21,Canada,Religion,Total population by selected religions - 20% Sample Data,Church of Jesus Christ of Latter-day Saints (Mormons),,,,,101800.0
22,Canada,Religion,Total population by selected religions - 20% Sample Data,Salvation Army,,,,,87790.0
23,Canada,Religion,Total population by selected religions - 20% Sample Data,Christian Reformed Church,,,,,76665.0
24,Canada,Religion,Total population by selected religions - 20% Sample Data,Evangelical Missionary Church,,,,,66705.0
