,Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Count
0,Canada,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,,,,,,31241030.0
1,Canada,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,,,,,1172785.0
2,Canada,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,North American Indian single response,,,,698025.0
3,Canada,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,Métis single response,,,,389785.0
4,Canada,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,Inuit single response,,,,50480.0
5,Canada,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,Multiple Aboriginal identity responses,,,,7740.0
6,Canada,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,Aboriginal responses not included elsewhere,,,,26760.0
7,Canada,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Non-Aboriginal identity population,,,,,30068240.0
8,Canada,Visible Minority,Total population by Registered Indian status - 20% sample data,,,,,,31241030.0
9,Canada,Visible Minority,Total population by Registered Indian status - 20% sample data,Registered Indian,,,,,623780.0
10,Canada,Visible Minority,Total population by Registered Indian status - 20% sample data,Not a Registered Indian,,,,,30617250.0
11,M1B,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,,,,,,64885.0
12,M1B,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,,,,,295.0
13,M1B,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,North American Indian single response,,,,205.0
14,M1B,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,Métis single response,,,,85.0
15,M1B,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,Inuit single response,,,,0.0
16,M1B,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,Multiple Aboriginal identity responses,,,,0.0
17,M1B,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,Aboriginal responses not included elsewhere,,,,0.0
18,M1B,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Non-Aboriginal identity population,,,,,64590.0
19,M1B,Visible Minority,Total population by Registered Indian status - 20% sample data,,,,,,64880.0
20,M1B,Visible Minority,Total population by Registered Indian status - 20% sample data,Registered Indian,,,,,115.0
21,M1B,Visible Minority,Total population by Registered Indian status - 20% sample data,Not a Registered Indian,,,,,64770.0
22,M1C,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,,,,,,34395.0
23,M1C,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,,,,,175.0
24,M1C,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,North American Indian single response,,,,120.0
25,M1C,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,Métis single response,,,,50.0
26,M1C,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,Inuit single response,,,,0.0
27,M1C,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,Multiple Aboriginal identity responses,,,,0.0
28,M1C,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Total Aboriginal identity population,Aboriginal responses not included elsewhere,,,,0.0
29,M1C,Visible Minority,Total population by Aboriginal and non-Aboriginal identity population - 20% sample data,Non-Aboriginal identity population,,,,,34220.0
30,M1C,Visible Minority,Total population by Registered Indian status - 20% sample data,,,,,,34395.0
