Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Count
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,,,,,,31241030
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,,,,,30848270
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,English,,,,17882775
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,French,,,,6817655
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,,,,6147840
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Algonquin,,,1920
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Atikamekw,,,5245
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Blackfoot,,,3085
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Carrier,,,1560
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Chilcotin,,,1070
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Chipewyan,,,525
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Cree,,,78855
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Siouan languages (Dakota/Sioux),,,5585
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Dene,,,9750
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Dogrib,,,2015
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Gitksan,,,1175
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Inuinnaqtun,,,370
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,"Inuktitut, n.i.e.",,,32010
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Kutchin-Gwich'in (Loucheux),,,355
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Malecite,,,535
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Mi'kmaq,,,7365
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Mohawk,,,290
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Montagnais-Naskapi,,,10970
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Nisga'a,,,675
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,North Slave (Hare),,,1065
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Ojibway,,,24190
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Oji-Cree,,,11690
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Shuswap,,,935
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,South Slave,,,1605
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Tlingit,,,80
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Italian,,,455040
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Portuguese,,,219275
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Romanian,,,78500
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Spanish,,,345345
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Danish,,,18735
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Dutch,,,128900
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Flemish,,,5660
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Frisian,,,2890
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,German,,,450570
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Norwegian,,,7225
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Swedish,,,8220
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Yiddish,,,16295
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Bosnian,,,12790
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Bulgarian,,,16790
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Croatian,,,55330
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Czech,,,24450
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Macedonian,,,18440
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Polish,,,211175
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Russian,,,133580
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Serbian,,,51670
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Serbo-Croatian,,,12510
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Slovak,,,18820
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Slovenian,,,13135
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Ukrainian,,,134505
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Latvian,,,6995
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Lithuanian,,,8335
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Estonian,,,8240
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Finnish,,,21030
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Hungarian,,,73335
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Greek,,,117285
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Armenian,,,30130
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Turkish,,,24745
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Amharic,,,14555
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Arabic,,,261640
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Hebrew,,,17630
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Maltese,,,6405
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Somali,,,27320
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Tigrigna,,,7105
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Bengali,,,45680
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Gujarati,,,81465
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Hindi,,,78235
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Kurdish,,,7655
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Panjabi (Punjabi),,,367505
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Pashto,,,9030
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Persian (Farsi),,,134080
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Sindhi,,,10355
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Sinhala (Sinhalese),,,10180
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Urdu,,,145805
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Malayalam,,,11925
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Tamil,,,115875
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Telugu,,,6630
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Japanese,,,40200
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Korean,,,125575
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Cantonese,,,361450
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,"Chinese, n.o.s.",,,456710
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Mandarin,,,170950
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Taiwanese,,,9615
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Lao,,,13940
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Khmer (Cambodian),,,19100
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Vietnamese,,,141625
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Bisayan languages,,,11240
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Ilocano,,,13450
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Malay,,,9490
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,"Tagalog (Pilipino, Filipino)",,,235620
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Akan (Twi),,,12780
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Swahili,,,7935
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Creoles,,,53515
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Single responses,Non-official languages,Other languages,,,172650
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Multiple responses,,,,,392760
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Multiple responses,English and French,,,,98625
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Multiple responses,English and non-official language,,,,240005
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Multiple responses,French and non-official language,,,,43335
Canada,Detailed Language characteristics,Total population by mother tongue - 20% sample data,Multiple responses,"English, French and non-official language",,,,10790
Canada,Detailed Language characteristics,Total population by knowledge of official languages - 20% sample data,,,,,,31241030
Canada,Detailed Language characteristics,Total population by knowledge of official languages - 20% sample data,English only,,,,,21129945
Canada,Detailed Language characteristics,Total population by knowledge of official languages - 20% sample data,French only,,,,,4141850
Canada,Detailed Language characteristics,Total population by knowledge of official languages - 20% sample data,English and French,,,,,5448850
Canada,Detailed Language characteristics,Total population by knowledge of official languages - 20% sample data,Neither English nor French,,,,,520385
Canada,Detailed Language characteristics,Total population by first official language spoken - 20% sample data,,,,,,31241030
Canada,Detailed Language characteristics,Total population by first official language spoken - 20% sample data,English,,,,,23197090
Canada,Detailed Language characteristics,Total population by first official language spoken - 20% sample data,French,,,,,7204390
Canada,Detailed Language characteristics,Total population by first official language spoken - 20% sample data,English and French,,,,,331925
Canada,Detailed Language characteristics,Total population by first official language spoken - 20% sample data,Neither English nor French,,,,,507620
Canada,Detailed Language characteristics,Official language minority - (number),,,,,,7370350
Canada,Detailed Language characteristics,Official language minority - (percentage),,,,,,23.6
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,,,,,,31241030
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,,,,,30665025
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,English,,,,20584775
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,French,,,,6608125
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,,,,3472130
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Algonquin,,,385
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Atikamekw,,,4745
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Blackfoot,,,1575
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Carrier,,,605
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Chilcotin,,,435
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Chipewyan,,,125
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Cree,,,47190
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Siouan languages (Dakota/Sioux),,,3780
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Dene,,,7490
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Dogrib,,,1110
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Gitksan,,,320
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Inuinnaqtun,,,70
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,"Inuktitut, n.i.e.",,,25290
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Kutchin-Gwich'in (Loucheux),,,25
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Malecite,,,140
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Mi'kmaq,,,3985
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Mohawk,,,20
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Montagnais-Naskapi,,,9720
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Nisga'a,,,175
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,North Slave (Hare),,,650
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Ojibway,,,11115
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Oji-Cree,,,8480
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Shuswap,,,250
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,South Slave,,,600
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Tlingit,,,0
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Italian,,,170330
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Portuguese,,,103875
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Romanian,,,51060
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Spanish,,,209955
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Danish,,,1340
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Dutch,,,14235
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Flemish,,,420
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Frisian,,,250
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,German,,,128350
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Norwegian,,,460
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Swedish,,,1110
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Yiddish,,,5700
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Bosnian,,,8380
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Bulgarian,,,11810
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Croatian,,,22160
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Czech,,,6985
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Macedonian,,,8705
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Polish,,,101575
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Russian,,,93805
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Serbian,,,34775
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Serbo-Croatian,,,6545
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Slovak,,,5805
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Slovenian,,,2705
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Ukrainian,,,28060
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Latvian,,,2005
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Lithuanian,,,2585
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Estonian,,,2155
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Finnish,,,4190
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Hungarian,,,21905
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Greek,,,55100
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Armenian,,,21485
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Turkish,,,15885
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Amharic,,,8225
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Arabic,,,144745
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Hebrew,,,8650
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Maltese,,,1150
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Somali,,,17045
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Tigrigna,,,3550
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Bengali,,,33565
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Gujarati,,,52715
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Hindi,,,42875
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Kurdish,,,4950
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Panjabi (Punjabi),,,278500
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Pashto,,,6705
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Persian (Farsi),,,97220
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Sindhi,,,5050
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Sinhala (Sinhalese),,,4780
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Urdu,,,102805
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Malayalam,,,5695
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Tamil,,,92680
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Telugu,,,3870
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Japanese,,,19535
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Korean,,,101500
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Cantonese,,,300590
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,"Chinese, n.o.s.",,,341480
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Mandarin,,,143385
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Taiwanese,,,4580
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Lao,,,8555
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Khmer (Cambodian),,,11430
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Vietnamese,,,111440
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Bisayan languages,,,4610
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Ilocano,,,5920
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Malay,,,3680
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,"Tagalog (Pilipino, Filipino)",,,119345
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Akan (Twi),,,7335
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Swahili,,,2925
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Creoles,,,21610
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Single responses,Non-official languages,Other languages,,,77435
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Multiple responses,,,,,576000
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Multiple responses,English and French,,,,94055
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Multiple responses,English and non-official language,,,,406455
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Multiple responses,French and non-official language,,,,58885
Canada,Detailed Language characteristics,Total population by language spoken most often at home - 20% sample data,Multiple responses,"English, French and non-official language",,,,16600
Canada,Detailed Language characteristics,Algonquin - Various non-official languages spoken - 20% sample data,,,,,,2685
Canada,Detailed Language characteristics,Atikamekw,,,,,,5645
Canada,Detailed Language characteristics,Blackfoot,,,,,,4915
Canada,Detailed Language characteristics,Carrier,,,,,,2495
Canada,Detailed Language characteristics,Chilcotin,,,,,,1400
Canada,Detailed Language characteristics,Chipewyan,,,,,,770
Canada,Detailed Language characteristics,Cree,,,,,,99950
Canada,Detailed Language characteristics,Siouan languages (Dakota/Sioux),,,,,,6495
Canada,Detailed Language characteristics,Dene,,,,,,11130
Canada,Detailed Language characteristics,Dogrib,,,,,,2645
Canada,Detailed Language characteristics,Gitksan,,,,,,1575
Canada,Detailed Language characteristics,Inuinnaqtun,,,,,,580
Canada,Detailed Language characteristics,"Inuktitut, n.i.e.",,,,,,35690
Canada,Detailed Language characteristics,Kutchin-Gwich'in (Loucheux),,,,,,570
Canada,Detailed Language characteristics,Malecite,,,,,,790
