Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1B,Age characteristics,Total population by age groups,,,,,,67255
M1B,Age characteristics,Total population by age groups,0 to 4 years,,,,,4165
M1B,Age characteristics,Total population by age groups,5 to 9 years,,,,,4275
M1B,Age characteristics,Total population by age groups,10 to 14 years,,,,,4750
M1B,Age characteristics,Total population by age groups,15 to 19 years,,,,,5100
M1B,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,1095
M1B,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,1070
M1B,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,1040
M1B,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,965
M1B,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,925
M1B,Age characteristics,Total population by age groups,20 to 24 years,,,,,5145
M1B,Age characteristics,Total population by age groups,25 to 29 years,,,,,5040
M1B,Age characteristics,Total population by age groups,30 to 34 years,,,,,4365
M1B,Age characteristics,Total population by age groups,35 to 39 years,,,,,4380
M1B,Age characteristics,Total population by age groups,40 to 44 years,,,,,4555
M1B,Age characteristics,Total population by age groups,45 to 49 years,,,,,5250
M1B,Age characteristics,Total population by age groups,50 to 54 years,,,,,4735
M1B,Age characteristics,Total population by age groups,55 to 59 years,,,,,4390
M1B,Age characteristics,Total population by age groups,60 to 64 years,,,,,3990
M1B,Age characteristics,Total population by age groups,65 to 69 years,,,,,2725
M1B,Age characteristics,Total population by age groups,70 to 74 years,,,,,1785
M1B,Age characteristics,Total population by age groups,75 to 79 years,,,,,1230
M1B,Age characteristics,Total population by age groups,80 to 84 years,,,,,765
M1B,Age characteristics,Total population by age groups,85 years and over,,,,,605
M1B,Age characteristics,Median age of the population,,,,,,35.9
M1B,Age characteristics,% of the population aged 15 and over,,,,,,80.4
M1C,Age characteristics,Total population by age groups,,,,,,35600
M1C,Age characteristics,Total population by age groups,0 to 4 years,,,,,1515
M1C,Age characteristics,Total population by age groups,5 to 9 years,,,,,1730
M1C,Age characteristics,Total population by age groups,10 to 14 years,,,,,2100
M1C,Age characteristics,Total population by age groups,15 to 19 years,,,,,2635
M1C,Age characteristics,Total population by age groups,15 to 19 years,15 years,,,,535
M1C,Age characteristics,Total population by age groups,15 to 19 years,16 years,,,,500
M1C,Age characteristics,Total population by age groups,15 to 19 years,17 years,,,,540
M1C,Age characteristics,Total population by age groups,15 to 19 years,18 years,,,,540
M1C,Age characteristics,Total population by age groups,15 to 19 years,19 years,,,,530
M1C,Age characteristics,Total population by age groups,20 to 24 years,,,,,2710
M1C,Age characteristics,Total population by age groups,25 to 29 years,,,,,2225
M1C,Age characteristics,Total population by age groups,30 to 34 years,,,,,1770
M1C,Age characteristics,Total population by age groups,35 to 39 years,,,,,1810
