Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1B,Household and dwelling characteristics,Total number of persons in private households,,,,,,66950
M1B,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,,,,,7595
M1B,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living with relatives,,,,2920
M1B,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living with non-relatives only,,,,1660
M1B,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living alone,,,,3015
M1B,Household and dwelling characteristics,Total number of persons in private households,Number of census family persons,,,,,59355
M1B,Household and dwelling characteristics,Average number of persons per census family,,,,,,3.3
M1B,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,,,,,,6920
M1B,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,,,,,2165
M1B,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with relatives,,,,1095
M1B,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with non-relatives only,,,,175
M1B,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living alone,,,,905
M1B,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of census family persons aged 65 years and over,,,,,4755
M1B,Household and dwelling characteristics,Total number of private households by household type,,,,,,20045
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,,,,,16455
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,,,,12445
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,,,9555
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,Without children,,2475
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,With children,,7085
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Lone-parent-family households,,,2885
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,,,,4015
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,,,2355
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,,1610
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,Without children,290
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Couple-family households,With children,1320
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,One-family households with persons not in a census family,Lone-parent-family households,,740
M1B,Household and dwelling characteristics,Total number of private households by household type,Census-family households,Other family households,Two-or-more-family households,,,1660
M1B,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,,,,,3585
M1B,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,One-person households,,,,3015
M1B,Household and dwelling characteristics,Total number of private households by household type,Non-census-family households,Two-or-more-person households,,,,570
M1B,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,,,,,,20045
M1B,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Single-detached house,,,,,6390
M1B,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,"Apartment, building that has five or more storeys",,,,,4110
M1B,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Movable dwelling,,,,,5
M1B,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,,,,,9540
M1B,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Semi-detached house,,,,1825
M1B,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Row house,,,,4745
M1B,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,"Apartment, duplex",,,,1630
M1B,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,"Apartment, building that has fewer than five storeys",,,,1245
M1B,Household and dwelling characteristics,Total number of occupied private dwellings by structural type of dwelling,Other dwelling,Other single-attached house,,,,85
M1B,Household and dwelling characteristics,Total number of private households by household size,,,,,,20045
M1B,Household and dwelling characteristics,Total number of private households by household size,1 person,,,,,3020
M1B,Household and dwelling characteristics,Total number of private households by household size,2 persons,,,,,4250
M1B,Household and dwelling characteristics,Total number of private households by household size,3 persons,,,,,3930
M1B,Household and dwelling characteristics,Total number of private households by household size,4 persons,,,,,4245
M1B,Household and dwelling characteristics,Total number of private households by household size,5 persons,,,,,2485
M1B,Household and dwelling characteristics,Total number of private households by household size,6 or more persons,,,,,2120
M1B,Household and dwelling characteristics,Number of persons in private households,,,,,,66950
M1B,Household and dwelling characteristics,Average number of persons in private households,,,,,,3.3
M1C,Household and dwelling characteristics,Total number of persons in private households,,,,,,35275
M1C,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,,,,,3000
M1C,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living with relatives,,,,1080
M1C,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living with non-relatives only,,,,725
M1C,Household and dwelling characteristics,Total number of persons in private households,Number of persons not in census families,Living alone,,,,1190
M1C,Household and dwelling characteristics,Total number of persons in private households,Number of census family persons,,,,,32285
M1C,Household and dwelling characteristics,Average number of persons per census family,,,,,,3.1
M1C,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,,,,,,4895
M1C,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,,,,,1110
M1C,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with relatives,,,,555
M1C,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living with non-relatives only,,,,80
M1C,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of persons not in census families aged 65 years and over,Living alone,,,,475
M1C,Household and dwelling characteristics,Total number of persons aged 65 years and over in private households,Number of census family persons aged 65 years and over,,,,,3790
M1C,Household and dwelling characteristics,Total number of private households by household type,,,,,,11150
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,,,,,9715
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,,,,8175
M1C,Household and dwelling characteristics,Total number of private households by household type,Census-family households,One-family-only households,Couple-family households,,,7155
