Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1B,Family characteristics,Total number of census families in private households,,,,,,18255
M1B,Family characteristics,Total number of census families in private households,Size of census family: 2 persons,,,,,6280
M1B,Family characteristics,Total number of census families in private households,Size of census family: 3 persons,,,,,4700
M1B,Family characteristics,Total number of census families in private households,Size of census family: 4 persons,,,,,4650
M1B,Family characteristics,Total number of census families in private households,Size of census family: 5 or more persons,,,,,2635
M1B,Family characteristics,Total number of census families in private households,Size of census family: 5 or more persons,,,,,18255
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,,,,,13635
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Married couples,,,,12790
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Married couples,Without children at home,,,3500
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Married couples,With children at home,,,9290
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Married couples,With children at home,1 child,,3090
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Married couples,With children at home,2 children,,3910
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Married couples,With children at home,3 or more children,,2290
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Common-law couples,,,,840
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Common-law couples,Without children at home,,,370
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Common-law couples,With children at home,,,475
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Common-law couples,With children at home,1 child,,195
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Common-law couples,With children at home,2 children,,170
M1B,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Common-law couples,With children at home,3 or more children,,105
M1B,Family characteristics,Total number of census families in private households,Total lone-parent families by sex of parent and number of children,,,,,4620
M1B,Family characteristics,Total number of census families in private households,Total lone-parent families by sex of parent and number of children,Female parent,,,,3965
M1B,Family characteristics,Total number of census families in private households,Total lone-parent families by sex of parent and number of children,Female parent,1 child,,,2000
M1B,Family characteristics,Total number of census families in private households,Total lone-parent families by sex of parent and number of children,Female parent,2 children,,,1230
M1B,Family characteristics,Total number of census families in private households,Total lone-parent families by sex of parent and number of children,Female parent,3 or more children,,,730
M1B,Family characteristics,Total number of census families in private households,Total lone-parent families by sex of parent and number of children,Male parent,,,,660
M1B,Family characteristics,Total number of census families in private households,Total lone-parent families by sex of parent and number of children,Male parent,1 child,,,410
M1B,Family characteristics,Total number of census families in private households,Total lone-parent families by sex of parent and number of children,Male parent,2 children,,,180
M1B,Family characteristics,Total number of census families in private households,Total lone-parent families by sex of parent and number of children,Male parent,3 or more children,,,70
M1B,Family characteristics,Total children in census families in private households,,,,,,27465
M1B,Family characteristics,Total children in census families in private households,Under six years of age,,,,,4980
M1B,Family characteristics,Total children in census families in private households,6 to 14 years,,,,,8100
M1B,Family characteristics,Total children in census families in private households,15 to 17 years,,,,,3130
M1B,Family characteristics,Total children in census families in private households,18 to 24 years,,,,,6030
M1B,Family characteristics,Total children in census families in private households,25 years and over,,,,,5225
M1B,Family characteristics,Average number of children at home per census family,,,,,,1.5
M1C,Family characteristics,Total number of census families in private households,,,,,,10380
M1C,Family characteristics,Total number of census families in private households,Size of census family: 2 persons,,,,,4025
M1C,Family characteristics,Total number of census families in private households,Size of census family: 3 persons,,,,,2550
M1C,Family characteristics,Total number of census families in private households,Size of census family: 4 persons,,,,,2750
M1C,Family characteristics,Total number of census families in private households,Size of census family: 5 or more persons,,,,,1055
M1C,Family characteristics,Total number of census families in private households,Size of census family: 5 or more persons,,,,,10380
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,,,,,8850
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Married couples,,,,8265
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Married couples,Without children at home,,,2860
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Married couples,With children at home,,,5405
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Married couples,With children at home,1 child,,1945
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Married couples,With children at home,2 children,,2490
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Married couples,With children at home,3 or more children,,970
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Common-law couples,,,,580
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Common-law couples,Without children at home,,,285
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Common-law couples,With children at home,,,290
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Common-law couples,With children at home,1 child,,130
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Common-law couples,With children at home,2 children,,120
M1C,Family characteristics,Total number of census families in private households,Total couple families by family structure and number of children,Common-law couples,With children at home,3 or more children,,40
