Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1B,Population and dwelling counts,Population in 2011,,,,,,67251
M1B,Population and dwelling counts,Population in 2006,,,,,,
M1B,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M1B,Population and dwelling counts,Total private dwellings,,,,,,20881
M1B,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,20045
M1B,Population and dwelling counts,Population density per square kilometre,,,,,,
M1B,Population and dwelling counts,Land area (square km),,,,,,
M1C,Population and dwelling counts,Population in 2011,,,,,,35601
M1C,Population and dwelling counts,Population in 2006,,,,,,
M1C,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M1C,Population and dwelling counts,Total private dwellings,,,,,,11410
M1C,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,11152
M1C,Population and dwelling counts,Population density per square kilometre,,,,,,
M1C,Population and dwelling counts,Land area (square km),,,,,,
M1G,Population and dwelling counts,Population in 2011,,,,,,30243
M1G,Population and dwelling counts,Population in 2006,,,,,,
M1G,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M1G,Population and dwelling counts,Total private dwellings,,,,,,10548
M1G,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,10092
M1G,Population and dwelling counts,Population density per square kilometre,,,,,,
M1G,Population and dwelling counts,Land area (square km),,,,,,
M1H,Population and dwelling counts,Population in 2011,,,,,,23706
M1H,Population and dwelling counts,Population in 2006,,,,,,
M1H,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M1H,Population and dwelling counts,Total private dwellings,,,,,,8949
M1H,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,8540
M1H,Population and dwelling counts,Population density per square kilometre,,,,,,
M1H,Population and dwelling counts,Land area (square km),,,,,,
M1J,Population and dwelling counts,Population in 2011,,,,,,36163
M1J,Population and dwelling counts,Population in 2006,,,,,,
M1J,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M1J,Population and dwelling counts,Total private dwellings,,,,,,12970
M1J,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,12320
M1J,Population and dwelling counts,Population density per square kilometre,,,,,,
M1J,Population and dwelling counts,Land area (square km),,,,,,
