Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M1B,Detailed mother tongue,Detailed mother tongue - Total population excluding institutional residents,,,,,,66965
M1B,Detailed mother tongue,Single responses,,,,,,63990
M1B,Detailed mother tongue,Single responses,English,,,,,34745
M1B,Detailed mother tongue,Single responses,French,,,,,495
M1B,Detailed mother tongue,Single responses,Non-official languages,,,,,28755
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,,,,,10
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,,Atikamekw,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,"Cree, n.o.s.",,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Dene,,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Dene,Innu/Montagnais,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Dene,Inuktitut,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Dene,Mi'kmaq,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Dene,Ojibway,,,5
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Oji-Cree,,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Stoney,,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Selected non-Aboriginal languages,,,,28485
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,"African languages, n.i.e.",,,,20
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Afrikaans,,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Akan (Twi),,,,70
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Albanian,,,,15
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Amharic,,,,150
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Arabic,,,,455
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Armenian,,,,40
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,"Bantu languages, n.i.e.",,,,55
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Bengali,,,,460
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Berber languages (Kabyle),,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Bisayan languages,,,,145
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Bosnian,,,,5
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Bulgarian,,,,15
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Burmese,,,,5
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Cantonese,,,,1610
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,"Chinese, n.o.s.",,,,1335
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Creoles,,,,105
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Croatian,,,,10
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Czech,,,,100
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Danish,,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Dutch,,,,40
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Estonian,,,,10
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Finnish,,,,20
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Flemish,,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Flemish,Fukien,,,25
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,German,,,,135
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Greek,,,,125
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Gujarati,,,,1935
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Hakka,,,,70
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Hebrew,,,,0
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Hindi,,,,520
M1B,Detailed mother tongue,Single responses,Selected Aboriginal languages,Hungarian,,,,80
