Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
Canada,Immigration characteristics,Total - Citizenship for the population in private households - 25% sample data,,,,,,34460060
Canada,Immigration characteristics,Total - Citizenship for the population in private households - 25% sample data,Canadian citizens,,,,,32034585
Canada,Immigration characteristics,Total - Citizenship for the population in private households - 25% sample data,Canadian citizens,Canadian citizens aged under 18,,,,6652790
Canada,Immigration characteristics,Total - Citizenship for the population in private households - 25% sample data,Canadian citizens,Canadian citizens aged 18 and over,,,,25381790
Canada,Immigration characteristics,Total - Citizenship for the population in private households - 25% sample data,Not Canadian citizens,,,,,2425475
Canada,Immigration characteristics,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,,,,,,34460065
Canada,Immigration characteristics,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Non-immigrants,,,,,26412615
Canada,Immigration characteristics,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,,,,,7540830
Canada,Immigration characteristics,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,Before 1981,,,,1941510
Canada,Immigration characteristics,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,1981 to 1990,,,,915555
Canada,Immigration characteristics,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,1991 to 2000,,,,1486655
Canada,Immigration characteristics,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,2001 to 2010,,,,1985035
Canada,Immigration characteristics,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,2001 to 2010,2001 to 2005,,,928940
Canada,Immigration characteristics,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,2001 to 2010,2006 to 2010,,,1056095
Canada,Immigration characteristics,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Immigrants,2011 to 2016,,,,1212075
Canada,Immigration characteristics,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,Non-permanent residents,,,,,506625
Canada,Immigration characteristics,Total - Age at immigration for the immigrant population in private households - 25% sample data,,,,,,7540825
Canada,Immigration characteristics,Total - Age at immigration for the immigrant population in private households - 25% sample data,Under 5 years,,,,,731340
Canada,Immigration characteristics,Total - Age at immigration for the immigrant population in private households - 25% sample data,5 to 14 years,,,,,1311810
Canada,Immigration characteristics,Total - Age at immigration for the immigrant population in private households - 25% sample data,15 to 24 years,,,,,1604435
Canada,Immigration characteristics,Total - Age at immigration for the immigrant population in private households - 25% sample data,25 to 44 years,,,,,3198920
Canada,Immigration characteristics,Total - Age at immigration for the immigrant population in private households - 25% sample data,45 years and over,,,,,694325
Canada,Immigration characteristics,Total - Selected places of birth for the immigrant population in private households - 25% sample data,,,,,,7540825
Canada,Immigration characteristics,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Americas,,,,,1128745
Canada,Immigration characteristics,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Americas,Brazil,,,,29315
Canada,Immigration characteristics,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Americas,Colombia,,,,70040
Canada,Immigration characteristics,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Americas,El Salvador,,,,48080
Canada,Immigration characteristics,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Americas,Guyana,,,,87685
Canada,Immigration characteristics,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Americas,Haiti,,,,93485
Canada,Immigration characteristics,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Americas,Jamaica,,,,138345
Canada,Immigration characteristics,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Americas,Mexico,,,,80585
Canada,Immigration characteristics,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Americas,Peru,,,,29615
Canada,Immigration characteristics,Total - Selected places of birth for the immigrant population in private households - 25% sample data,Americas,Trinidad and Tobago,,,,65035
