Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,,,,,,28642980
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of total income recipients aged 15 years and over in private households - 100% data,,,,,27488530
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of total income recipients aged 15 years and over in private households - 100% data,Median total income in 2015 among recipients ($),,,,34204
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of after-tax income recipients aged 15 years and over in private households - 100% data,,,,,27499185
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of after-tax income recipients aged 15 years and over in private households - 100% data,Median after-tax income in 2015 among recipients ($),,,,30866
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of market income recipients aged 15 years and over in private households - 100% data,,,,,24583320
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of market income recipients aged 15 years and over in private households - 100% data,Median market income in 2015 among recipients ($),,,,32762
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of government transfers recipients aged 15 years and over in private households - 100% data,,,,,19743245
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of government transfers recipients aged 15 years and over in private households - 100% data,Median government transfers in 2015 among recipients ($),,,,5453
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of employment income recipients aged 15 years and over in private households - 100% data,,,,,20428685
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,Number of employment income recipients aged 15 years and over in private households - 100% data,Median employment income in 2015 among recipients ($),,,,33684
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,,,,,,28643020
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Number of total income recipients aged 15 years and over in private households - 25% sample data,,,,,27489395
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Number of total income recipients aged 15 years and over in private households - 25% sample data,Average total income in 2015 among recipients ($),,,,47487
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,,,,,27500230
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,Average after-tax income in 2015 among recipients ($),,,,38977
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Number of market income recipients aged 15 years and over in private households - 25% sample data,,,,,24584065
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Number of market income recipients aged 15 years and over in private households - 25% sample data,Average market income in 2015 among recipients ($),,,,46885
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Number of government transfers recipients aged 15 years and over in private households - 25% sample data,,,,,19742130
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Number of government transfers recipients aged 15 years and over in private households - 25% sample data,Average government transfers in 2015 among recipients ($),,,,7738
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households - 25% sample data,,,,,20428675
Canada,Income characteristics,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households - 25% sample data,Average employment income in 2015 among recipients ($),,,,46057
Canada,Income characteristics,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,,,,,,28643015
Canada,Income characteristics,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,,,,,9367050
Canada,Income characteristics,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,Median employment income in 2015 for full-year full-time workers ($),,,,53431
Canada,Income characteristics,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,Average employment income in 2015 for full-year full-time workers ($),,,,65997
Canada,Income characteristics,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,,,,,,100
Canada,Income characteristics,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,Market income (%),,,,,88.3
Canada,Income characteristics,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,Market income (%),Employment income (%),,,,72
Canada,Income characteristics,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,Government transfers (%),,,,,11.7
Canada,Income characteristics,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,,,,,,28642980
Canada,Income characteristics,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Without total income,,,,,1154450
Canada,Income characteristics,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,With total income,,,,,27488530
Canada,Income characteristics,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Percentage with total income,,,,,96
Canada,Income characteristics,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Percentage with total income,Under $10;000 (including loss),,,,3877620
Canada,Income characteristics,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Percentage with total income,$10;000 to $19;999,,,,4680380
Canada,Income characteristics,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Percentage with total income,$20;000 to $29;999,,,,3807840
Canada,Income characteristics,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Percentage with total income,$30;000 to $39;999,,,,3206180
Canada,Income characteristics,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,Percentage with total income,$40;000 to $49;999,,,,2827045
