Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
Canada,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,,,,,14072080
Canada,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,,,,,7541495
Canada,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has five or more storeys,,,,,1391040
Canada,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,,,,,4949790
Canada,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Semi-detached house,,,,698795
Canada,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Row house,,,,891305
Canada,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment or flat in a duplex,,,,784300
Canada,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment in a building that has fewer than five storeys,,,,2539390
Canada,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Other single-attached house,,,,36000
Canada,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Movable dwelling,,,,,189750
Canada,Family characteristics,Total - Private households by household size - 100% data,,,,,,14072080
Canada,Family characteristics,Total - Private households by household size - 100% data,1 person,,,,,3969790
Canada,Family characteristics,Total - Private households by household size - 100% data,2 persons,,,,,4834605
Canada,Family characteristics,Total - Private households by household size - 100% data,3 persons,,,,,2140635
Canada,Family characteristics,Total - Private households by household size - 100% data,4 persons,,,,,1946275
Canada,Family characteristics,Total - Private households by household size - 100% data,5 or more persons,,,,,1180770
Canada,Family characteristics,Number of persons in private households,,,,,,34460065
Canada,Family characteristics,Average household size,,,,,,2.4
Canada,Family characteristics,Total - Census families in private households by family size - 100% data,,,,,,9840725
Canada,Family characteristics,Total - Census families in private households by family size - 100% data,2 persons,,,,,5007790
Canada,Family characteristics,Total - Census families in private households by family size - 100% data,3 persons,,,,,2107830
Canada,Family characteristics,Total - Census families in private households by family size - 100% data,4 persons,,,,,1909935
