Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
Canada,Household characteristics,Total - Private households by household type - 100% data,,,,,,14072080
Canada,Household characteristics,Total - Private households by household type - 100% data,One-census-family households,,,,,9218225
Canada,Household characteristics,Total - Private households by household type - 100% data,One-census-family households,Without children in a census family,,,,3782090
Canada,Household characteristics,Total - Private households by household type - 100% data,One-census-family households,With children in a census family,,,,5436135
Canada,Household characteristics,Total - Private households by household type - 100% data,Multiple-census-family households,,,,,301715
Canada,Household characteristics,Total - Private households by household type - 100% data,Non-census-family households,,,,,4552140
Canada,Household characteristics,Total - Private households by household type - 100% data,Non-census-family households,One-person households,,,,3969790
Canada,Household characteristics,Total - Private households by household type - 100% data,Non-census-family households,Two-or-more person non-census-family households,,,,582345
Canada,Household characteristics,Total - Private households by tenure - 25% sample data,,,,,,14072080
Canada,Household characteristics,Total - Private households by tenure - 25% sample data,Owner,,,,,9541320
Canada,Household characteristics,Total - Private households by tenure - 25% sample data,Renter,,,,,4474530
Canada,Household characteristics,Total - Private households by tenure - 25% sample data,Band housing,,,,,56230
Canada,Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,,,,,,14072080
Canada,Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,Condominium,,,,,1874835
Canada,Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,Not condominium,,,,,12197240
Canada,Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,,,,,,14072080
Canada,Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,No bedrooms,,,,,93345
Canada,Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,1 bedroom,,,,,1925015
Canada,Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,2 bedrooms,,,,,3547090
Canada,Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,3 bedrooms,,,,,4836480
Canada,Household characteristics,Total - Occupied private dwellings by number of bedrooms - 25% sample data,4 or more bedrooms,,,,,3670145
Canada,Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,,,,,,14072075
Canada,Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,1 to 4 rooms,,,,,4068920
Canada,Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,5 rooms,,,,,2177045
Canada,Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,6 rooms,,,,,1981585
Canada,Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,7 rooms,,,,,1790180
Canada,Household characteristics,Total - Occupied private dwellings by number of rooms - 25% sample data,8 or more rooms,,,,,4054355
Canada,Household characteristics,Average number of rooms per dwelling,,,,,,6.2
Canada,Household characteristics,Total - Private households by number of persons per room - 25% sample data,,,,,,14072080
Canada,Household characteristics,Total - Private households by number of persons per room - 25% sample data,One person or fewer per room,,,,,13802060
Canada,Household characteristics,Total - Private households by number of persons per room - 25% sample data,More than 1 person per room,,,,,270020
Canada,Household characteristics,Total - Private households by housing suitability - 25% sample data,,,,,,14072080
Canada,Household characteristics,Total - Private households by housing suitability - 25% sample data,Suitable,,,,,13376345
Canada,Household characteristics,Total - Private households by housing suitability - 25% sample data,Not suitable,,,,,695730
Canada,Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,,,,,,14072075
Canada,Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,1960 or before,,,,,3126380
Canada,Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,1961 to 1980,,,,,4185515
Canada,Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,1981 to 1990,,,,,1977635
Canada,Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,1991 to 2000,,,,,1746390
Canada,Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,2001 to 2005,,,,,976390
Canada,Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,2006 to 2010,,,,,1089750
Canada,Household characteristics,Total - Occupied private dwellings by period of construction - 25% sample data,2011 to 2016,,,,,970015
Canada,Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,,,,,,14072075
Canada,Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,Only regular maintenance or minor repairs needed,,,,,13151600
Canada,Household characteristics,Total - Occupied private dwellings by dwelling condition - 25% sample data,Major repairs needed,,,,,920480
Canada,Household characteristics,Total - Private households by number of household maintainers - 25% sample data,,,,,,14072080
Canada,Household characteristics,Total - Private households by number of household maintainers - 25% sample data,1 household maintainer,,,,,8324865
Canada,Household characteristics,Total - Private households by number of household maintainers - 25% sample data,2 household maintainers,,,,,5404800
Canada,Household characteristics,Total - Private households by number of household maintainers - 25% sample data,3 or more household maintainers,,,,,342415
Canada,Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,,,,,,14072080
Canada,Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,15 to 24 years,,,,,437230
Canada,Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,25 to 34 years,,,,,1991690
Canada,Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,35 to 44 years,,,,,2414920
Canada,Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,45 to 54 years,,,,,2862870
Canada,Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,55 to 64 years,,,,,2859315
Canada,Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,65 to 74 years,,,,,2034220
Canada,Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,75 to 84 years,,,,,1084705
Canada,Household characteristics,Total - Private households by age of primary household maintainers - 25% sample data,85 years and over,,,,,387135
Canada,Household characteristics,Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data,,,,,,13798305
Canada,Household characteristics,Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data,Spending less than 30% of income on shelter costs,,,,,10472355
Canada,Household characteristics,Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data,Spending 30% or more of income on shelter costs,,,,,3325950
Canada,Household characteristics,Total -  Owner and tenant households with household total income greater than zero; in non-farm; non-reserve private dwellings by shelter-cost-to-income ratio - 25% sample data,Spending 30% or more of income on shelter costs,30% to less than 100%,,,,2861610
Canada,Household characteristics,Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data,,,,,,9368330
Canada,Household characteristics,Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data,% of owner households with a mortgage,,,,,60.7
Canada,Household characteristics,Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data,% of owner households spending 30% or more of its income on shelter costs,,,,,16.6
Canada,Household characteristics,Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data,Median monthly shelter costs for owned dwellings ($),,,,,1130
Canada,Household characteristics,Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data,Average monthly shelter costs for owned dwellings ($),,,,,1313
Canada,Household characteristics,Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data,Median value of dwellings ($),,,,,341556
Canada,Household characteristics,Total - Owner households in non-farm; non-reserve private dwellings - 25% sample data,Average value of dwellings ($),,,,,443058
Canada,Household characteristics,Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data,,,,,,4452850
Canada,Household characteristics,Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data,% of tenant households in subsidized housing,,,,,13
Canada,Household characteristics,Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data,% of tenant households spending 30% or more of its income on shelter costs,,,,,40
Canada,Household characteristics,Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data,Median monthly shelter costs for rented dwellings ($),,,,,910
Canada,Household characteristics,Total - Tenant households in non-farm; non-reserve private dwellings - 25% sample data,Average monthly shelter costs for rented dwellings ($),,,,,1002
M1B,Household characteristics,Total - Private households by household type - 100% data,,,,,,20230
M1B,Household characteristics,Total - Private households by household type - 100% data,One-census-family households,,,,,14590
M1B,Household characteristics,Total - Private households by household type - 100% data,One-census-family households,Without children in a census family,,,,2905
M1B,Household characteristics,Total - Private households by household type - 100% data,One-census-family households,With children in a census family,,,,11690
M1B,Household characteristics,Total - Private households by household type - 100% data,Multiple-census-family households,,,,,1670
M1B,Household characteristics,Total - Private households by household type - 100% data,Non-census-family households,,,,,3965
M1B,Household characteristics,Total - Private households by household type - 100% data,Non-census-family households,One-person households,,,,3260
M1B,Household characteristics,Total - Private households by household type - 100% data,Non-census-family households,Two-or-more person non-census-family households,,,,700
M1B,Household characteristics,Total - Private households by tenure - 25% sample data,,,,,,20235
M1B,Household characteristics,Total - Private households by tenure - 25% sample data,Owner,,,,,14485
M1B,Household characteristics,Total - Private households by tenure - 25% sample data,Renter,,,,,5745
M1B,Household characteristics,Total - Private households by tenure - 25% sample data,Band housing,,,,,0
M1B,Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,,,,,,20235
M1B,Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,Condominium,,,,,5570
M1B,Household characteristics,Total - Occupied private dwellings by condominium status - 25% sample data,Not condominium,,,,,14660
