Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
Canada,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,,,,,,29312160
Canada,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Married or living common law,,,,,16893720
Canada,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Married or living common law,Married,,,,13383455
Canada,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Married or living common law,Living common law,,,,3510265
Canada,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,,,,,12418440
Canada,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,Never married,,,,8254340
Canada,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,Separated,,,,718300
Canada,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,Divorced,,,,1816005
Canada,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,Widowed,,,,1629800
M1B,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,,,,,,54575
M1B,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Married or living common law,,,,,28015
M1B,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Married or living common law,Married,,,,26245
M1B,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Married or living common law,Living common law,,,,1770
M1B,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,,,,,26555
M1B,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,Never married,,,,19165
M1B,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,Separated,,,,1825
M1B,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,Divorced,,,,2975
M1B,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,Widowed,,,,2590
M1C,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,,,,,,30380
M1C,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Married or living common law,,,,,18075
M1C,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Married or living common law,Married,,,,16840
M1C,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Married or living common law,Living common law,,,,1240
M1C,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,,,,,12305
M1C,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,Never married,,,,9100
M1C,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,Separated,,,,570
M1C,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,Divorced,,,,1170
M1C,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Not married and not living common law,Widowed,,,,1465
M1G,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,,,,,,24100
M1G,Marriage Characteristics,Total - Marital status for the population aged 15 years and over - 100% data,Married or living common law,,,,,12540
