Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
Canada,Population Characteristics,Population; 2016,,,,,,35151728
Canada,Population Characteristics,Population; 2011,,,,,,33476688
Canada,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,5
Canada,Population Characteristics,Total private dwellings,,,,,,15412443
Canada,Population Characteristics,Private dwellings occupied by usual residents,,,,,,14072079
Canada,Population Characteristics,Population density per square kilometre,,,,,,3.9
Canada,Population Characteristics,Land area in square kilometres,,,,,,8965588.85
M1B,Population Characteristics,Population; 2016,,,,,,66108
M1B,Population Characteristics,Population; 2011,,,,,,...
M1B,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1B,Population Characteristics,Total private dwellings,,,,,,20957
M1B,Population Characteristics,Private dwellings occupied by usual residents,,,,,,20230
M1B,Population Characteristics,Population density per square kilometre,,,,,,...
M1B,Population Characteristics,Land area in square kilometres,,,,,,...
M1C,Population Characteristics,Population; 2016,,,,,,35626
M1C,Population Characteristics,Population; 2011,,,,,,...
M1C,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1C,Population Characteristics,Total private dwellings,,,,,,11588
M1C,Population Characteristics,Private dwellings occupied by usual residents,,,,,,11274
M1C,Population Characteristics,Population density per square kilometre,,,,,,...
M1C,Population Characteristics,Land area in square kilometres,,,,,,...
M1G,Population Characteristics,Population; 2016,,,,,,29690
M1G,Population Characteristics,Population; 2011,,,,,,...
M1G,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1G,Population Characteristics,Total private dwellings,,,,,,10116
M1G,Population Characteristics,Private dwellings occupied by usual residents,,,,,,9767
M1G,Population Characteristics,Population density per square kilometre,,,,,,...
M1G,Population Characteristics,Land area in square kilometres,,,,,,...
M1H,Population Characteristics,Population; 2016,,,,,,24383
M1H,Population Characteristics,Population; 2011,,,,,,...
M1H,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1H,Population Characteristics,Total private dwellings,,,,,,9274
M1H,Population Characteristics,Private dwellings occupied by usual residents,,,,,,8985
M1H,Population Characteristics,Population density per square kilometre,,,,,,...
M1H,Population Characteristics,Land area in square kilometres,,,,,,...
M1J,Population Characteristics,Population; 2016,,,,,,36699
M1J,Population Characteristics,Population; 2011,,,,,,...
M1J,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1J,Population Characteristics,Total private dwellings,,,,,,12797
M1J,Population Characteristics,Private dwellings occupied by usual residents,,,,,,12274
M1J,Population Characteristics,Population density per square kilometre,,,,,,...
M1J,Population Characteristics,Land area in square kilometres,,,,,,...
M1K,Population Characteristics,Population; 2016,,,,,,48434
M1K,Population Characteristics,Population; 2011,,,,,,...
M1K,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1K,Population Characteristics,Total private dwellings,,,,,,18620
M1K,Population Characteristics,Private dwellings occupied by usual residents,,,,,,17930
M1K,Population Characteristics,Population density per square kilometre,,,,,,...
M1K,Population Characteristics,Land area in square kilometres,,,,,,...
M1L,Population Characteristics,Population; 2016,,,,,,35081
M1L,Population Characteristics,Population; 2011,,,,,,...
M1L,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1L,Population Characteristics,Total private dwellings,,,,,,12884
M1L,Population Characteristics,Private dwellings occupied by usual residents,,,,,,12428
M1L,Population Characteristics,Population density per square kilometre,,,,,,...
M1L,Population Characteristics,Land area in square kilometres,,,,,,...
M1M,Population Characteristics,Population; 2016,,,,,,22913
M1M,Population Characteristics,Population; 2011,,,,,,...
M1M,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1M,Population Characteristics,Total private dwellings,,,,,,8908
M1M,Population Characteristics,Private dwellings occupied by usual residents,,,,,,8623
M1M,Population Characteristics,Population density per square kilometre,,,,,,...
M1M,Population Characteristics,Land area in square kilometres,,,,,,...
M1N,Population Characteristics,Population; 2016,,,,,,22136
M1N,Population Characteristics,Population; 2011,,,,,,...
M1N,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1N,Population Characteristics,Total private dwellings,,,,,,9535
M1N,Population Characteristics,Private dwellings occupied by usual residents,,,,,,9095
M1N,Population Characteristics,Population density per square kilometre,,,,,,...
M1N,Population Characteristics,Land area in square kilometres,,,,,,...
M1P,Population Characteristics,Population; 2016,,,,,,45571
M1P,Population Characteristics,Population; 2011,,,,,,...
M1P,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1P,Population Characteristics,Total private dwellings,,,,,,17129
M1P,Population Characteristics,Private dwellings occupied by usual residents,,,,,,16540
M1P,Population Characteristics,Population density per square kilometre,,,,,,...
M1P,Population Characteristics,Land area in square kilometres,,,,,,...
M1R,Population Characteristics,Population; 2016,,,,,,29858
M1R,Population Characteristics,Population; 2011,,,,,,...
M1R,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1R,Population Characteristics,Total private dwellings,,,,,,11141
M1R,Population Characteristics,Private dwellings occupied by usual residents,,,,,,10767
M1R,Population Characteristics,Population density per square kilometre,,,,,,...
M1R,Population Characteristics,Land area in square kilometres,,,,,,...
M1S,Population Characteristics,Population; 2016,,,,,,37769
M1S,Population Characteristics,Population; 2011,,,,,,...
M1S,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1S,Population Characteristics,Total private dwellings,,,,,,13195
M1S,Population Characteristics,Private dwellings occupied by usual residents,,,,,,12644
M1S,Population Characteristics,Population density per square kilometre,,,,,,...
M1S,Population Characteristics,Land area in square kilometres,,,,,,...
M1T,Population Characteristics,Population; 2016,,,,,,34588
M1T,Population Characteristics,Population; 2011,,,,,,...
M1T,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1T,Population Characteristics,Total private dwellings,,,,,,13394
M1T,Population Characteristics,Private dwellings occupied by usual residents,,,,,,12949
M1T,Population Characteristics,Population density per square kilometre,,,,,,...
M1T,Population Characteristics,Land area in square kilometres,,,,,,...
M1V,Population Characteristics,Population; 2016,,,,,,54680
M1V,Population Characteristics,Population; 2011,,,,,,...
M1V,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1V,Population Characteristics,Total private dwellings,,,,,,16449
M1V,Population Characteristics,Private dwellings occupied by usual residents,,,,,,16092
M1V,Population Characteristics,Population density per square kilometre,,,,,,...
M1V,Population Characteristics,Land area in square kilometres,,,,,,...
M1W,Population Characteristics,Population; 2016,,,,,,48471
M1W,Population Characteristics,Population; 2011,,,,,,...
M1W,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1W,Population Characteristics,Total private dwellings,,,,,,16597
M1W,Population Characteristics,Private dwellings occupied by usual residents,,,,,,16173
M1W,Population Characteristics,Population density per square kilometre,,,,,,...
M1W,Population Characteristics,Land area in square kilometres,,,,,,...
M1X,Population Characteristics,Population; 2016,,,,,,15097
M1X,Population Characteristics,Population; 2011,,,,,,...
M1X,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M1X,Population Characteristics,Total private dwellings,,,,,,3739
M1X,Population Characteristics,Private dwellings occupied by usual residents,,,,,,3649
M1X,Population Characteristics,Population density per square kilometre,,,,,,...
M1X,Population Characteristics,Land area in square kilometres,,,,,,...
M2H,Population Characteristics,Population; 2016,,,,,,24497
M2H,Population Characteristics,Population; 2011,,,,,,...
M2H,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M2H,Population Characteristics,Total private dwellings,,,,,,9093
M2H,Population Characteristics,Private dwellings occupied by usual residents,,,,,,8700
M2H,Population Characteristics,Population density per square kilometre,,,,,,...
M2H,Population Characteristics,Land area in square kilometres,,,,,,...
M2J,Population Characteristics,Population; 2016,,,,,,58293
M2J,Population Characteristics,Population; 2011,,,,,,...
M2J,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M2J,Population Characteristics,Total private dwellings,,,,,,22524
M2J,Population Characteristics,Private dwellings occupied by usual residents,,,,,,21876
M2J,Population Characteristics,Population density per square kilometre,,,,,,...
M2J,Population Characteristics,Land area in square kilometres,,,,,,...
M2K,Population Characteristics,Population; 2016,,,,,,23852
M2K,Population Characteristics,Population; 2011,,,,,,...
M2K,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M2K,Population Characteristics,Total private dwellings,,,,,,11147
M2K,Population Characteristics,Private dwellings occupied by usual residents,,,,,,10540
M2K,Population Characteristics,Population density per square kilometre,,,,,,...
M2K,Population Characteristics,Land area in square kilometres,,,,,,...
M2L,Population Characteristics,Population; 2016,,,,,,11717
M2L,Population Characteristics,Population; 2011,,,,,,...
M2L,Population Characteristics,Population percentage change; 2011 to 2016,,,,,,...
M2L,Population Characteristics,Total private dwellings,,,,,,4154
M2L,Population Characteristics,Private dwellings occupied by usual residents,,,,,,3974
M2L,Population Characteristics,Population density per square kilometre,,,,,,...
M2L,Population Characteristics,Land area in square kilometres,,,,,,...
M2M,Population Characteristics,Population; 2016,,,,,,32320
M2M,Population Characteristics,Population; 2011,,,,,,...
