Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
Canada,Visible Minority,Total - Aboriginal identity for the population in private households - 25% sample data,,,,,,34460065
Canada,Visible Minority,Total - Aboriginal identity for the population in private households - 25% sample data,Aboriginal identity,,,,,1673780
Canada,Visible Minority,Total - Aboriginal identity for the population in private households - 25% sample data,Aboriginal identity,Single Aboriginal responses,,,,1629800
Canada,Visible Minority,Total - Aboriginal identity for the population in private households - 25% sample data,Aboriginal identity,Single Aboriginal responses,First Nations (North American Indian),,,977230
Canada,Visible Minority,Total - Aboriginal identity for the population in private households - 25% sample data,Aboriginal identity,Single Aboriginal responses,Métis,,,587545
Canada,Visible Minority,Total - Aboriginal identity for the population in private households - 25% sample data,Aboriginal identity,Single Aboriginal responses,Inuk (Inuit),,,65025
Canada,Visible Minority,Total - Aboriginal identity for the population in private households - 25% sample data,Aboriginal identity,Multiple Aboriginal responses,,,,21310
Canada,Visible Minority,Total - Aboriginal identity for the population in private households - 25% sample data,Aboriginal identity,Aboriginal responses not included elsewhere,,,,22670
Canada,Visible Minority,Total - Aboriginal identity for the population in private households - 25% sample data,Non-Aboriginal identity,,,,,32786280
Canada,Visible Minority,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,,,,,,34460065
Canada,Visible Minority,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,Registered or Treaty Indian,,,,,820120
Canada,Visible Minority,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,Not a Registered or Treaty Indian,,,,,33639945
Canada,Visible Minority,Total - Aboriginal ancestry for the population in private households - 25% sample data,,,,,,34460065
Canada,Visible Minority,Total - Aboriginal ancestry for the population in private households - 25% sample data,Aboriginal ancestry (only),,,,,727790
Canada,Visible Minority,Total - Aboriginal ancestry for the population in private households - 25% sample data,Aboriginal ancestry (only),Single Aboriginal ancestry (only),,,,709235
Canada,Visible Minority,Total - Aboriginal ancestry for the population in private households - 25% sample data,Aboriginal ancestry (only),Single Aboriginal ancestry (only),First Nations (North American Indian) single ancestry,,,573215
Canada,Visible Minority,Total - Aboriginal ancestry for the population in private households - 25% sample data,Aboriginal ancestry (only),Single Aboriginal ancestry (only),Métis single ancestry,,,91255
Canada,Visible Minority,Total - Aboriginal ancestry for the population in private households - 25% sample data,Aboriginal ancestry (only),Single Aboriginal ancestry (only),Inuit single ancestry,,,44760
