CohortGroup,CohortPeriod,GiftPeriod,TotalUsers,GiftImportID,GiftAmount
2010,1,2010,28699,33307,2040242.5600000003
2010,2,2011,4713,5835,536380.4099999999
2010,3,2012,3020,3707,417826.97
2010,4,2013,2252,2810,309518.65
2010,5,2014,1643,2136,283977.08999999997
2010,6,2015,1323,1701,225670.46000000002
2010,7,2016,1066,1349,203286.07
2010,8,2017,766,955,149735.5
2010,9,2018,716,889,163103.25
2010,10,2019,661,854,172944.16000000003
2011,1,2011,17153,19299,1101075.3900000001
2011,2,2012,2165,2496,186861.16
2011,3,2013,1401,1624,139703.28000000003
2011,4,2014,986,1120,80657.7
2011,5,2015,694,883,71561.89
2011,6,2016,548,701,60324.37
2011,7,2017,356,422,40477.25
2011,8,2018,353,439,53959.66
2011,9,2019,336,393,35379.55
2012,1,2012,18032,20117,1258613.2200000004
2012,2,2013,1930,2168,288577.7900000001
2012,3,2014,1127,1255,191553.30999999997
2012,4,2015,872,976,99208.20000000001
2012,5,2016,535,624,77524.47
2012,6,2017,419,488,126718.65999999999
2012,7,2018,340,385,124345.61
2012,8,2019,300,341,113688.48000000001
2013,1,2013,23931,26802,1651004.5700000026
2013,2,2014,3411,4250,325843.91000000003
2013,3,2015,2386,2872,259285.94999999995
2013,4,2016,1926,2426,252239.92
2013,5,2017,1642,2070,227889.16
2013,6,2018,1433,1880,234546.41
2013,7,2019,1198,1522,181826.36000000002
2014,1,2014,21797,24798,1702847.190000002
2014,2,2015,3183,3679,307313.97000000003
2014,3,2016,2413,2875,279695.62
2014,4,2017,1898,2308,237591.37
2014,5,2018,1579,2007,249038.58
2014,6,2019,1445,1793,206672.39
2015,1,2015,19225,21985,1833353.0200000023
2015,2,2016,2621,3017,330058.74
2015,3,2017,1893,2249,212364.69000000003
2015,4,2018,1579,1930,247547.12
2015,5,2019,1250,1632,237079.38999999998
2016,1,2016,17453,19817,1732272.7300000016
2016,2,2017,2894,3351,430772.00000000006
2016,3,2018,2168,2503,214182.39
2016,4,2019,1700,1984,189293.43
2017,1,2017,15320,17786,1691395.370000003
2017,2,2018,2332,2674,228716.87999999998
2017,3,2019,1698,1915,188205.59
2018,1,2018,13063,14954,1754816.43
2018,2,2019,2194,2497,282669.27
2019,1,2019,14025,15858,1772855.6400000008
