CohortPeriod,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.16422174988675564,0.1262169882819332,0.10703194321206744,0.14253478751410303,0.14602927008303895,0.136332899869961,0.16581676502607,0.15221932114882505,0.16795529357727934,
3,0.10523014739189519,0.08167667463417479,0.0625,0.09970331369353558,0.11070330779465064,0.09846553966189857,0.12421933192001375,0.1108355091383812,,
4,0.07846963308826091,0.057482656095143705,0.04835847382431233,0.08048138397893945,0.0870762031472221,0.08213263979193758,0.09740445768635765,,,
5,0.05724938151155093,0.04045939485804233,0.02966947648624667,0.0686139317203627,0.07244116162774694,0.06501950585175553,,,,
6,0.04609916721836998,0.03194776423949163,0.023236468500443655,0.059880489741339686,0.06629352663210533,,,,,
7,0.03714415136415903,0.020754386987698943,0.01885536823425022,0.05006059086540471,,,,,,
8,0.026690825464301893,0.020579490468139686,0.01663708961845608,,,,,,,
9,0.02494860448099237,0.019588410190637208,,,,,,,,
10,0.023032161399351894,,,,,,,,,
