ClusterID	Alias	Data_set	Number_of_cells	Cell_type1	Cell_type2	Cell_type3	cell_type_specific	cell_type_general	cluster_name
N0	H	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	1138	Nephron_epithelium	Loop_of_Henle	-	Loop_of_Henle	Loop_of_Henle	Loop_of_Henle_H
N1	N1	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	904	Nephron_epithelium	-	-	Nephron_epithelium	Nephron_epithelium	Nephron_epithelium_N1
N2	AV1	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	896	Endothelium	Ascending_vasa_recta	VCAM1-	Ascending_vasa_recta	Endothelium	Ascending_vasa_recta_AV1
N3	N3	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	789	Nephron_epithelium	-	-	Nephron_epithelium	Nephron_epithelium	Nephron_epithelium_N3
N4	DV	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	731	Endothelium	Descending_vasa_recta	-	Descending_vasa_recta	Endothelium	Descending_vasa_recta_DV
N5	N5	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	649	Nephron_epithelium	-	-	Nephron_epithelium	Nephron_epithelium	Nephron_epithelium_N5
N6	N6	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	504	Nephron_epithelium	-	-	Nephron_epithelium	Nephron_epithelium	Nephron_epithelium_N6
N7	GE	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	373	Endothelium	Nephron_epithelium	-	Nephron_epithelium	Nephron_epithelium	Nephron_epithelium_GE
N8	N8	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	360	Nephron_epithelium	Loop_of_Henle	-	Loop_of_Henle	Loop_of_Henle	Loop_of_Henle_N8
N9	AV2	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	305	Endothelium	Ascending_vasa_recta	VCAM1+	Ascending_vasa_recta	Endothelium	Ascending_vasa_recta_AV2
N11	G	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	259	Nephron_epithelium	Glomerular_epithelium	Podocytes	Podocytes	Podocytes	Podocytes_G
N12	PT3	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	227	Nephron_epithelium	Proximal_tubular_cells	Convoluted_and_straight	Proximal_tubular_cells	Proximal_tubular_cells	Proximal_tubular_cells_PT3
N13	PT1	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	196	Nephron_epithelium	Proximal_tubular_cells	VCAM1+ proximal convoluted tubular cells	Proximal_tubular_cells	Proximal_tubular_cells	Proximal_tubular_cells_PT1
N14	D	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	176	Nephron_epithelium	Distal_tubules_and_collecting_duct	Distal_tubules_and_principal_cells	Distal_tubules_and_collecting_duct	Distal_tubules_and_collecting_duct	Distal_tubules_and_collecting_duct_D
N16	C1	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	140	Nephron_epithelium	Collecting_duct	Type_A_cells	Collecting_duct_Type_A_cells	Distal_tubules_and_collecting_duct	Collecting_duct_Type_A_cells_C1
N17	C2	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	128	Nephron_epithelium	Collecting_duct	Type_B_cells	Collecting_duct_Type_B_cells	Distal_tubules_and_collecting_duct	Collecting_duct_Type_B_cells_C2
N18	M	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	118	Nephron_others	Mesangial_cells	-	Mesangial_cells	Mesangial_cells	Mesangial_cells_M
N20	P	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	73	Nephron_epithelium	Pelvis	Pelvic_epithelium	Pelvic_epithelium	Nephron_epithelium	Pelvic_epithelium_P
N22	PT2	barcodeLevelGroup_normalEpitheliumAndVascularWithoutProximalTubularV2	60	Nephron_epithelium	Proximal_tubular_cells	Convoluted_and_straight	Proximal_tubular_cells	Proximal_tubular_cells	Proximal_tubular_cells_PT2
IN0	NK1	barcodeLevelGroup_normalImmune	730	NK cell			NK cell	NK cell	NK cell_NK1
IN1	NKT1	barcodeLevelGroup_normalImmune	640	NKT cell			NKT cell	NKT cell	NKT cell_NKT1
IN2	IN2	barcodeLevelGroup_normalImmune	503	Private			Private	Private	Private_IN2
IN4	Th	barcodeLevelGroup_normalImmune	435	Th cell			Th cell	Th cell	Th cell_Th
IN5	IN5	barcodeLevelGroup_normalImmune	428	Private			Private	Private	Private_IN5
IN6	MNP1	barcodeLevelGroup_normalImmune	415	MNP1			MNP1	MNP	MNP1_MNP1
IN7	MNP2	barcodeLevelGroup_normalImmune	307	MNP2			MNP2	MNP	MNP2_MNP2
IN8	MNP3	barcodeLevelGroup_normalImmune	188	MNP3			MNP3	MNP	MNP3_MNP3
IN9	NKT2	barcodeLevelGroup_normalImmune	156	NKT cell			NKT cell	NKT cell	NKT cell_NKT2
IN10	8T	barcodeLevelGroup_normalImmune	155	CD8 T cell			CD8 T cell	CD8 T cell	CD8 T cell_8T
IN11	NP	barcodeLevelGroup_normalImmune	138	Neutrophil			Neutrophil	Neutrophil	Neutrophil_NP
IN12	IN12	barcodeLevelGroup_normalImmune	79	Private			Private	Private	Private_IN12
IN13	B	barcodeLevelGroup_normalImmune	74	B cell			B cell	B cell	B cell_B
IN14	NK2	barcodeLevelGroup_normalImmune	37	Proliferating NK cell			Proliferating NK cell	NK cell	Proliferating NK cell_NK2
IN15	MST	barcodeLevelGroup_normalImmune	26	Mast cell			Mast cell	Mast cell	Mast cell_MST
IN16	PDC	barcodeLevelGroup_normalImmune	23	Plasmacytoid DC			Plasmacytoid DC	DC	Plasmacytoid DC_PDC
